,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,100600 - Technical Theater                       ,118,,115,36,126,19,112,38,199,39,172,19,175,18,178,16,172,46
,,100700 - Dramatic Arts                           ,469,105,435,224,589,117,483,154,525,100,543,97,546,107,727,201,609,168
,,100800 - Dance                                   ,173,59,245,73,222,79,233,96,296,101,317,61,370,107,344,161,290,108
,,101100 - Photography                             ,102,39,47,76,72,72,68,69,82,68,96,,172,67,170,111,186,4
,,101200 - Applied Photography                     ,298,198,355,239,557,143,636,300,539,143,606,234,530,131,563,243,518,111
,,103000 - Graphic Art and Design                  ,146,,121,,121,,108,,104,,120,,103,,132,,109,
,,"110100 - Foreign Languages, General              ",,,9,,,,6,,,,,,,12,,,10,
,,110200 - French                                  ,82,34,95,15,63,13,59,49,97,19,98,20,100,12,99,47,114,15
,,110500 - Spanish                                 ,334,84,283,66,312,75,282,141,341,75,299,133,318,83,283,136,295,75
,,110700 - Chinese                                 ,82,31,93,36,64,54,67,27,87,40,67,12,72,46,54,26,115,45
,,110800 - Japanese                                ,205,6,199,47,190,12,165,37,171,10,156,23,183,13,163,46,157,46
,,"120100 - Health Occupations, General             ",109,,79,,59,,72,26,61,,123,15,156,,156,21,160,
,,120800 - Medical Assisting                       ,262,40,197,15,175,40,236,82,244,20,136,46,249,58,356,65,374,100
,,121000 - Respiratory Care/Therapy                ,261,41,257,72,226,39,252,48,232,28,219,59,298,57,244,69,497,86
,,122100 - Pharmacy Technology                     ,54,29,,2,,,,,,,,,,,,,,
,,122300 - Health Information Technology           ,275,145,273,106,290,124,255,87,177,87,174,86,259,100,298,118,364,222
,,123010 - Registered Nursing                      ,125,,177,,198,,156,,206,,163,27,180,29,180,24,148,27
,,125000 - Emergency Medical Services              ,17,,8,,9,,13,,24,,19,,25,,17,56,40,
,,125100 - Paramedic                               ,,,,,,,,16,,,,,,,,,159,
,,127000 - Kinesiology                             ,324,66,259,44,301,95,293,93,429,139,354,60,501,118,323,201,552,103
,,"130100 - Family and Consumer Sciences, General   ",30,,35,,30,,29,,23,,27,,27,,24,,34,
,,130500 - Child Development/Early Care and Educati,"3,393",336,"2,975",497,"3,025",324,"3,028",728,"3,372",335,"3,192",648,"3,430",359,"3,043",896,"3,240",441
,,130520 - Children with Special Needs             ,,,,,,,,,,,,,119,,129,,111,
,,130590 - Infants and Toddlers                    ,,,,,,,,,,,,38,142,,148,90,202,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",302,31,295,77,272,63,263,69,232,64,258,67,258,80,269,37,241,71
,,130700 - Hospitality                             ,67,,9,,,,13,,,,48,,,,31,,34,
,,130800 - Family Studies                          ,160,,141,32,107,28,126,35,133,36,103,22,69,36,68,29,38,37
,,130900 - Gerontology                             ,22,,27,,24,,30,,29,,15,,26,,28,,43,
,,"140100 - Law, General                            ",34,,44,33,20,,69,,27,,74,,35,,66,,114,31
,,140200 - Paralegal                               ,396,43,330,117,516,146,548,230,705,175,629,152,611,104,737,229,773,132
,,150100 - English                                 ,"4,520",640,"3,327",793,"4,572",895,"3,797","1,038","5,043",803,"3,863",926,"4,721",766,"3,366",912,"4,039",813
,,150110 - Linguistics                             ,24,,30,33,20,,29,,14,,39,,27,,34,,18,
,,150300 - Comparative Literature                  ,12,,,,,,,,6,,,,,,,,,
,,150600 - Speech Communication                    ,"1,752",450,"1,640",435,"1,781",481,"1,507",408,"2,069",422,"1,541",363,"1,922",491,"1,523",470,"2,062",507
,,150900 - Philosophy                              ,611,188,590,387,544,194,492,409,426,218,523,202,665,139,604,424,575,187
,,152000 - Reading                                 ,153,43,175,47,168,53,154,74,181,30,127,44,156,52,224,67,172,53
,,159900 - Other Humanities                        ,136,36,113,78,182,68,134,38,144,58,152,43,171,75,190,61,138,68
,,"160100 - Library Science, General                ",53,23,69,24,71,27,66,19,96,27,95,27,97,25,84,23,72,28
,,"170100 - Mathematics, General                    ","4,708",437,"3,605",941,"4,108",464,"3,289",964,"4,037",550,"3,596","1,043","3,476",478,"3,189",867,"3,849",461
,,179900 - Other Mathematics                       ,33,6,22,,38,24,35,,51,21,35,,31,16,38,,46,20
,,"190100 - Physical Sciences, General              ",,,,,,,,,10,,,,,,,,,
,,"190200 - Physics, General                        ",450,60,367,121,335,67,309,118,352,61,340,177,381,78,379,283,439,89
,,"190500 - Chemistry, General                      ","1,457",459,"1,122",366,871,196,971,255,996,292,"1,078",324,"1,151",386,"1,053",474,"1,155",390
,,191100 - Astronomy                               ,238,163,216,173,239,167,193,192,158,125,211,132,179,196,236,230,228,230
,,191400 - Geology                                 ,62,,135,,68,,114,,106,,143,,129,,137,,126,
,,191900 - Oceangraphy                             ,62,,13,21,76,,32,27,60,,48,21,80,,32,,56,
,,193000 - Earth Science                           ,602,14,305,161,493,28,385,151,585,34,424,103,493,68,465,107,476,71
,,"200100 - Psychology, General                     ","2,941",842,"2,733","1,085","2,817",804,"2,635","1,157","2,901",826,"2,858",941,"2,926",853,"2,840","1,099","2,895",874
,,210440 - Alcohol and Controlled Substances       ,350,9,369,60,438,28,481,110,563,33,510,90,617,47,593,111,593,70
,,210500 - Administration of Justice               ,"5,182",410,"4,281","5,264","4,793","1,829","5,652","3,691","7,727","3,547","12,935","3,722","9,662","2,576","9,406","5,248","9,224","2,628"
,,210510 - Corrections                             ,13,11,7,,40,24,40,46,39,,31,13,31,,,,15,
,,"210540 - Forensics, Evidence, and Investigation  ",94,,83,38,84,,104,37,87,,93,96,315,77,325,116,335,107
,,210550 - Police Academy                          ,,,,,,,,,,,18,,23,,,,11,
,,213300 - Fire Technology                         ,"4,252",116,"4,217",264,"4,427",70,"4,256",265,"4,582",74,"4,742",360,"4,470",212,"4,421",292,"4,583",116
,,219900 - Other Public and Protective Services    ,,,,,,,,,43,,58,,38,9,38,,30,
,,220200 - Anthropology                            ,727,8,549,110,552,32,700,129,603,45,605,104,650,60,747,129,785,66
,,220220 - Archaeology                             ,35,,36,,13,,30,,24,,24,,20,,34,,29,
,,220300 - Ethnic Studies                          ,"1,767",286,"1,350",383,"1,898",492,"2,252",477,"2,298",390,"2,151",559,"2,671",561,"2,547",929,"2,865",561
,,220400 - Economics                               ,608,126,480,214,542,193,539,286,582,204,596,241,660,215,677,348,719,234
,,220500 - History                                 ,"1,549",330,"1,162",591,"1,529",398,"1,278",698,"1,396",452,"1,645",439,"1,509",534,"1,411",760,"1,567",532
,,220600 - Geography                               ,224,37,203,76,261,46,247,88,188,37,197,49,204,36,232,99,197,42
,,220610 - Geographic Information Systems          ,,,,,11,,,,9,,,,,,,,,
,,220700 - Political Science                       ,"1,457",316,"1,115",572,"1,529",427,"1,336",694,"1,508",480,"1,508",604,"1,560",487,"1,402",846,"1,456",557
,,220800 - Sociology                               ,"1,410",311,"1,200",759,"1,513",332,"1,257",900,"1,353",400,"1,355",693,"1,634",491,"1,418","1,001","1,785",506
,,493010 - Career Guidance and Orientation         ,"1,223",,616,191,"1,239",32,836,417,"1,620",63,"1,107",335,"1,668",66,"1,343",362,"1,634",30
,,493013 - Academic Guidance                       ,,,,,,,,,,30,,,70,,,9,111,63
,,493084 - English as a Second Language - Writing  ,136,,116,34,152,,116,42,165,,139,51,116,,85,55,96,
,,493085 - English as a Second Language - Reading  ,54,4,35,,51,17,39,,56,11,72,,38,9,140,,37,4
,,493086 - English as a Second Language - Listening,51,13,20,,48,18,52,,54,22,61,,151,,40,,176,12
,,493200 - General Work Experience                 ,,,,,,,,,,,,,1,,12,,42,
,,499900 - Other Interdisciplinary Studies         ,30,,,,34,,,,30,,,,21,,,,18,
,Credit - Not Degree Applicable                     Total,,356,93,380,79,506,93,323,106,257,53,285,109,286,86,292,128,498,98
,,095730 - Surveying                               ,,,,,,,,,,,,,25,,16,,25,
,,"120100 - Health Occupations, General             ",166,81,234,37,205,77,202,83,250,37,285,109,249,64,276,128,473,75
,,150100 - English                                 ,107,12,80,29,192,16,79,,7,16,,,,22,,,,23
,,150200 - Language Arts                           ,74,,66,13,104,,42,23,,,,,,,,,,
,,152000 - Reading                                 ,9,,,,,,,,,,,,12,,,,,
,,493084 - English as a Second Language - Writing  ,,,,,5,,,,,,,,,,,,,
