,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,"190100 - Physical Sciences, General              ",35,,37,,37,,38,,36,,39,,37,,39,,37,
,,"190200 - Physics, General                        ",183,,146,35,148,,140,41,137,,158,58,173,,184,71,161,
,,"190500 - Chemistry, General                      ",211,,153,108,206,,173,132,246,,219,150,266,,274,137,322,
,,191100 - Astronomy                               ,94,,104,54,70,,104,48,101,,93,52,113,,89,65,96,
,,191400 - Geology                                 ,68,,63,25,61,,71,35,76,,67,39,78,,72,34,69,
,,"200100 - Psychology, General                     ",361,,383,109,377,,415,65,558,,535,149,600,,507,171,663,
,,210500 - Administration of Justice               ,440,,403,224,633,,557,189,537,,482,277,447,,514,322,408,
,,210510 - Corrections                             ,11,,23,,21,,42,,26,,17,29,,,62,,30,
,,210550 - Police Academy                          ,419,,213,53,243,,289,177,153,,413,156,335,,390,192,255,
,,213300 - Fire Technology                         ,87,,149,73,67,,427,162,173,,424,159,88,,109,43,61,
,,220110 - Women's Studies                         ,18,,15,,28,,26,,25,,26,,30,,24,,30,
,,220200 - Anthropology                            ,230,,227,79,181,,233,85,227,,254,86,303,,287,111,288,
,,220300 - Ethnic Studies                          ,5,,12,,73,,101,58,147,,185,104,260,,443,186,409,
,,220400 - Economics                               ,127,,163,55,144,,148,33,146,,164,29,172,,191,71,233,
,,220500 - History                                 ,578,,625,192,553,,640,166,765,,724,207,784,,619,166,747,
,,220600 - Geography                               ,29,,,,27,,33,,32,,32,,32,,31,,32,
,,220700 - Political Science                       ,210,,225,67,149,,217,69,188,,239,76,151,,203,85,196,
,,220710 - Student Government                      ,,,,,26,,21,,,,,21,,,,24,,
,,220800 - Sociology                               ,277,,307,95,243,,286,85,300,,313,80,287,,291,67,285,
,,300700 - Cosmetology and Barbering               ,75,,49,25,51,,50,,63,,65,,88,,83,,86,
,,493010 - Career Guidance and Orientation         ,70,,75,8,65,,81,24,68,,112,48,86,,130,60,57,
,,493011 - Interpersonal Skills                    ,,,10,14,,,25,22,,,30,22,,,11,29,,
,,493013 - Academic Guidance                       ,75,,26,12,55,,25,,56,,12,20,53,,34,,30,
,Credit - Not Degree Applicable                     Total,,707,,470,143,793,,653,222,"1,008",,"1,500",385,"1,071",,"1,024",298,"1,038",
,,083580 - Adapted Physical Education              ,119,,114,72,130,,126,113,181,,262,134,248,,252,134,246,
,,083700 - Health Education                        ,,,,,,,,,,,,,,,11,,29,
,,"090100 - Engineering, General (requires Calculus)",35,,,,,,,,,,,,,,,,,
,,095650 - Welding Technology                      ,5,,1,,,,,,81,,64,29,,,56,19,,
,,127000 - Kinesiology                             ,26,,27,,30,,36,26,33,,35,19,39,,55,16,38,
,,130500 - Child Development/Early Care and Educati,,,,,,,,,,,,30,26,,24,,,
,,150100 - English                                 ,209,,46,,146,,64,,207,,92,,255,,100,,247,
,,"170100 - Mathematics, General                    ",150,,88,32,190,,106,18,150,,153,,176,,168,,128,
,,210500 - Administration of Justice               ,22,,24,,23,,60,,26,,628,48,56,,60,58,76,
,,210550 - Police Academy                          ,,,,21,100,,56,31,73,,27,42,40,,95,,,
,,213300 - Fire Technology                         ,,,30,,,,48,14,,,7,36,,,,38,,
,,213310 - Wildland Fire Technology                ,,,,,,,19,,,,,,,,,,,
,,493013 - Academic Guidance                       ,,,,,,,,,,,,,,,,,18,
,,"493030 - Learning Skills, Handicapped            ",,,,,,,,,10,,,,,,,,10,
,,"493032 - Learning Skills, Learning Disabled      ",137,,138,18,171,,136,20,243,,220,47,221,,197,33,243,
,,493084 - English as a Second Language - Writing  ,2,,,,,,1,,1,,2,,1,,,,,
,,493085 - English as a Second Language - Reading  ,1,,,,,,,,,,,,,,,,,
,,493086 - English as a Second Language - Listening,,,1,,,,,,,,2,,4,,2,,1,
,,493087 - English as a Second Language - Integrate,1,,1,,3,,1,,3,,8,,5,,4,,2,
