,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,100700 - Dramatic Arts                           ,172,,173,45,287,,294,75,304,,285,84,300,,284,9,,
,,100800 - Dance                                   ,114,,198,44,197,,223,54,200,,209,63,270,,260,19,,
,,101100 - Photography                             ,101,,153,24,84,,134,25,101,,145,17,101,,129,,,
,,101200 - Applied Photography                     ,57,,32,28,69,,37,22,68,,38,19,68,,48,,,
,,103000 - Graphic Art and Design                  ,256,,259,199,280,,247,63,,,,,,,,,,
,,110200 - French                                  ,48,,70,16,43,,60,21,31,,46,21,43,,27,,,
,,110300 - German                                  ,,,27,21,21,,27,26,42,,23,24,27,,22,,,
,,110400 - Italian                                 ,,,24,,47,,18,24,48,,55,,56,,31,28,,
,,110500 - Spanish                                 ,500,,561,401,645,,500,413,555,,534,380,542,,545,57,,
,,119900 - Other Foreign Languages                 ,295,,352,282,370,,350,210,442,,409,167,687,,515,84,,
,,"120100 - Health Occupations, General             ",20,,28,,24,,19,,27,,26,,18,,21,,,
,,120800 - Medical Assisting                       ,550,,658,275,660,,647,246,724,,705,223,736,,694,,,
,,121000 - Respiratory Care/Therapy                ,207,,183,14,223,,178,14,232,,193,21,224,,188,14,,
,,122800 - Athletic Training and Sports Medicine   ,95,,77,23,78,,73,37,122,,68,51,91,,58,,,
,,123010 - Registered Nursing                      ,328,,304,29,325,,333,31,365,,363,47,411,,396,,,
,,123020 - Licensed Vocational Nursing             ,,,,,,,,,,,,,,,,52,,
,,123030 - Certified Nurse Assistant               ,68,,54,69,64,,96,101,116,,103,111,113,,72,,,
,,123080 - Home Health Aide                        ,,,,,5,,10,8,4,,13,,8,,,,,
,,125000 - Emergency Medical Services              ,209,,197,,217,,250,36,322,,301,26,337,,301,37,,
,,"126000 - Health Professions, Transfer Core Curric",128,,137,91,168,,204,103,198,,221,200,199,,,,,
,,127000 - Kinesiology                             ,142,,170,127,206,,162,155,221,,184,132,215,,194,72,,
,,"130100 - Family and Consumer Sciences, General   ",72,,100,26,142,,121,24,164,,126,42,109,,107,33,,
,,130500 - Child Development/Early Care and Educati,"1,334",,"1,537",760,"1,381",,"1,246",841,"1,587",,"1,489",665,"1,473",,"1,522",257,,
,,130520 - Children with Special Needs             ,7,,7,,,,,,,,,,,,,,,
,,130540 - Preshool Age Children                   ,68,,101,71,68,,67,44,98,,79,83,74,,138,,,
,,130590 - Infants and Toddlers                    ,,,,,5,,,,,,10,,,,16,,,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",394,,338,170,438,,341,166,429,,436,201,478,,495,,,
,,150100 - English                                 ,"3,916",,"3,555","1,695","4,261",,"3,210","1,763","4,466",,"3,802","1,648","4,331",,"3,724",301,,
,,150400 - Classics                                ,32,,52,,40,,45,49,73,,37,75,63,,63,54,,
,,150600 - Speech Communication                    ,"1,847",,"1,672",575,"1,859",,"1,607",686,"1,589",,"1,737",699,"2,011",,"1,958",115,,
,,150900 - Philosophy                              ,418,,511,233,493,,438,173,562,,401,146,531,,452,38,,
,,152000 - Reading                                 ,209,,258,186,292,,261,193,329,,318,188,315,,244,,,
,,159900 - Other Humanities                        ,724,,660,351,781,,730,518,760,,"1,027",398,"1,039",,"1,108",114,,
,,"160100 - Library Science, General                ",,,,,,,,,25,,17,,27,,29,,,
,,"170100 - Mathematics, General                    ","2,561",,"2,698","1,254","2,561",,"2,537","1,197","2,817",,"2,846","1,246","2,887",,"2,968",243,,
,,170200 - Mathematics Skills                      ,24,,36,28,53,,93,10,96,,87,31,116,,83,8,,
,,"190100 - Physical Sciences, General              ",23,,52,,47,,49,,29,,34,,50,,27,,,
,,"190200 - Physics, General                        ",345,,151,,328,,259,,321,,415,,385,,398,,,
,,"190500 - Chemistry, General                      ",754,,666,222,766,,722,346,851,,717,493,834,,853,,,
,,191100 - Astronomy                               ,318,,303,13,250,,375,13,242,,265,,204,,229,84,,
,,191400 - Geology                                 ,97,,115,14,107,,113,42,144,,128,14,179,,154,,,
,,193000 - Earth Science                           ,157,,172,,143,,151,26,144,,157,50,142,,162,,,
,,"200100 - Psychology, General                     ","1,922",,"1,960","1,108","2,077",,"1,838",931,"2,274",,"1,905","1,057","1,982",,"2,116",95,,
,,200300 - Behavioral Science                      ,,,14,,,,11,,,,13,13,,,14,14,,
,,210400 - Human Services                          ,318,,275,65,371,,310,44,404,,330,91,441,,486,39,,
,,210440 - Alcohol and Controlled Substances       ,,,,,,,,,,,,,35,,,,,
,,210500 - Administration of Justice               ,687,,844,241,837,,708,318,910,,792,337,"1,018",,866,283,,
,,213300 - Fire Technology                         ,220,,206,28,233,,218,36,253,,299,160,265,,283,,,
,,213350 - Fire Academy                            ,66,,45,,53,,,,90,,95,,86,,62,,,
,,"220100 - Social Sciences, General                ",208,,251,52,196,,166,34,209,,229,,230,,186,48,,
,,220110 - Women's Studies                         ,13,,,,16,,,,20,,,,,,,,,
,,"220140 - Gay, Lesbian, Bisexual and Transgender S",,,,,79,,66,26,47,,33,,50,,,,,
,,220200 - Anthropology                            ,402,,433,157,535,,380,37,549,,431,77,416,,318,,,
,,220300 - Ethnic Studies                          ,,,51,156,397,,583,719,925,,785,879,"1,201",,"1,298",632,,
,,220400 - Economics                               ,435,,498,346,491,,422,220,438,,384,165,360,,427,22,,
,,220500 - History                                 ,"2,245",,"2,069","1,381","2,378",,"1,969","1,264","2,612",,"2,020","1,400","2,935",,"2,438",605,,
,,220600 - Geography                               ,390,,405,284,425,,404,216,404,,340,246,403,,443,115,,
,,220700 - Political Science                       ,658,,705,369,704,,660,383,738,,656,390,675,,586,50,,
,,220800 - Sociology                               ,"1,397",,"1,312",769,"1,548",,"1,260",693,"1,407",,"1,286",774,"1,334",,"1,273",355,,
,,302020 - Piloting                                ,,,,,,,,,,,,,,,12,,,
,,493010 - Career Guidance and Orientation         ,450,,263,300,278,,223,198,234,,263,151,216,,126,,,
,,493012 - Job Seeking/Changing Skills             ,56,,50,,51,,51,,58,,69,,65,,,,,
,,493013 - Academic Guidance                       ,860,,621,420,"1,006",,567,489,"1,001",,496,381,839,,472,41,,
,,493072 - Leadership Skills Development           ,120,,85,,146,,79,,63,,78,,64,,72,,,
,,493084 - English as a Second Language - Writing  ,26,,13,,13,,14,,19,,22,,38,,20,,,
,Credit - Not Degree Applicable                     Total,,"1,019",,"1,129",161,995,,946,196,"1,026",,"1,253",288,"1,126",,"1,081",,,
,,094500 - Industrial Systems Technology and Mainte,36,,41,,,,,,,,,,,,,,,
,,150100 - English                                 ,58,,48,,,,,,,,,,,,,,,
,,152000 - Reading                                 ,,,18,,23,,22,,,,,,,,,,,
,,"170100 - Mathematics, General                    ",112,,81,,,,,,,,,,,,,,,
,,170200 - Mathematics Skills                      ,622,,650,109,645,,735,177,834,,"1,081",249,958,,940,,,
,,493084 - English as a Second Language - Writing  ,59,,90,,71,,49,19,73,,69,,70,,39,,,
,,493086 - English as a Second Language - Listening,50,,79,,92,,50,,26,,17,,32,,27,,,
,,493087 - English as a Second Language - Integrate,82,,122,52,164,,90,,93,,86,39,66,,75,,,
