,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,100230 - Ceramics                                ,236,42,300,78,406,84,450,92,446,90,534,90,518,90,558,84,516,
,,100400 - Music                                   ,820,231,599,321,850,291,821,330,"1,002",295,"1,025",254,"1,233",277,"1,200",322,"1,160",
,,100500 - Commercial Music                        ,90,,89,,66,,79,,89,,128,,83,,88,,72,
,,100600 - Technical Theater                       ,25,,28,,22,,31,,37,,54,,52,,62,,72,
,,100700 - Dramatic Arts                           ,332,168,283,125,339,157,430,156,409,215,411,106,509,194,459,168,550,
,,100800 - Dance                                   ,187,89,269,57,220,49,223,48,245,76,253,77,183,79,163,66,163,
,,100810 - Commercial Dance                        ,102,,118,,149,,182,,152,,168,18,204,,198,16,199,
,,101100 - Photography                             ,,,,,,,,,,,1,,1,,,,1,
,,101200 - Applied Photography                     ,300,72,300,35,352,42,320,68,357,26,400,58,306,70,235,50,235,
,,103000 - Graphic Art and Design                  ,318,18,242,,262,6,278,,264,,274,,282,,260,,292,
,,110200 - French                                  ,119,20,133,50,133,14,103,34,118,11,111,30,112,22,132,31,149,
,,110400 - Italian                                 ,71,,73,,43,20,45,,51,,36,,67,,32,,51,
,,110500 - Spanish                                 ,271,54,277,121,222,50,239,130,239,58,210,114,219,54,225,144,260,
,,110700 - Chinese                                 ,23,,18,,26,,13,,14,,,,,,10,,9,
,,110800 - Japanese                                ,118,,85,32,86,,66,17,115,,72,15,101,,79,40,110,
,,111710 - Filipino (Tagalog)                      ,,,,,,,,,,,,,,,18,,27,
,,111730 - Korean                                  ,33,,15,,29,,11,,26,,,,28,,14,,32,
,,119900 - Other Foreign Languages                 ,478,139,480,111,454,126,419,140,492,72,487,141,495,70,490,116,474,
,,"120100 - Health Occupations, General             ",,,,,,,,,,,,,64,,51,,69,
,,120200 - Hospital and Health Care Administration ,,,26,24,30,,27,24,28,,30,27,38,,40,29,36,
,,122800 - Athletic Training and Sports Medicine   ,,,7,,,,19,,,,12,,,,13,,,
,,123010 - Registered Nursing                      ,724,95,632,82,689,97,597,104,672,104,664,68,678,64,705,91,630,
,,125000 - Emergency Medical Services              ,132,37,108,22,95,33,128,33,115,36,97,55,161,34,146,55,147,
,,125100 - Paramedic                               ,,,,,,,,,,,,,66,22,60,,120,
,,127000 - Kinesiology                             ,238,,100,33,244,,105,27,252,,111,31,237,,144,24,234,
,,130200 - Interior Design and Merchandising       ,36,11,36,,,14,42,,46,,28,,24,14,50,,42,
,,130500 - Child Development/Early Care and Educati,395,46,257,25,299,44,257,9,368,14,335,31,377,60,355,45,432,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",147,22,144,23,115,23,137,22,146,23,142,24,200,50,190,39,215,
,,130620 - Dietetic Services and Management        ,31,,17,,28,,28,,40,,35,,31,,40,,34,
,,130630 - Culinary Arts                           ,309,1,204,3,228,4,245,23,297,14,271,22,250,13,262,38,251,
,,130700 - Hospitality                             ,38,,48,,44,,33,,28,,28,,35,,42,,41,
,,130710 - Restaurant and Food Services and Managem,66,,53,,44,,38,,11,,49,,21,,56,,57,
,,150100 - English                                 ,"2,572",696,"2,040",545,"2,636",679,"2,074",573,"2,845",743,"2,220",531,"2,878",722,"2,165",601,"2,692",
,,150110 - Linguistics                             ,35,36,51,19,47,31,55,23,58,35,71,36,92,64,97,55,129,
,,150600 - Speech Communication                    ,"1,037",526,818,576,957,650,842,552,958,654,861,467,984,711,938,600,"1,043",
,,150700 - Creative Writing                        ,74,21,97,25,67,19,74,43,75,12,80,23,70,21,52,54,69,
,,150900 - Philosophy                              ,314,28,232,39,241,22,301,,295,37,306,29,346,26,328,37,364,
,,159900 - Other Humanities                        ,446,288,404,220,428,228,400,216,466,236,361,202,478,253,416,215,532,
,,169900 - Other Library Science                   ,19,,29,,19,,22,18,26,,28,,23,,26,20,18,
,,"170100 - Mathematics, General                    ","3,558",346,"2,685",540,"2,560",398,"2,420",502,"2,652",434,"2,394",534,"2,569",401,"2,368",572,"2,543",
,,170200 - Mathematics Skills                      ,,,,,,,,,17,,18,,26,,27,,25,
,,"190200 - Physics, General                        ",468,40,499,84,279,12,410,54,397,26,464,24,407,62,449,34,380,
,,"190500 - Chemistry, General                      ","1,690",374,"1,458",245,"1,236",337,"1,350",330,"1,544",,"1,557",418,"1,721",352,"1,612",368,"1,747",
,,191100 - Astronomy                               ,211,46,153,58,219,72,178,56,159,56,170,76,171,68,146,67,187,
,,191400 - Geology                                 ,237,82,151,49,206,53,196,63,189,54,218,43,252,55,250,54,281,
,,191900 - Oceangraphy                             ,262,90,256,109,214,54,256,101,227,58,311,112,332,71,362,109,362,
,,"200100 - Psychology, General                     ","1,077",215,"1,025",286,935,201,"1,081",297,"1,054",191,"1,106",298,"1,179",209,"1,170",314,"1,231",
,,200300 - Behavioral Science                      ,,,,,44,,18,,32,,10,,,,,,,
,,210400 - Human Services                          ,22,,19,,17,,10,,11,,10,,,,,,,
,,210440 - Alcohol and Controlled Substances       ,140,,92,13,114,,85,11,97,,107,19,148,,118,15,117,
,,210500 - Administration of Justice               ,232,14,179,32,157,13,209,29,197,,194,20,228,10,223,28,263,
,,"210540 - Forensics, Evidence, and Investigation  ",9,,,,,,17,,,,,,,,21,,,
,,213300 - Fire Technology                         ,154,10,138,22,145,,79,17,123,11,211,53,130,16,261,57,183,
,,213350 - Fire Academy                            ,100,86,68,58,46,80,68,54,40,88,62,54,48,86,84,74,58,
,,"220100 - Social Sciences, General                ",146,,74,,155,,76,,320,,72,,223,,77,,246,
,,220200 - Anthropology                            ,385,,352,56,373,,343,36,431,,440,84,375,27,370,75,416,
,,220220 - Archaeology                             ,,,13,,,,13,,,,,,,,,,,
,,220300 - Ethnic Studies                          ,321,63,318,65,360,85,348,63,416,107,515,157,681,163,763,174,866,
,,220400 - Economics                               ,600,119,635,190,631,123,619,173,709,116,671,148,743,118,739,179,793,
,,220500 - History                                 ,977,202,949,225,880,231,961,264,978,250,948,320,"1,110",240,"1,095",363,"1,257",
,,220600 - Geography                               ,463,69,454,31,468,43,351,33,455,69,321,50,417,42,383,86,411,
,,220700 - Political Science                       ,871,190,671,220,821,163,728,196,951,230,763,250,930,206,873,260,"1,129",
,,220710 - Student Government                      ,,,,,,,,,,,,,14,,10,,,
,,220800 - Sociology                               ,630,117,470,133,638,121,554,119,559,113,494,143,687,110,639,134,854,
,,300900 - Travel Services and Tourism             ,,,19,,,,17,,,,18,,,,24,,,
,,302000 - Aviation and Airport Management and Serv,14,,19,,16,,27,,1,,9,,,,13,,,
,,302010 - Aviation and Airport Management         ,,,34,,,,16,,,,45,,,,50,,,
,,302020 - Piloting                                ,131,,104,11,132,,155,19,174,,166,,237,,195,,231,
,,302040 - Flight Attendant                        ,38,,12,,40,,13,,38,,12,,57,,23,,55,
