,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,100200 - Art                                     ,71,,64,,75,,65,,51,,81,14,90,,112,,,
,,100210 - Painting and Drawing                    ,240,,163,38,241,,219,33,262,,228,49,266,,360,,,
,,100220 - Sculpture                               ,81,,23,,56,,36,,72,,45,,53,,66,,,
,,100230 - Ceramics                                ,,,31,,42,,47,,38,,39,,47,,43,,,
,,100400 - Music                                   ,519,,500,127,552,,461,98,557,,636,91,626,,532,,,
,,100500 - Commercial Music                        ,26,,14,,12,,14,,17,,1,15,,,1,,,
,,100600 - Technical Theater                       ,7,,5,,12,,11,,20,,22,,16,,21,,,
,,100700 - Dramatic Arts                           ,187,,123,35,260,,210,10,299,,247,11,316,,261,,,
,,100800 - Dance                                   ,82,,49,15,73,,80,22,73,,42,12,67,,49,,,
,,101100 - Photography                             ,66,,66,,101,,64,,60,,66,,65,,73,,,
,,101200 - Applied Photography                     ,262,,253,,229,,239,,268,,322,1,287,,278,,,
,,110500 - Spanish                                 ,389,,372,54,341,,312,138,435,,407,127,445,,440,,,
,,"111700 - Asian, South Asian, and Pacific Islands ",26,,13,,23,,10,33,,,,,,,,,,
,,111720 - Vietnamese                              ,119,,83,49,80,,71,43,87,,75,46,82,,73,,,
,,"120100 - Health Occupations, General             ",716,,663,343,764,,712,327,738,,778,355,836,,968,,,
,,120800 - Medical Assisting                       ,80,,48,8,75,,53,17,73,,40,16,71,,40,,,
,,120810 - Clinical Medical Assisting              ,,,19,,,,23,,,,19,,,,22,,,
,,120820 - Administrative Medical Assisting        ,55,,,,52,,,,65,,,,70,,,,,
,,122100 - Pharmacy Technology                     ,71,,111,,75,,111,,99,,115,,74,,105,,,
,,122300 - Health Information Technology           ,108,,122,,134,,99,,68,,132,,127,,65,,,
,,122310 - Health Information Coding               ,47,,65,,53,,58,,33,,60,,31,,47,,,
,,122700 - Diagnostic Medical Sonography           ,48,,32,32,28,,28,,,,,,,,,,,
,,125000 - Emergency Medical Services              ,141,,133,,93,,161,,157,,201,,170,,218,,,
,,127000 - Kinesiology                             ,,,,,,,,,,,,,20,,,,,
,,130500 - Child Development/Early Care and Educati,557,,597,163,624,,629,220,742,,634,207,718,,672,,,
,,130520 - Children with Special Needs             ,32,,41,,52,,72,,35,,42,,43,,68,,,
,,130540 - Preshool Age Children                   ,40,,25,,24,,25,,20,,21,,26,,24,,,
,,130580 - Child Development Administration and Man,35,,30,36,106,,58,42,118,,70,38,110,,35,,,
,,130590 - Infants and Toddlers                    ,59,,70,,68,,93,,69,,77,,73,,63,,,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",515,,530,203,607,,518,261,595,,624,264,695,,724,,,
,,130710 - Restaurant and Food Services and Managem,174,,138,4,162,,128,43,177,,172,38,155,,132,,,
,,130800 - Family Studies                          ,213,,188,141,144,,191,179,255,,194,198,226,,230,,,
,,"140100 - Law, General                            ",36,,,,25,,18,,34,,21,,18,,17,,,
,,150100 - English                                 ,"3,162",,"2,375",563,"3,060",,"2,599",662,"3,453",,"2,976",854,"3,126",,"3,218",,,
,,150400 - Classics                                ,230,,85,71,203,,91,62,263,,181,80,224,,183,,,
,,150600 - Speech Communication                    ,"1,118",,"1,236",371,"1,215",,"1,408",458,"1,513",,"1,501",489,"1,567",,"1,613",,,
,,150700 - Creative Writing                        ,106,,60,27,92,,70,18,133,,105,24,117,,84,,,
,,150900 - Philosophy                              ,458,,383,164,475,,429,111,534,,471,152,516,,366,,,
,,152000 - Reading                                 ,55,,56,,29,,28,,31,,26,,25,,27,,,
,,159900 - Other Humanities                        ,409,,319,84,409,,286,92,490,,291,88,388,,239,,,
,,"170100 - Mathematics, General                    ","2,731",,"1,890",304,"2,366",,"1,977",379,"2,815",,"2,105",432,"2,985",,"2,259",,,
,,"190200 - Physics, General                        ",247,,213,63,245,,239,90,280,,243,92,289,,305,,,
,,"190500 - Chemistry, General                      ",825,,752,123,739,,798,120,909,,943,198,978,,"1,085",,,
,,191100 - Astronomy                               ,253,,204,52,191,,197,47,223,,229,51,259,,243,,,
,,191400 - Geology                                 ,93,,89,31,87,,113,,87,,132,29,107,,105,,,
,,191900 - Oceangraphy                             ,,,,,21,,,33,18,,,,22,,,,,
,,193000 - Earth Science                           ,136,,33,,100,,89,33,116,,83,,121,,90,,,
,,"200100 - Psychology, General                     ","1,214",,"1,024",407,"1,144",,"1,171",294,"1,271",,"1,376",320,"1,621",,"1,522",,,
,,210400 - Human Services                          ,160,,113,13,142,,149,19,162,,182,44,194,,161,,,
,,213300 - Fire Technology                         ,162,,141,60,114,,150,39,94,,151,53,146,,195,,,
,,213310 - Wildland Fire Technology                ,,,,,,,,,,,,6,,,,,,
,,213350 - Fire Academy                            ,20,,20,,14,,13,,21,,14,,19,,17,,,
,,220130 - Social Justice Studies                  ,41,,35,,42,,33,,43,,19,,50,,22,,,
,,220200 - Anthropology                            ,853,,820,295,829,,869,309,957,,931,291,806,,864,,,
,,220220 - Archaeology                             ,,,29,,,,27,,,,35,,,,25,,,
,,220300 - Ethnic Studies                          ,77,,150,,222,,296,222,586,,458,355,809,,874,,,
,,220400 - Economics                               ,756,,540,199,710,,640,257,725,,678,285,656,,626,,,
,,220500 - History                                 ,"1,094",,936,397,954,,"1,037",338,"1,212",,"1,171",417,"1,087",,"1,045",,,
,,220600 - Geography                               ,387,,381,12,435,,489,67,624,,456,106,564,,545,,,
,,220610 - Geographic Information Systems          ,19,,,,30,,,,28,,,,21,,,,,
,,220700 - Political Science                       ,391,,391,134,323,,334,144,328,,339,122,329,,386,,,
,,220800 - Sociology                               ,"1,085",,874,480,978,,781,462,986,,859,388,"1,113",,922,,,
,,493010 - Career Guidance and Orientation         ,20,,13,,27,,30,,21,,,,,,,,,
,,493013 - Academic Guidance                       ,353,,185,70,245,,216,97,234,,230,75,300,,198,,,
,,"493032 - Learning Skills, Learning Disabled      ",31,,,,30,,20,,35,,30,,32,,22,,,
,,493084 - English as a Second Language - Writing  ,27,,29,19,79,,32,23,98,,125,18,124,,118,,,
,,493086 - English as a Second Language - Listening,26,,32,,44,,36,,46,,42,,42,,45,,,
,,493087 - English as a Second Language - Integrate,52,,45,,27,,39,,62,,43,,73,,60,,,
,,493200 - General Work Experience                 ,3,,15,2,7,,9,5,9,,10,2,2,,15,,,
,Credit - Not Degree Applicable                     Total,,"1,030",,717,46,897,,914,193,"1,065",,754,233,"1,133",,"1,076",110,111,
,,050640 - Small Business and Entrepreneurship     ,23,,38,,13,,31,,25,,26,36,25,,27,,,
