,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Office Technology/Office Computer Applications-051400,,,,,2,
,,Plant Science-010300,,,1,,,
,,Police Academy-210550,26,,,,,
,,Public Administration-210200,,,,,1,
,,Veterinary Technician (Licensed)-010210,,39,19,,19,
,,Water and Wastewater Technology-095800,20,17,15,,11,
,Certificate requiring 8 to fewer than 16 semester units      Total,,407,325,302,246,252,
,,Accounting-050200,,,,2,,
,,Architecture and Architectural Technology-020100,,,,16,6,
,,Automotive Technology-094800,,19,48,31,24,
,,Biological and Physical Sciences (and Mathematics)-490200,,,,6,,
,,"Biology, General-040100",360,271,232,,,
,,Business Management-050600,,,,1,,
,,Child Development/Early Care and Education-130500,1,2,,16,,
,,Construction Inspection-095720,,,,7,,
,,Diesel Technology-094700,9,6,12,2,6,
,,Drafting Technology-095300,6,5,10,,1,
,,Educational Aide (Teacher Assistant)-080200,29,21,,,57,
,,Health Education-083700,,,,1,,
,,History-220500,,,,1,,
,,Human Services-210400,,,,2,,
,,Humanities and Fine Arts-490310,,,,8,,
,,Kinesiology-127000,,,,2,,
,,"Liberal Arts and Sciences, General-490100",,,,17,,
,,Liberal Studies-490120,,,,12,,
,,Management Development and Supervision-050630,,,,4,,
,,Manufacturing and Industrial Technology-095600,,,,1,13,
,,Marketing and Distribution-050900,,,,9,,
,,Mechanical Drafting-095340,,1,,4,,
,,Medical Assisting-120800,,,,24,,
,,Medical Office Technology-051420,2,,,29,,
,,Music-100400,,,,4,,
,,Office Technology/Office Computer Applications-051400,,,,5,,
,,Other Biological Sciences-049900,,,,,145,
,,Paramedic-125100,,,,1,,
,,"Psychology, General-200100",,,,2,,
,,Sociology-220800,,,,1,,
,,Transfer Studies-490110,,,,2,,
,,Veterinary Technician (Licensed)-010210,,,,22,,
,,Water and Wastewater Technology-095800,,,,14,,
,Noncredit award requiring from 960+ hours                    Total,,,48,61,49,80,
,,Police Academy-210550,,48,61,49,80,
,Noncredit award requiring from 144 to < 192 hours            Total,,,12,52,140,187,
,,English as a Second Language - Integrated-493087,,,49,122,159,
,,Job Seeking/Changing Skills-493012,,,3,2,6,
,,Plant Science-010300,,12,,16,22,
