,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Construction Inspection-095720,2,1,6,,6,
,,Dance-100800,1,1,,1,,
,,Dramatic Arts-100700,,,,1,,
,,English-150100,3,6,1,4,5,
,,Fashion Merchandising-130320,,,,,2,
,,Fitness Trainer-083520,5,3,8,3,3,
,,Food Processing and Related Technologies-011300,,,,1,1,
,,Geographic Information Systems-220610,6,6,5,4,8,
,,Health Information Coding-122310,4,5,8,7,21,
,,"Health Occupations, General-120100",,,,,9,
,,"Liberal Arts and Sciences, General-490100",,2,7,25,22,
,,Marketing and Distribution-050900,1,2,,2,1,
,,Medical Assisting-120800,8,7,6,9,14,
,,Multimedia-061410,3,2,1,1,2,
,,Music-100400,1,5,2,,3,
,,"Nutrition, Foods, and Culinary Arts-130600",,1,,1,1,
,,Office Technology/Office Computer Applications-051400,1,3,1,,,
,,Other Health Occupations-129900,,1,10,23,1,
,,Preshool Age Children-130540,9,9,16,9,9,
,,Retail Store Operations and Management-050650,4,4,6,7,3,
,,Small Business and Entrepreneurship-050640,2,,3,1,,
,,Website Design and Development-061430,7,7,5,,5,
,Certificate requiring 8 to fewer than 16 semester units      Total,,3,1,,8,28,
,,Culinary Arts-130630,,,,3,13,
,,Dental Occupations-124000,,1,,5,4,
,,Geographic Information Systems-220610,3,,,,,
,,Multimedia-061410,,,,,11,
