,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Chabot Hayward Total,,,"2,306","2,824","2,483","3,054","3,650",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,291,211,215,214,215,
,,Administration of Justice-210500,57,37,32,23,23,
,,"Biology, General-040100",17,15,20,19,16,
,,Business Administration-050500,174,114,114,123,107,
,,Child Development/Early Care and Education-130500,18,14,12,16,12,
,,"Health Occupations, General-120100",4,5,4,13,10,
,,"Mathematics, General-170100",18,21,26,10,22,
,,"Nutrition, Foods, and Culinary Arts-130600",,1,,2,1,
,,"Physics, General-190200",3,4,4,1,8,
,,Television (including combined TV/Film/Video)-060420,,,3,7,16,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,336,304,277,256,286,
,,Anthropology-220200,1,6,6,3,2,
,,Art-100200,14,3,6,9,18,
,,Dramatic Arts-100700,1,6,2,3,9,
,,Economics-220400,44,22,27,23,37,
,,English-150100,20,9,10,18,9,
,,"Fine Arts, General-100100",,,1,,3,
,,Geography-220600,1,3,,2,,
,,Global Studies-221020,1,,,,,
,,History-220500,9,6,14,7,5,
,,Human Services-210400,1,9,1,4,6,
,,Journalism-060200,,3,2,2,1,
,,Kinesiology-127000,11,16,9,10,24,
,,Liberal Studies-490120,4,4,,1,1,
,,Music-100400,4,1,3,,1,
,,Philosophy-150900,,,1,1,2,
,,Political Science-220700,22,18,19,12,13,
,,"Psychology, General-200100",114,120,106,104,100,
,,Social Justice Studies-220130,5,2,5,,,
,,Social Justice: African American Studies-220180,,,1,1,,
,,Social Justice: Asian American Studies-220190,,,1,6,2,
,,Social Justice: Chicano Studies-220160,,1,1,,,
,,Social Justice: Ethnic Studies-220150,,,,5,6,
,,Sociology-220800,63,49,36,26,25,
,,Spanish-110500,3,8,6,2,1,
,,Speech Communication-150600,18,18,20,17,21,
,Associate of Science (A.S.) degree                           Total,,134,184,451,623,648,
,,Accounting-050200,16,10,18,8,12,
,,Architecture and Architectural Technology-020100,1,1,,2,,
,,Automotive Technology-094800,15,15,6,13,9,
,,"Biology, General-040100",,,9,16,17,
,,Business Management-050600,4,2,5,,5,
,,"Chemistry, General-190500",2,,5,3,3,
,,Computer Information Systems-070200,9,12,18,25,21,
,,Computer Networking-070810,,,,,9,
,,Dental Hygienist-124020,2,16,13,17,19,
,,Electrical-095220,,,,,1,
,,Electronics and Electric Technology-093400,3,4,8,7,5,
,,"Engineering, General (requires Calculus) (Transfer)-090100",7,10,9,10,25,
,,Fire Technology-213300,4,10,7,7,9,
,,Human Services-210400,2,5,5,5,3,
,,"Information Technology, General-070100",9,12,11,10,,
,,Interior Design and Merchandising-130200,1,4,1,,5,
,,"Liberal Arts and Sciences, General-490100",,,149,337,306,
,,Machining and Machine Tools-095630,3,4,1,1,11,
,,Manufacturing and Industrial Technology-095600,1,,,,,
,,"Mathematics, General-170100",23,18,28,25,36,
,,Medical Assisting-120800,,9,10,8,7,
,,Nursing-123000,1,1,2,,,
,,Office Technology/Office Computer Applications-051400,11,1,,,1,
,,Other Biological Sciences-049900,,,83,100,91,
,,Registered Nursing-123010,1,22,31,,20,
,,Small Business and Entrepreneurship-050640,17,21,28,17,30,
,,Software Applications-070210,1,2,2,3,2,
,,Welding Technology-095650,1,5,2,9,1,
,Associate of Arts (A.A.) degree                              Total,,663,781,499,504,583,
,,Administration of Justice-210500,5,8,13,15,2,
,,Anthropology-220200,1,1,2,,1,
,,Applied Photography-101200,2,,,2,1,
,,Architecture and Architectural Technology-020100,6,7,7,7,11,
,,Art-100200,,2,,,,
,,Behavioral Science-200300,13,8,9,13,4,
,,Biological and Physical Sciences (and Mathematics)-490200,,,4,1,,
,,"Biology, General-040100",107,7,1,,,
,,Ceramics-100230,,1,1,,,
,,Child Development/Early Care and Education-130500,23,24,15,15,19,
,,Children with Special Needs-130520,5,2,10,1,1,
,,Commercial Music-100500,,3,1,2,3,
,,Computer Graphics and Digital Imagery-061460,,1,,,,
,,Computer Science (Transfer)-070600,1,,,,,
,,Creative Writing-150700,,2,7,3,6,
,,Dental Hygienist-124020,16,,,,1,
,,Digital Media-061400,3,7,17,17,14,
,,Dramatic Arts-100700,3,2,3,,,
,,English-150100,6,6,3,2,3,
,,Environmental Studies-030200,2,4,4,1,2,
,,Ethnic Studies-220300,3,1,5,2,1,
,,Film Production-061220,1,,5,5,10,
,,"Fine Arts, General-100100",4,1,3,2,,
,,Fire Technology-213300,2,,,1,,
,,French-110200,6,5,4,,2,
,,Geography-220600,,,1,1,,
,,Human Services-210400,1,,,,,
,,Humanities and Fine Arts-490310,,,1,,,
,,International Studies-221000,1,1,,1,,
,,"Liberal Arts and Sciences, General-490100",396,544,342,384,476,
,,Mass Communications-061000,,1,3,3,1,
,,"Mathematics, General-170100",7,3,,,,
,,Medical Assisting-120800,3,10,,,1,
,,Other Biological Sciences-049900,,108,19,8,3,
,,Other Fine and Applied Arts-109900,,1,2,,3,
,,Painting and Drawing-100210,1,4,1,3,5,
,,Philosophy-150900,,,,,1,
,,Photography-101100,,1,,1,,
,,Radio and Television-060400,2,3,2,2,3,
,,Real Estate-051100,8,9,11,9,5,
,,Registered Nursing-123010,29,1,,,,
,,Sculpture-100220,,1,,,,
,,"Social Sciences, General-220100",1,,3,1,2,
,,Spanish-110500,3,1,,2,1,
,,Speech Communication-150600,2,1,,,1,
,Certificate requiring 30 to < 60 semester units              Total,,514,928,649,624,760,
,,Architecture and Architectural Technology-020100,7,6,3,6,12,
,,Automotive Technology-094800,6,1,,1,1,
,,Child Development Administration and Management-130580,5,2,3,2,7,
,,Child Development/Early Care and Education-130500,2,,,,,
,,Children with Special Needs-130520,1,1,,,,
,,Dental Hygienist-124020,,,12,21,,
,,Electrical-095220,,,,16,24,
,,Fire Academy-213350,,4,1,5,13,
,,Fire Technology-213300,2,5,2,1,7,
,,Interior Design and Merchandising-130200,5,6,6,,6,
,,Machining and Machine Tools-095630,,3,1,2,5,
,,Medical Assisting-120800,,19,16,9,13,
,,"Plumbing, Pipefitting and Steamfitting-095230",,,,,19,
,,Police Academy-210550,,2,17,8,39,
,,Retail Store Operations and Management-050650,1,,,,,
,,Sheet Metal and Structural Metal-095640,,,,,8,
,,Transfer Studies-490110,485,879,588,553,606,
,Certificate requiring 16 to fewer than 30 semester units     Total,,238,297,300,694,"1,068",
,,Accounting-050200,22,17,17,28,23,
,,Administration of Justice-210500,,,,2,1,
,,Animation-061440,,,4,2,6,
,,Applied Design-100900,,,,1,1,
,,Applied Photography-101200,,1,1,8,5,
