,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Fire Academy-213350,19,174,175,160,315,
,,Fitness Trainer-083520,,2,1,,2,
,,"Forensics, Evidence, and Investigation-210540",27,42,33,32,64,
,,Gerontology-130900,4,5,6,6,5,
,,Graphic Art and Design-103000,,,,,13,
,,Health Information Coding-122310,3,2,1,,1,
,,"Health Occupations, General-120100",,,,1,273,
,,Hospitality-130700,,2,,1,,
,,Infants and Toddlers-130590,,,,,35,
,,Journalism-060200,1,3,3,3,6,
,,"Law, General-140100",,2,7,4,21,
,,Logistics and Materials Transportation-051000,9,8,2,4,8,
,,Marketing and Distribution-050900,,3,2,2,5,
,,Medical Assisting-120800,,10,15,31,21,
,,Office Technology/Office Computer Applications-051400,5,5,7,18,28,
,,Other Fine and Applied Arts-109900,,2,2,5,8,
,,Paralegal-140200,14,19,20,23,75,
,,Physical Therapist Assistant-122200,4,13,11,1,4,
,,Police Academy-210550,89,116,270,290,523,
,,Probation and Parole-210520,14,48,74,60,77,
,,Real Estate-051100,3,2,2,3,10,
,,Surveying-095730,,,,1,1,
,,Tax Studies-050210,2,2,,,8,
,,Technical Theater-100600,3,6,1,8,13,
,Certificate requiring 8 to fewer than 16 semester units      Total,,42,44,51,20,10,
,,Administration of Justice-210500,10,5,12,8,8,
,,Applied Photography-101200,,,,1,2,
,,Architecture and Architectural Technology-020100,2,3,,1,,
,,Automotive Technology-094800,7,18,23,,,
,,Customer Service-051800,3,3,,,,
,,Fire Academy-213350,4,5,5,,,
,,Infants and Toddlers-130590,13,7,11,10,,
,,Office Technology/Office Computer Applications-051400,3,3,,,,
,Certificate requiring 6 to < 18 semester units               Total,,566,544,510,672,722,
,,Accounting-050200,146,97,69,108,125,
,,Administration of Justice-210500,1,48,64,68,84,
,,Alcohol and Controlled Substances-210440,39,60,69,117,135,
,,Applied Photography-101200,,,5,5,8,
,,Architecture and Architectural Technology-020100,,2,38,59,31,
,,Automotive Technology-094800,1,6,10,8,13,
,,Banking and Finance-050400,,,,,4,
,,Child and Adolescent Development-130510,,,,1,,
,,Child Development/Early Care and Education-130500,21,40,38,51,69,
,,Children with Special Needs-130520,38,43,38,38,45,
,,Computer Electronics-093410,2,3,,4,,
,,Computer Graphics and Digital Imagery-061460,2,2,4,1,5,
,,Computer Information Systems-070200,3,,,,,
,,Computer Infrastructure and Support-070800,,3,11,3,6,
,,Computer Systems Analysis-070730,,,4,3,1,
,,Corrections-210510,2,18,,,,
,,Customer Service-051800,1,1,,,,
,,Drafting Technology-095300,13,9,9,9,14,
,,Dramatic Arts-100700,3,12,5,6,12,
,,Electronics and Electric Technology-093400,2,4,,4,3,
,,Emergency Medical Services-125000,35,8,1,5,6,
,,"Engineering, General (requires Calculus) (Transfer)-090100",3,4,3,8,3,
,,Fire Academy-213350,,1,,,,
,,Fire Technology-213300,3,4,,,,
,,"Health Occupations, General-120100",10,25,26,36,41,
,,Industrial and Transportation Security-210530,,5,,,,
,,"Information Technology, General-070100",4,30,18,25,12,
,,International Business and Trade-050800,6,1,4,5,1,
,,Logistics and Materials Transportation-051000,42,37,21,21,8,
,,"Nutrition, Foods, and Culinary Arts-130600",,,,,1,
,,Office Technology/Office Computer Applications-051400,5,5,1,4,3,
,,Other Architecture and Environmental Design-029900,,,7,2,3,
,,Paralegal-140200,17,22,20,23,29,
,,Physical Education-083500,,5,2,5,7,
,,Physical Therapist Assistant-122200,,,,,6,
,,Police Academy-210550,145,,,,,
,,Real Estate-051100,18,25,31,15,28,
,,Sign Language-085000,,,1,6,3,
,,Small Business and Entrepreneurship-050640,1,8,11,10,5,
,,Surveying-095730,,,,,1,
,,Technical Theater-100600,3,16,,22,10,
,"Other Credit Award, < 6 semester units                       Total",,274,155,95,57,66,
,,Accounting-050200,166,86,30,16,5,
,,Administration of Justice-210500,70,16,4,,,
,,Architecture and Architectural Technology-020100,2,5,14,,,
,,Aviation Airframe Mechanics-095010,,,,4,1,
,,Computer Electronics-093410,5,15,24,31,54,
,,Emergency Medical Services-125000,1,,,,,
,,"Liberal Arts and Sciences, General-490100",,2,,,,
,,Other Architecture and Environmental Design-029900,2,2,10,,,
,,Real Estate-051100,25,23,10,3,,
,,Surveying-095730,3,6,3,3,6,
,Noncredit award requiring from 192 to < 288 hours            Total,,24,67,34,68,53,
,,English as a Second Language - Listening and Speaking-493086,24,67,34,68,53,
,Noncredit award requiring from 144 to < 192 hours            Total,,80,472,273,267,191,
,,Elementary Education (Grades 1-8)-493060,,11,2,,,
,,English as a Second Language - Integrated-493087,,95,16,35,9,
,,English as a Second Language - Listening and Speaking-493086,80,366,255,232,182,
,Noncredit award requiring from 96 to < 144 hours             Total,,,61,138,116,182,
,,Automotive Technology-094800,,,2,,,
,,Custodial Services-300500,,1,,,,
,,Electronics and Electric Technology-093400,,,98,113,138,
,,Job Seeking/Changing Skills-493012,,60,38,3,44,
,Noncredit award requiring from 48 to < 96 hours              Total,,333,675,361,225,247,
,,Accounting-050200,,6,6,2,5,
,,Child Development/Early Care and Education-130500,279,309,226,159,91,
,,Drafting Technology-095300,,,,,18,
,,General Studies-493000,,20,38,17,44,
,,Health Education-083700,,23,14,3,,
,,Job Seeking/Changing Skills-493012,1,218,56,39,89,
,,Medical Assisting-120800,45,24,1,,,
,,Other Health Occupations-129900,,38,20,1,,
,,Pharmacy Technology-122100,8,18,,,,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,19,,4,,
,Noncredit award requiring < 48 hours                         Total,,1,42,20,12,1,
,,"Health Occupations, General-120100",1,4,,,,
,,Small Business and Entrepreneurship-050640,,28,8,4,,
,,Technical Theater-100600,,10,12,8,1,
