,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Grossmont Total,,,"3,567","3,934","3,978","4,169","4,516",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,460,475,504,548,626,
,,Administration of Justice-210500,101,97,79,78,83,
,,"Biology, General-040100",39,65,42,25,43,
,,Business Administration-050500,193,211,255,327,335,
,,Child Development/Early Care and Education-130500,,,7,1,5,
,,Computer Science (Transfer)-070600,63,60,66,65,81,
,,Geology-191400,,,1,,3,
,,"Mathematics, General-170100",49,31,43,39,61,
,,"Physics, General-190200",15,11,11,13,15,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,522,543,539,615,605,
,,Anthropology-220200,7,11,16,9,10,
,,Art-100200,21,23,35,43,22,
,,Dramatic Arts-100700,2,14,5,10,6,
,,Economics-220400,158,200,171,182,216,
,,English-150100,27,24,29,26,33,
,,"Fine Arts, General-100100",3,9,4,8,9,
,,Geography-220600,4,3,4,4,1,
,,Global Studies-221020,,1,,1,,
,,History-220500,38,24,26,32,22,
,,Journalism-060200,3,1,5,6,5,
,,Kinesiology-127000,2,11,9,10,12,
,,Music-100400,3,2,5,2,2,
,,Philosophy-150900,3,1,5,4,7,
,,Political Science-220700,27,19,20,20,34,
,,"Psychology, General-200100",135,117,115,141,114,
,,Sociology-220800,48,45,58,35,53,
,,Spanish-110500,11,9,6,8,5,
,,Speech Communication-150600,30,29,26,74,54,
,Associate of Science (A.S.) degree                           Total,,536,627,729,728,902,
,,Administration of Justice-210500,13,13,9,7,6,
,,Biological and Physical Sciences (and Mathematics)-490200,208,246,277,288,371,
,,"Biology, General-040100",8,5,12,6,17,
,,Business Administration-050500,38,50,92,112,145,
,,"Business and Commerce, General-050100",8,10,8,3,5,
,,Business Management-050600,4,4,5,2,2,
,,Cardiovascular Technician-121300,32,27,22,34,30,
,,"Chemistry, General-190500",4,1,3,3,5,
,,Child Development Administration and Management-130580,2,6,7,1,2,
,,Child Development/Early Care and Education-130500,6,21,21,10,9,
,,Computer Infrastructure and Support-070800,11,25,32,19,33,
,,Computer Programming-070710,8,9,22,17,16,
,,Corrections-210510,1,,2,1,1,
,,Culinary Arts-130630,14,11,16,14,14,
,,Disability Services-210450,,1,,,,
,,"Forensics, Evidence, and Investigation-210540",13,20,19,24,22,
,,Geography-220600,1,2,1,2,,
,,Hospitality-130700,3,4,5,1,4,
,,Industrial and Transportation Security-210530,2,2,1,,,
,,"Information Technology, General-070100",5,16,12,14,15,
,,Journalism-060200,1,1,,,,
,,"Liberal Arts and Sciences, General-490100",,,,,2,
,,Marketing and Distribution-050900,2,4,2,5,3,
,,"Mathematics, General-170100",20,4,23,24,42,
,,Occupational Therapy Technology-121800,,,,,19,
,,Office Technology/Office Computer Applications-051400,4,13,4,8,7,
,,Orthopedic Assistant-121400,9,6,6,7,4,
,,Physical Education-083500,3,5,3,1,2,
,,"Physics, General-190200",3,,1,6,4,
