,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Folsom Lake Total,,,"2,180","2,043","1,981","2,129","2,419",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,244,265,225,203,259,
,,Administration of Justice-210500,34,40,28,27,38,
,,"Biology, General-040100",6,15,23,13,19,
,,Business Administration-050500,146,144,126,102,124,
,,Child Development/Early Care and Education-130500,7,10,2,9,14,
,,Environmental Science-030100,,1,,,,
,,Geology-191400,3,,,,,
,,"Health Occupations, General-120100",3,1,2,3,1,
,,"Mathematics, General-170100",23,27,24,22,36,
,,"Nutrition, Foods, and Culinary Arts-130600",5,6,3,2,5,
,,"Physics, General-190200",17,21,17,25,22,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,312,287,297,328,338,
,,Anthropology-220200,,,,4,2,
,,Art-100200,4,7,6,13,14,
,,Dramatic Arts-100700,4,6,6,3,5,
,,Economics-220400,86,57,66,96,98,
,,English-150100,15,14,14,15,23,
,,"Fine Arts, General-100100",1,3,1,2,4,
,,Geography-220600,2,3,4,1,1,
,,History-220500,6,11,15,12,8,
,,Human Services-210400,,11,13,13,14,
,,Kinesiology-127000,8,14,17,15,17,
,,Philosophy-150900,4,3,3,2,1,
,,Political Science-220700,17,25,14,14,12,
,,"Psychology, General-200100",81,91,90,89,91,
,,Social Justice Studies-220130,,1,1,1,,
,,Sociology-220800,20,14,14,16,20,
,,Speech Communication-150600,64,27,33,32,28,
,Associate of Science (A.S.) degree                           Total,,156,158,173,223,221,
,,"Biology, General-040100",6,4,2,5,3,
,,Business Administration-050500,,,,50,21,
,,Computer Science (Transfer)-070600,24,30,39,39,50,
,,"Engineering, General (requires Calculus) (Transfer)-090100",1,5,4,10,7,
,,Environmental Science-030100,,,2,,1,
,,Fire Technology-213300,2,,,,,
,,"Health Occupations, General-120100",98,86,99,89,98,
,,"Health Professions, Transfer Core Curriculum-126000",2,5,,1,,
,,"Information Technology, General-070100",5,11,5,11,14,
,,"Mathematics, General-170100",4,7,7,5,14,
,,Medical Laboratory Technology-120500,14,10,12,13,12,
,,Other Physical Sciences-199900,,,,,1,
,,"Viticulture, Enology, and Wine Business-010400",,,3,,,
,Associate of Arts (A.A.) degree                              Total,,647,591,590,597,738,
,,Accounting-050200,8,10,11,13,8,
,,Administration of Justice-210500,15,7,5,4,7,
,,Art-100200,8,4,3,7,,
,,Biological and Physical Sciences (and Mathematics)-490200,172,152,159,152,184,
,,Business Administration-050500,2,7,2,1,1,
,,"Business and Commerce, General-050100",15,8,9,14,12,
,,Business Management-050600,8,3,10,6,9,
,,Child Development Administration and Management-130580,4,5,2,,3,
,,Child Development/Early Care and Education-130500,11,8,9,8,10,
,,Dance-100800,6,1,2,2,1,
,,English-150100,2,3,3,,2,
,,Human Services-210400,7,3,5,16,10,
,,Humanities and Fine Arts-490310,67,80,84,84,138,
,,Humanities-490300,5,2,5,1,3,
,,"Law, General-140100",6,7,5,3,7,
,,"Liberal Arts and Sciences, General-490100",1,,,,1,
,,Liberal Studies-490120,12,11,5,5,9,
,,"Psychology, General-200100",17,17,13,11,14,
,,Small Business and Entrepreneurship-050640,5,7,7,7,6,
,,"Social Sciences, General-220100",276,256,251,263,313,
,Certificate requiring 30 to < 60 semester units              Total,,619,550,549,587,605,
,,"Biology, General-040100",,2,1,,1,
,,Child Development Administration and Management-130580,2,2,1,,,
,,Child Development/Early Care and Education-130500,11,8,6,7,2,
,,Environmental Science-030100,,,1,,,
,,Human Services-210400,14,2,,,,
,,Transfer Studies-490110,592,536,540,580,602,
,Certificate requiring 16 to fewer than 30 semester units     Total,,95,102,88,126,162,
,,Accounting-050200,6,5,10,8,8,
,,Business Management-050600,22,5,14,18,19,
,,Commercial Music-100500,,1,,1,,
,,Computer Programming-070710,11,19,12,20,34,
,,Computer Systems Analysis-070730,,,,,1,
,,Database Design and Administration-070720,1,1,,,,
,,Emergency Medical Services-125000,,1,,,2,
,,"Fine Arts, General-100100",,,,1,,
,,Fire Technology-213300,,,1,,,
,,"Health Professions, Transfer Core Curriculum-126000",,2,,1,3,
,,Human Services-210400,,,12,37,37,
,,Infants and Toddlers-130590,8,7,3,4,3,
,,International Business and Trade-050800,27,27,10,8,6,
,,"Mathematics, General-170100",10,15,16,24,30,
,,"Nutrition, Foods, and Culinary Arts-130600",,2,2,,3,
,,Office Technology/Office Computer Applications-051400,5,3,3,,5,
,,Small Business and Entrepreneurship-050640,,1,1,1,3,
,,Technical Theater-100600,3,1,1,2,5,
,,Water and Wastewater Technology-095800,2,12,3,1,3,
,Certificate requiring 8 to fewer than 16 semester units      Total,,10,13,5,4,36,
,,Ceramics-100230,,,2,2,1,
,,Certified Nurse Assistant-123030,,,,,30,
,,Computer Software Development-070700,,1,,,,
,,Radiologic Technology-122500,10,12,3,2,5,
,Certificate requiring 6 to < 18 semester units               Total,,97,77,54,61,60,
,,Ceramics-100230,,1,,,,
,,Child Development/Early Care and Education-130500,47,52,31,34,37,
,,Commercial Music-100500,1,4,1,1,1,
,,Database Design and Administration-070720,1,,,,,
,,Geographic Information Systems-220610,1,1,,2,2,
,,"Information Technology, General-070100",,,,1,4,
,,Jewelry-100910,2,,,,1,
,,Office Technology/Office Computer Applications-051400,,1,,,,
,,Other Engineering and Related Industrial Technologies-099900,1,2,,,,
,,Real Estate-051100,15,5,7,6,10,
,,Speech Communication-150600,29,11,15,17,5,
