,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Mt. San Jacinto Total,,,"3,030","2,746","2,757","3,100",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,457,468,513,615,
,,Administration of Justice-210500,70,66,77,73,
,,"Biology, General-040100",17,28,38,34,
,,Business Administration-050500,203,199,215,297,
,,"Chemistry, General-190500",8,16,8,8,
,,Child Development/Early Care and Education-130500,37,21,19,18,
,,Computer Science (Transfer)-070600,34,39,45,57,
,,Environmental Science-030100,,1,5,2,
,,Geology-191400,,1,1,,
,,"Health Occupations, General-120100",6,5,18,11,
,,"Mathematics, General-170100",59,56,60,71,
,,"Nutrition, Foods, and Culinary Arts-130600",2,1,5,3,
,,"Physics, General-190200",10,18,13,15,
,,Television (including combined TV/Film/Video)-060420,11,17,9,26,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,454,508,559,697,
,,Anthropology-220200,13,8,9,8,
,,Art-100200,24,20,30,34,
,,Child and Adolescent Development-130510,78,66,66,63,
,,Dramatic Arts-100700,7,3,7,7,
,,Economics-220400,19,35,67,118,
,,English-150100,38,28,34,43,
,,"Fine Arts, General-100100",4,17,7,12,
,,Geography-220600,,2,1,2,
,,History-220500,39,40,38,40,
,,Journalism-060200,1,5,8,11,
,,Kinesiology-127000,27,40,41,56,
,,"Law, General-140100",1,8,12,16,
,,Liberal Studies-490120,1,,4,5,
,,Music-100400,4,7,5,6,
,,Philosophy-150900,4,6,4,6,
,,Political Science-220700,16,16,18,17,
,,"Psychology, General-200100",126,147,136,181,
,,Social Justice Studies-220130,,2,,2,
,,Sociology-220800,12,25,31,36,
,,Spanish-110500,3,6,6,6,
,,Speech Communication-150600,37,27,35,28,
,Associate of Science (A.S.) degree                           Total,,505,499,538,560,
,,Administration of Justice-210500,20,17,16,21,
,,Applied Photography-101200,4,7,7,6,
,,Automotive Technology-094800,2,6,8,15,
,,Biological and Physical Sciences (and Mathematics)-490200,244,229,232,244,
,,Business Administration-050500,51,62,78,67,
,,Business Management-050600,7,6,8,9,
,,Child Development/Early Care and Education-130500,15,6,2,,
,,Children with Special Needs-130520,7,6,9,8,
,,Computer Information Systems-070200,28,25,26,32,
,,Diagnostic Medical Sonography-122700,5,5,9,10,
,,Digital Media-061400,8,17,18,22,
,,Drafting Technology-095300,5,5,9,8,
,,Fire Technology-213300,17,13,15,12,
,,Geographic Information Systems-220610,,1,1,,
,,Horticulture-010900,3,1,1,1,
,,Medical Assisting-120800,1,3,3,16,
,,Office Technology/Office Computer Applications-051400,17,17,13,10,
,,Paralegal-140200,8,5,5,7,
,,Real Estate-051100,9,9,17,9,
,,Registered Nursing-123010,21,44,46,53,
,,Sign Language Interpreting-085010,7,1,4,,
,,Technical Theater-100600,,1,,,
,,Water and Wastewater Technology-095800,26,13,11,10,
,Associate of Arts (A.A.) degree                              Total,,"1,121",908,835,844,
,,Art-100200,7,12,8,9,
,,Biological and Physical Sciences (and Mathematics)-490200,441,390,420,457,
,,Commercial Music-100500,10,15,5,3,
,,Dance-100800,3,2,6,5,
,,Ethnic Studies-220300,,1,,,
,,Graphic Art and Design-103000,22,26,12,12,
,,Humanities and Social Sciences-490330,307,303,273,272,
,,Humanities-490300,160,54,19,7,
,,Other Interdisciplinary Studies-499900,28,7,3,,
,,Physical Education-083500,1,2,4,2,
,,"Social Sciences, General-220100",142,96,85,77,
,Certificate requiring 16 to fewer than 30 semester units     Total,,493,363,312,384,
,,Accounting-050200,37,25,42,57,
,,Administration of Justice-210500,3,1,2,10,
,,Administrative Medical Assisting-120820,5,7,24,25,
,,Applied Photography-101200,,2,3,5,
,,Automotive Technology-094800,9,12,22,9,
,,Business Administration-050500,5,4,4,15,
,,Business Management-050600,5,3,3,4,
,,Child Development/Early Care and Education-130500,23,10,7,9,
,,Children with Special Needs-130520,1,1,1,3,
,,Clinical Medical Assisting-120810,,2,5,11,
,,Commercial Music-100500,5,8,4,2,
,,Computer Information Systems-070200,1,,,,
,,Computer Networking-070810,1,4,5,7,
,,Computer Programming-070710,11,9,9,10,
,,Culinary Arts-130630,,,9,11,
,,Dance-100800,1,1,,,
,,Digital Media-061400,6,9,2,14,
,,Drafting Technology-095300,1,2,4,4,
,,Dramatic Arts-100700,1,,,,
,,E-Commerce (Technology emphasis)-070910,2,,4,1,
,,Fire Technology-213300,3,3,,4,
,,"Forensics, Evidence, and Investigation-210540",,1,2,7,
,,Geographic Information Systems-220610,,2,,,
,,Horticulture-010900,2,,2,,
,,Humanities and Social Sciences-490330,,3,1,,
,,Infants and Toddlers-130590,10,6,7,5,
,,"Liberal Arts and Sciences, General-490100",1,2,1,34,
,,Logistics and Materials Transportation-051000,,,1,1,
,,Office Technology/Office Computer Applications-051400,3,4,11,8,
,,Other Engineering and Related Industrial Technologies-099900,,,1,,
,,Paralegal-140200,4,9,6,6,
,,Preshool Age Children-130540,61,36,29,46,
,,Real Estate-051100,5,1,5,6,
,,Sign Language Interpreting-085010,2,,,,
,,Small Business and Entrepreneurship-050640,1,2,2,8,
,,Transfer Studies-490110,267,185,80,52,
,,Water and Wastewater Technology-095800,17,9,14,10,
