,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Hospitality-130700,1,,,,1,
,,Management Development and Supervision-050630,5,6,4,6,3,
,,Marketing and Distribution-050900,1,2,2,6,4,
,,Music-100400,3,,2,1,,
,,Natural Resources-011500,2,3,6,17,6,
,,Office Technology/Office Computer Applications-051400,14,11,10,7,9,
,,Plant Science-010300,2,1,5,17,1,
,,Police Academy-210550,,4,,25,1,
,,Radio and Television-060400,1,2,1,2,,
,,Resort and Club Management-130730,,,,1,,
,,Retail Store Operations and Management-050650,1,,,,,
,,Turfgrass Technology-010940,1,4,4,8,2,
,,Welding Technology-095650,,,,8,5,
,Certificate requiring 6 to < 18 semester units               Total,,69,96,129,450,93,
,,Career Guidance and Orientation-493010,,4,2,31,,
,,Child Development Administration and Management-130580,,4,4,17,2,
,,Child Development/Early Care and Education-130500,59,72,83,249,57,
,,Environmental Control Technology-094600,8,11,9,92,7,
,,Film Production-061220,,1,2,12,1,
,,Fitness Trainer-083520,2,3,15,14,9,
,,Office Technology/Office Computer Applications-051400,,,,,1,
,,Pharmacy Technology-122100,,1,14,35,16,
,Noncredit award requiring from 960+ hours                    Total,,43,14,19,56,23,
,,English as a Second Language - Integrated-493087,26,,,37,15,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,17,14,19,19,8,
,Noncredit award requiring from 480 to < 960 hours            Total,,49,4,22,28,26,
,,English as a Second Language - Integrated-493087,48,4,22,28,26,
,,Mathematics Skills-170200,1,,,,,
,Noncredit award requiring from 288 to < 480 hours            Total,,13,,,,,
,,Mathematics Skills-170200,8,,,,,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,5,,,,,
,Noncredit award requiring from 192 to < 288 hours            Total,,4,,,,,
,,Vocational ESL-493100,4,,,,,
,Noncredit award requiring from 144 to < 192 hours            Total,,30,,,2,,
,,Reading-152000,23,,,,,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,7,,,2,,
,Noncredit award requiring from 48 to < 96 hours              Total,,5,,,,,
,,Energy Systems Technology-094610,5,,,,,
,Noncredit award requiring < 48 hours                         Total,,34,3,,,,
,,Job Seeking/Changing Skills-493012,28,3,,,,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,6,,,,,
