,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Marketing and Distribution-050900,,1,,1,
,,Medical Office Technology-051420,18,25,19,6,
,,Plant Science-010300,,6,5,9,
,,Welding Technology-095650,62,72,94,112,
,Certificate requiring 8 to fewer than 16 semester units      Total,,4,67,74,90,
,,Academic Guidance-493013,,1,,,
,,Computer Information Systems-070200,,3,2,9,
,,Computer Networking-070810,,,9,8,
,,Computer Programming-070710,,,3,,
,,Computer Science (Transfer)-070600,,17,,,
,,Computer Systems Analysis-070730,,1,1,3,
,,Electronics and Electric Technology-093400,,,8,15,
,,Mechanical Drafting-095340,4,5,2,1,
,,Welding Technology-095650,,40,49,54,
,Noncredit award requiring from 960+ hours                    Total,,19,43,33,41,
,,"Information Technology, General-070100",2,5,7,10,
,,Medical Assisting-120800,17,38,26,31,
,Noncredit award requiring from 288 to < 480 hours            Total,,1,7,,1,
,,"Agriculture Technology and Sciences, General-010100",,,,1,
,,English as a Second Language - Integrated-493087,1,7,,,
