,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Feather River Total,,,271,317,355,281,313,
,Baccalaureate of Science (B.S.) degree                       Total,,10,12,19,10,9,
,,Animal Science-010200,10,12,19,10,9,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,10,10,18,17,18,
,,Administration of Justice-210500,2,3,4,,5,
,,Business Administration-050500,8,5,12,15,11,
,,Child Development/Early Care and Education-130500,,,,2,1,
,,Geology-191400,,,1,,,
,,"Mathematics, General-170100",,2,1,,1,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,50,61,67,52,64,
,,Art-100200,,1,,2,2,
,,English-150100,5,3,2,2,2,
,,History-220500,1,2,3,,2,
,,Human Services-210400,,,,,1,
,,Kinesiology-127000,9,14,16,14,4,
,,Social Justice Studies-220130,,,,,1,
,,Sociology-220800,35,41,46,34,52,
,Associate of Science (A.S.) degree                           Total,,46,41,,56,54,
,,"Agriculture Technology and Sciences, General-010100",26,15,,20,19,
,,"Biology, General-040100",4,2,,7,7,
,,Environmental Science-030100,,,,1,4,
,,Environmental Studies-030200,1,4,,2,4,
,,Equine Science-010240,9,9,,5,12,
,,Licensed Vocational Nursing-123020,1,6,,5,,
,,"Mathematics, General-170100",,1,,,,
,,Office Technology/Office Computer Applications-051400,,,,1,,
,,Physical Education-083500,5,3,,13,7,
,,"Physical Sciences, General-190100",,1,,2,1,
,Associate of Arts (A.A.) degree                              Total,,71,87,142,71,67,
,,Administration of Justice-210500,7,6,4,2,3,
,,"Agriculture Technology and Sciences, General-010100",,,23,,,
,,Art-100200,,,,1,1,
,,"Biology, General-040100",,,4,,,
,,"Business and Commerce, General-050100",1,1,1,2,1,
,,Child Development/Early Care and Education-130500,1,1,3,,1,
,,Environmental Science-030100,,,2,,,
,,Environmental Studies-030200,,,3,,,
,,Equine Science-010240,,,11,,,
,,History-220500,,1,1,1,,
,,Humanities and Fine Arts-490310,3,,5,2,,
,,Humanities-490300,14,26,28,19,8,
,,"Liberal Arts and Sciences, General-490100",41,45,42,38,49,
,,Liberal Studies-490120,,1,,,,
,,"Nutrition, Foods, and Culinary Arts-130600",1,1,,1,,
,,Physical Education-083500,,,11,,,
,,"Physical Sciences, General-190100",,,1,,,
,,Recreation-083600,3,5,3,5,3,
,,Sociology-220800,,,,,1,
,Certificate requiring 30 to < 60 semester units              Total,,79,104,103,74,83,
,,Child Development/Early Care and Education-130500,,,1,,1,
,,Equine Science-010240,2,3,2,2,3,
,,Licensed Vocational Nursing-123020,,9,1,4,,
,,Transfer Studies-490110,77,92,99,68,79,
,Certificate requiring 16 to fewer than 30 semester units     Total,,2,1,2,,2,
,,Child Development/Early Care and Education-130500,,,,,1,
,,"Forensics, Evidence, and Investigation-210540",1,,1,,1,
,,Physical Education-083500,1,1,1,,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,,,2,,11,
,,"Agriculture Technology and Sciences, General-010100",,,2,,,
,,Fire Technology-213300,,,,,5,
,,Forestry-011400,,,,,4,
,,Natural Resources-011500,,,,,2,
,Certificate requiring 6 to < 18 semester units               Total,,3,1,2,1,5,
,,Accounting-050200,1,,,,,
,,Agricultural Power Equipment Technology-011600,,,1,,,
,,"Agriculture Technology and Sciences, General-010100",,,1,,1,
,,Business Management-050600,,,,,3,
,,Equine Science-010240,,,,1,1,
,,Fitness Trainer-083520,1,1,,,,
,,Other Business and Management-059900,1,,,,,
