,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,"Business and Commerce, General-050100",11,19,14,11,
,,Business Management-050600,19,11,16,13,
,,Ceramics-100230,1,1,4,4,
,,Child Development/Early Care and Education-130500,9,13,17,11,
,,Coaching-083560,,2,1,3,
,,Commercial Dance-100810,2,2,1,2,
,,Computer Infrastructure and Support-070800,2,,2,,
,,Computer Networking-070810,1,1,,2,
,,Computer Programming-070710,,,1,1,
,,Computer Support-070820,4,4,5,2,
,,Dietetic Services and Management-130620,21,12,3,7,
,,Electronics and Electric Technology-093400,,4,3,3,
,,Fire Technology-213300,11,10,8,9,
,,Fitness Trainer-083520,4,3,2,4,
,,Flight Attendant-302040,10,10,3,12,
,,French-110200,6,3,8,5,
,,Hospital and Health Care Administration-120200,,2,7,5,
,,Infants and Toddlers-130590,4,5,2,2,
,,"Information Technology, General-070100",5,2,5,5,
,,Insurance-051200,1,,1,,
,,International Business and Trade-050800,3,,1,3,
,,Italian-110400,10,2,,1,
,,Japanese-110800,8,5,6,1,
,,Marketing and Distribution-050900,2,1,5,10,
,,Mass Communications-061000,,1,,,
,,Mechanical Drafting-095340,8,,4,5,
,,Medical Office Technology-051420,3,3,1,1,
,,Music-100400,2,,1,3,
,,Office Technology/Office Computer Applications-051400,12,25,7,7,
,,Other Foreign Languages-119900,10,13,12,15,
,,Other Information Technology-079900,,,2,2,
,,Piloting-302020,2,1,,3,
,,Real Estate-051100,12,18,19,16,
,,Software Applications-070210,,,1,,
,,Spanish-110500,10,7,4,6,
,,Technical Theater-100600,2,,1,3,
,,Television (including combined TV/Film/Video)-060420,4,3,1,3,
,,The School Age Child-130550,1,2,1,1,
,,Welding Technology-095650,7,1,2,6,
,,World Wide Web Administration-070900,4,2,4,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,,9,13,35,
,,Applied Photography-101200,,5,9,28,
,,Computer Networking-070810,,,,1,
,,"Information Technology, General-070100",,3,4,1,
,,Marketing and Distribution-050900,,,,5,
,,Piloting-302020,,1,,,
,Noncredit award requiring from 480 to < 960 hours            Total,,126,79,72,248,
,,English as a Second Language - Integrated-493087,67,48,36,203,
,,Medical Assisting-120800,55,12,28,9,
,,Medical Office Technology-051420,1,,,,
,,Office Technology/Office Computer Applications-051400,1,2,8,8,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,2,17,,28,
,Noncredit award requiring from 288 to < 480 hours            Total,,67,58,40,115,
,,Administrative Medical Assisting-120820,6,6,3,4,
,,English as a Second Language - Integrated-493087,51,39,33,95,
,,Office Technology/Office Computer Applications-051400,10,6,4,16,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,7,,,
,Noncredit award requiring from 192 to < 288 hours            Total,,58,43,24,24,
,,English as a Second Language - Integrated-493087,58,43,24,24,
,Noncredit award requiring from 144 to < 192 hours            Total,,5,10,6,3,
,,Sales and Salesmanship-050940,5,10,6,3,
,Noncredit award requiring from 48 to < 96 hours              Total,,,6,1,,
,,Office Technology/Office Computer Applications-051400,,6,1,,
