,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,Certificate requiring 30 to < 60 semester units              Total,,340,405,295,400,401,
,,Accounting-050200,,1,,,,
,,Administration of Justice-210500,9,2,1,2,5,
,,Applied Photography-101200,1,6,2,11,14,
,,Automotive Technology-094800,6,9,9,24,37,
,,Biotechnology and Biomedical Technology-043000,31,18,16,13,19,
,,Broadcast Journalism-060430,,1,,,,
,,Child Development Administration and Management-130580,3,4,3,5,5,
,,Child Development/Early Care and Education-130500,25,29,21,29,17,
,,Children with Special Needs-130520,1,,4,2,3,
,,Commercial Art-101300,2,6,,5,1,
,,Commercial Music-100500,1,,2,14,3,
,,Construction Crafts Technology-095200,,,1,,,
,,Construction Inspection-095720,18,12,9,,1,
,,Cosmetology and Barbering-300700,31,31,26,34,49,
,,Culinary Arts-130630,,1,,,,
,,Dental Assistant-124010,18,10,18,18,19,
,,Dental Hygienist-124020,15,11,14,2,23,
,,Fashion-130300,8,6,4,10,2,
,,Fire Technology-213300,1,2,,1,2,
,,Graphic Art and Design-103000,2,,,,,
,,"Health Occupations, General-120100",20,22,13,16,20,
,,Hospitality-130700,8,5,4,,1,
,,Infants and Toddlers-130590,5,7,1,7,,
,,International Business and Trade-050800,,3,,,,
,,Licensed Vocational Nursing-123020,14,18,14,25,13,
,,Machining and Machine Tools-095630,1,1,,1,,
,,Management Development and Supervision-050630,,2,1,,,
,,Medical Assisting-120800,1,28,7,8,6,
,,Music-100400,,9,10,19,15,
,,Office Technology/Office Computer Applications-051400,8,3,1,2,1,
,,Paralegal-140200,50,74,44,64,46,
,,Radio-060410,,1,2,7,,
,,Registered Nursing-123010,60,72,68,80,96,
,,Retail Store Operations and Management-050650,,5,,,,
,,Speech/Language Pathology and Audiology-122000,,1,,,,
,,Technical Theater-100600,1,1,,,3,
,,Television (including combined TV/Film/Video)-060420,,4,,1,,
,Certificate requiring 16 to fewer than 30 semester units     Total,,333,447,311,628,562,
,,Accounting-050200,18,43,18,31,32,
,,Administration of Justice-210500,,,,1,1,
,,Administrative Medical Assisting-120820,,1,2,,,
,,Animation-061440,6,11,14,15,32,
,,Art-100200,2,8,3,15,11,
,,Automotive Technology-094800,20,79,46,128,82,
,,Banking and Finance-050400,2,5,4,7,9,
,,Biotechnology and Biomedical Technology-043000,,1,1,5,3,
,,Business Management-050600,,,2,6,6,
,,Civil and Construction Management Technology-095700,,,,2,3,
,,Computer Information Systems-070200,,,,,1,
,,Computer Infrastructure and Support-070800,22,2,12,3,10,
,,Computer Programming-070710,19,20,30,33,32,
,,Computer Support-070820,26,11,14,14,12,
,,Construction Inspection-095720,,,6,6,10,
,,Culinary Arts-130630,,,5,8,14,
,,Database Design and Administration-070720,24,14,10,12,9,
,,Digital Media-061400,3,14,8,19,34,
,,Drafting Technology-095300,4,6,8,8,10,
,,Electronic Game Design-061420,1,3,3,12,12,
,,Electronics and Electric Technology-093400,19,22,,,32,
,,Elementary Education (Grades 1-8)-493060,,,1,,,
,,Energy Systems Technology-094610,6,9,5,12,,
,,Fashion-130300,6,18,4,14,7,
,,Fire Technology-213300,,,,5,6,
,,Fitness Trainer-083520,8,6,10,9,8,
,,Geographic Information Systems-220610,,1,2,,17,
,,Gerontology-130900,6,1,5,9,3,
,,Graphic Art and Design-103000,6,8,3,13,17,
,,Hospitality-130700,,,3,2,3,
,,International Business and Trade-050800,6,18,9,10,10,
,,Italian-110400,,16,,34,,
,,Jewelry-100910,,,1,4,4,
,,Journalism-060200,1,,,2,1,
,,Laser and Optical Technology-093480,,1,,1,2,
,,Library Technician (Aide)-160200,38,19,18,31,22,
,,Machining and Machine Tools-095630,1,2,1,8,7,
,,Management Development and Supervision-050630,10,1,19,19,24,
,,Marketing and Distribution-050900,3,15,4,14,16,
,,Medical Assisting-120800,1,1,4,,,
,,Office Technology/Office Computer Applications-051400,48,37,9,67,25,
,,Retail Store Operations and Management-050650,2,3,2,,,
,,Sign Language-085000,,2,4,15,8,
,,Small Business and Entrepreneurship-050640,18,39,14,21,15,
,,Television (including combined TV/Film/Video)-060420,3,2,1,1,,
,,Website Design and Development-061430,1,6,3,7,4,
,,Welding Technology-095650,3,2,3,5,8,
,Certificate requiring 8 to fewer than 16 semester units      Total,,,5,14,41,169,
,,Architectural Drafting-095310,,,2,5,9,
,,Electronics and Electric Technology-093400,,,3,3,1,
,,Emergency Medical Services-125000,,,,,112,
,,Fitness Trainer-083520,,4,1,2,17,
,,Hospitality-130700,,1,6,4,4,
,,Laser and Optical Technology-093480,,,,1,,
,,Library Technician (Aide)-160200,,,,20,5,
,,Logistics and Materials Transportation-051000,,,,1,2,
,,Mechanical Drafting-095340,,,1,1,5,
,,Small Business and Entrepreneurship-050640,,,1,4,14,
,Certificate requiring 6 to < 18 semester units               Total,,37,247,101,110,63,
,,Automotive Technology-094800,4,70,20,48,17,
,,Biotechnology and Biomedical Technology-043000,,10,8,9,7,
,,"Engineering Technology, General (requires Trigonometry)-092400",3,2,,1,1,
,,Fitness Trainer-083520,,,1,1,8,
,,French-110200,24,15,10,22,9,
,,Geographic Information Systems-220610,,3,13,27,20,
,,Laser and Optical Technology-093480,,,,,1,
,,Library Technician (Aide)-160200,6,4,6,2,,
,,Small Business and Entrepreneurship-050640,,143,43,,,
,Noncredit Adult Education High School Diploma                Total,,,43,48,60,60,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,43,48,60,60,
,Noncredit award requiring from 288 to < 480 hours            Total,,,,,,8,
,,Office Technology/Office Computer Applications-051400,,,,,8,
,Noncredit award requiring from 192 to < 288 hours            Total,,,,372,"1,578",803,
,,English as a Second Language - Integrated-493087,,,368,"1,487",776,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,,,,5,
,,Vocational ESL-493100,,,4,91,22,
,Noncredit award requiring from 144 to < 192 hours            Total,,,,20,116,77,
,,English as a Second Language - Integrated-493087,,,3,13,28,
,,English as a Second Language - Writing-493084,,,1,9,5,
,,Medical Office Technology-051420,,,,12,17,
,,Other Engineering and Related Industrial Technologies-099900,,,,,10,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,,7,23,1,
,,Vocational ESL-493100,,,9,59,16,
,Noncredit award requiring from 96 to < 144 hours             Total,,,,75,497,258,
,,Citizenship / ESL Civics-493090,,,3,24,14,
,,Elementary Education (Grades 1-8)-493060,,,21,40,23,
,,English as a Second Language - Listening and Speaking-493086,,,37,243,133,
,,Graphic Art and Design-103000,,,5,66,35,
,,Legal and Community Interpretation-214000,,,3,54,26,
,,Office Technology/Office Computer Applications-051400,,,4,37,18,
,,Vocational ESL-493100,,,2,33,9,
,Noncredit award requiring from 48 to < 96 hours              Total,,43,4,10,109,60,
,,Accounting-050200,,,2,35,18,
,,Job Seeking/Changing Skills-493012,,,1,20,6,
,,Office Technology/Office Computer Applications-051400,,,2,50,21,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,43,4,3,,,
,,Small Business and Entrepreneurship-050640,,,2,4,15,
,Noncredit award requiring < 48 hours                         Total,,,,5,39,19,
,,Job Seeking/Changing Skills-493012,,,5,39,19,
