,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,"Social Sciences, General-220100",97,116,79,95,159,
,,Software Applications-070210,1,2,1,,,
,,Spanish-110500,15,11,5,7,6,
,,Speech Communication-150600,1,,,,,
,,Women's Studies-220110,16,8,6,8,10,
,Certificate requiring 30 to < 60 semester units              Total,,104,97,69,38,35,
,,Computer Networking-070810,13,12,10,5,2,
,,"Engineering Technology, General (requires Trigonometry)-092400",1,,,2,,
,,Fashion-130300,10,5,3,5,1,
,,Fire Technology-213300,59,58,42,16,12,
,,Graphic Art and Design-103000,10,8,8,3,12,
,,Multimedia-061410,6,8,3,2,3,
,,Website Design and Development-061430,,,1,,4,
,,Welding Technology-095650,5,6,2,5,1,
,Certificate requiring 16 to fewer than 30 semester units     Total,,651,640,480,179,483,
,,Accounting-050200,79,58,34,24,20,
,,Administration of Justice-210500,4,2,1,1,1,
,,"Agriculture Technology and Sciences, General-010100",18,16,9,1,16,
,,Applied Photography-101200,7,3,3,2,3,
,,Architectural Drafting-095310,2,3,2,2,2,
,,"Business and Commerce, General-050100",39,41,32,15,17,
,,Business Management-050600,12,10,9,2,2,
,,Commercial Music-100500,1,1,2,1,2,
,,Computer Networking-070810,4,,5,4,5,
,,Computer Systems Analysis-070730,,1,7,1,5,
,,Emergency Medical Services-125000,2,2,2,1,1,
,,Film Production-061220,2,,1,1,3,
,,Fire Academy-213350,60,66,50,26,13,
,,Fitness Trainer-083520,6,3,1,2,2,
,,"Health Occupations, General-120100",344,345,249,67,343,
,,Industrial Electronics-093420,8,15,13,7,13,
,,Machining and Machine Tools-095630,,,4,1,,
,,Marketing and Distribution-050900,8,10,8,1,7,
,,Mechanical Drafting-095340,1,2,1,1,,
,,Medical Assisting-120800,12,20,17,12,4,
,,Office Technology/Office Computer Applications-051400,7,16,9,3,5,
,,Other Information Technology-079900,1,1,,,2,
,,Real Estate-051100,8,6,8,1,4,
,,Recreation Assistant-083610,,1,,1,1,
,,Sign Language Interpreting-085010,19,12,7,2,9,
,,Small Business and Entrepreneurship-050640,3,4,4,,3,
,,Software Applications-070210,4,2,,,,
,,Tax Studies-050210,,,2,,,
,Certificate requiring 6 to < 18 semester units               Total,,309,,242,125,196,
,,Accounting-050200,18,,7,3,4,
,,Administration of Justice-210500,1,,,,,
,,"Agriculture Technology and Sciences, General-010100",,,,1,2,
,,Applied Photography-101200,25,,18,7,6,
,,Architectural Drafting-095310,15,,5,2,4,
,,Automotive Technology-094800,,,,2,1,
,,Child Development Administration and Management-130580,2,,1,6,3,
,,Child Development/Early Care and Education-130500,37,,33,18,32,
,,Computer Infrastructure and Support-070800,21,,4,3,1,
,,Construction Crafts Technology-095200,3,,,1,2,
