,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Citrus Total,,,"4,882","4,367","4,030","3,682","3,840",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,524,495,454,434,449,
,,Administration of Justice-210500,106,92,69,64,64,
,,"Biology, General-040100",16,24,35,12,14,
,,Business Administration-050500,248,222,216,228,205,
,,Child Development/Early Care and Education-130500,61,58,37,24,33,
,,Computer Science (Transfer)-070600,27,44,57,49,55,
,,Environmental Science-030100,,,,3,1,
,,Geology-191400,,,1,1,,
,,"Health Occupations, General-120100",5,6,1,1,1,
,,"Mathematics, General-170100",44,30,27,34,50,
,,"Nutrition, Foods, and Culinary Arts-130600",4,6,2,3,1,
,,"Physics, General-190200",13,13,9,10,21,
,,Television (including combined TV/Film/Video)-060420,,,,5,4,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,750,655,561,521,557,
,,Anthropology-220200,8,5,7,3,7,
,,Art-100200,30,46,34,29,25,
,,Child and Adolescent Development-130510,,13,26,28,43,
,,Dramatic Arts-100700,23,15,14,20,22,
,,Economics-220400,18,10,11,17,15,
,,English-150100,17,11,15,15,19,
,,"Fine Arts, General-100100",9,,9,4,9,
,,Geography-220600,,,,,1,
,,Global Studies-221020,24,2,,4,2,
,,History-220500,41,37,27,19,21,
,,Journalism-060200,3,6,5,3,4,
,,Kinesiology-127000,44,43,42,31,29,
,,"Law, General-140100",,,,1,1,
,,Liberal Studies-490120,16,15,6,10,8,
,,Music-100400,,,2,2,8,
,,Philosophy-150900,9,5,6,,2,
,,Political Science-220700,,22,11,13,17,
,,"Psychology, General-200100",255,217,159,146,170,
,,Social Justice Studies-220130,2,4,15,23,16,
,,Sociology-220800,186,161,118,117,98,
,,Spanish-110500,12,3,5,2,3,
,,Speech Communication-150600,53,40,49,34,37,
,Associate of Science (A.S.) degree                           Total,,875,782,663,586,604,
,,Accounting-050200,,,1,5,9,
,,Administration of Justice-210500,74,60,38,38,44,
,,Architecture and Architectural Technology-020100,6,7,5,6,14,
,,Automotive Technology-094800,5,9,7,6,10,
,,Biological and Physical Sciences (and Mathematics)-490200,1,,,,,
,,"Biology, General-040100",44,35,44,19,24,
,,Biotechnology and Biomedical Technology-043000,3,3,6,9,6,
,,Business Administration-050500,168,164,135,105,67,
,,"Business and Commerce, General-050100",,,,,2,
,,Child Development/Early Care and Education-130500,66,64,30,26,31,
,,Civil and Construction Management Technology-095700,1,1,3,2,6,
,,Commercial Music-100500,22,9,15,10,20,
,,Computer Graphics and Digital Imagery-061460,19,3,8,3,7,
,,Corrections-210510,7,5,2,8,3,
,,Cosmetology and Barbering-300700,30,34,41,43,46,
,,Dental Assistant-124010,18,11,8,8,13,
,,Diesel Technology-094700,4,3,4,6,6,
,,Drafting Technology-095300,6,7,3,5,9,
,,"Engineering, General (requires Calculus) (Transfer)-090100",13,12,9,10,5,
,,Forestry-011400,23,18,21,14,16,
,,"Health Professions, Transfer Core Curriculum-126000",204,206,140,130,124,
,,Industrial and Transportation Security-210530,5,2,1,,1,
,,Kinesiology-127000,38,33,38,38,43,
,,Licensed Vocational Nursing-123020,34,22,26,25,24,
,,Photography-101100,13,9,6,8,11,
,,"Physical Sciences, General-190100",7,4,6,3,4,
,,Public Works-210210,5,4,8,5,7,
,,Real Estate-051100,5,11,11,8,9,
,,Registered Nursing-123010,31,29,29,28,29,
,,Water and Wastewater Technology-095800,23,17,18,18,14,
,Associate of Arts (A.A.) degree                              Total,,361,204,177,153,110,
,,Biological and Physical Sciences (and Mathematics)-490200,1,,,,,
,,Dance-100800,3,2,5,1,,
,,Dramatic Arts-100700,28,14,21,27,17,
,,English-150100,8,6,8,6,6,
,,Film Studies-061200,,,2,5,4,
,,"Fine Arts, General-100100",45,44,42,32,32,
,,Humanities and Fine Arts-490310,16,12,3,8,12,
,,Language Arts-150200,70,23,10,4,,
,,"Liberal Arts and Sciences, General-490100",3,,,,,
,,Liberal Studies-490120,,,,,1,
,,Music-100400,28,11,27,22,14,
,,Public Relations-060600,,,,,2,
,,"Social Sciences, General-220100",159,92,59,48,22,
,Certificate requiring 60+ semester units                     Total,,1,,2,9,14,
,,Automotive Technology-094800,1,,2,9,14,
,Certificate requiring 30 to < 60 semester units              Total,,"2,027","1,844","1,718","1,538","1,645",
,,Architectural Drafting-095310,,,,3,3,
,,Automotive Technology-094800,3,11,30,43,51,
,,Ceramics-100230,,,1,,,
,,Child Development/Early Care and Education-130500,66,62,42,30,39,
,,Children with Special Needs-130520,,,2,,,
,,Commercial Dance-100810,,1,1,,,
,,Commercial Music-100500,29,17,21,26,22,
,,Computer Support-070820,,,,,2,
,,Cosmetology and Barbering-300700,51,51,71,72,54,
,,Diesel Technology-094700,15,14,16,11,15,
,,Licensed Vocational Nursing-123020,43,28,38,41,29,
,,Other Interdisciplinary Studies-499900,546,549,621,579,603,
,,Public Works-210210,2,2,6,5,,
,,Technical Theater-100600,7,5,2,2,3,
,,Transfer Studies-490110,"1,265","1,104",867,726,824,
,Certificate requiring 16 to fewer than 30 semester units     Total,,326,322,344,290,310,
,,Accounting-050200,22,16,15,16,10,
,,Administration of Justice-210500,73,67,36,41,48,
,,Architectural Drafting-095310,1,2,,1,,
,,Automotive Technology-094800,1,15,55,6,4,
,,Biotechnology and Biomedical Technology-043000,2,6,8,11,6,
,,Business Management-050600,,,,,2,
,,Ceramics-100230,,4,2,,1,
,,Civil and Construction Management Technology-095700,5,4,6,,9,
,,Computer Graphics and Digital Imagery-061460,7,4,3,1,1,
,,Computer Information Systems-070200,4,6,2,5,4,
,,Computer Programming-070710,3,9,7,9,10,
,,Computer Support-070820,1,3,,,2,
,,Corrections-210510,7,9,1,6,2,
,,Cosmetology and Barbering-300700,56,61,74,93,61,
,,Database Design and Administration-070720,,1,,1,,
,,Dental Assistant-124010,32,23,27,4,29,
,,Diesel Technology-094700,24,13,31,14,16,
,,Drafting Technology-095300,6,8,2,7,16,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,,,,1,
,,Forestry-011400,25,27,17,24,22,
,,Labor and Industrial Relations-051600,,,,2,4,
,,Office Technology/Office Computer Applications-051400,,3,2,3,5,
,,Photography-101100,16,8,13,9,11,
,,Public Works-210210,,3,3,4,6,
,,Real Estate-051100,11,9,12,12,12,
,,Technical Theater-100600,,,,,6,
,,Water and Wastewater Technology-095800,30,20,28,21,21,
,,Website Design and Development-061430,,1,,,1,
,Certificate requiring 6 to < 18 semester units               Total,,16,64,79,105,104,
,,Accounting-050200,,,1,6,16,
,,Business Management-050600,,,,1,2,
,,Computer Support-070820,,1,,,,
,,Customer Service-051800,,3,1,,,
,,English as a Second Language - Integrated-493087,,2,,6,4,
,,English as a Second Language - Listening and Speaking-493086,,,,1,1,
,,English-150100,8,10,13,9,8,
,,Industrial and Transportation Security-210530,7,2,1,,,
,,"Information Technology, General-070100",,,,1,,
,,Labor and Industrial Relations-051600,,,,1,8,
,,Marketing and Distribution-050900,,,,3,4,
,,Public Works-210210,,4,15,16,11,
,,Real Estate-051100,1,41,48,58,46,
,,Small Business and Entrepreneurship-050640,,1,,,1,
,,Tax Studies-050210,,,,3,3,
,Noncredit award requiring from 288 to < 480 hours            Total,,,,,1,2,
,,English as a Second Language - Integrated-493087,,,,1,2,
,Noncredit award requiring from 192 to < 288 hours            Total,,2,1,,6,4,
,,English as a Second Language - Integrated-493087,,1,,6,4,
,,Environmental Control Technology-094600,2,,,,,
,Noncredit award requiring from 96 to < 144 hours             Total,,,,,2,2,
,,Business Management-050600,,,,1,1,
,,Management Development and Supervision-050630,,,,1,1,
,Noncredit award requiring from 48 to < 96 hours              Total,,,,26,37,34,
,,Other Commercial Services-309900,,,8,13,8,
,,Other Education-089900,,,,2,1,
,,Technical Communication-060700,,,18,22,25,
,Noncredit award requiring < 48 hours                         Total,,,,6,,5,
,,Automotive Technology-094800,,,6,,5,
