,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Real Estate-051100,,1,,1,
,,Transfer Studies-490110,,12,18,26,
,Certificate requiring 16 to fewer than 30 semester units     Total,,123,141,207,194,
,,Accounting-050200,8,13,18,14,
,,Animation-061440,,,,4,
,,Applied Photography-101200,,6,3,14,
,,Business Management-050600,15,5,7,11,
,,Computer Information Systems-070200,5,2,3,14,
,,Computer Infrastructure and Support-070800,,3,5,1,
,,Computer Networking-070810,,1,,1,
,,Computer Programming-070710,6,7,2,2,
,,Computer Support-070820,5,2,6,1,
,,Cosmetology and Barbering-300700,11,1,50,,
,,Digital Media-061400,8,8,6,5,
,,Drafting Technology-095300,2,1,3,8,
,,"Electrical, Electronic, and Electro-Mechanical Drafting-095330",2,,1,3,
,,Electronic Game Design-061420,2,12,6,6,
,,Environmental Control Technology-094600,,,,7,
,,Environmental Technology-030300,4,8,9,5,
,,Film Production-061220,1,2,2,4,
,,Film Studies-061200,3,2,4,2,
,,"Health Occupations, General-120100",4,3,2,1,
,,Human Services-210400,1,,1,4,
,,Industrial Systems Technology and Maintenance-094500,,1,3,6,
,,Infants and Toddlers-130590,1,1,2,2,
,,Journalism-060200,,,,1,
,,Laboratory Science Technology-095500,3,21,21,13,
,,"Law, General-140100",12,23,25,20,
,,Library Technician (Aide)-160200,11,10,12,17,
,,Marketing and Distribution-050900,2,2,1,2,
,,Office Technology/Office Computer Applications-051400,2,,,4,
,,Optical Technology-121900,,,2,5,
,,Real Estate-051100,,,1,2,
,,Sign Language-085000,,,3,4,
,,Software Applications-070210,9,4,6,3,
,,The School Age Child-130550,,,,2,
,,Website Design and Development-061430,6,3,3,6,
,Certificate requiring 8 to fewer than 16 semester units      Total,,42,52,53,65,
,,Animation-061440,4,13,12,,
,,Child Development/Early Care and Education-130500,4,,1,1,
,,Computer Systems Analysis-070730,3,9,11,6,
,,Cosmetology and Barbering-300700,,,,13,
,,Economics-220400,,,2,5,
,,English as a Second Language - Integrated-493087,20,18,9,14,
,,Fashion Production-130330,2,,5,,
,,General Studies-493000,,,,5,
,,Industrial Systems Technology and Maintenance-094500,,1,3,4,
,,Manufacturing and Industrial Technology-095600,,1,1,7,
,,Real Estate-051100,,,,6,
,,Software Applications-070210,9,9,8,2,
,,Speech Communication-150600,,1,1,2,
