,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,Certificate requiring 8 to fewer than 16 semester units      Total,,82,209,196,362,
,,Alternative Fuels and Advanced Transportation Technology-094840,6,18,11,15,
,,Child Development/Early Care and Education-130500,31,29,31,65,
,,Computer Systems Analysis-070730,,2,2,4,
,,Construction Crafts Technology-095200,,55,30,81,
,,"Health Occupations, General-120100",,12,1,1,
,,"Health Professions, Transfer Core Curriculum-126000",40,89,114,175,
,,Industrial and Occupational Safety and Health-095670,5,4,7,21,
,Noncredit award requiring from 192 to < 288 hours            Total,,,,,16,
,,Automotive Technology-094800,,,,1,
,,English as a Second Language - Integrated-493087,,,,15,
,Noncredit award requiring from 144 to < 192 hours            Total,,25,2,4,38,
,,English as a Second Language - Integrated-493087,25,2,4,38,
