,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Civil and Construction Management Technology-095700,,,,3,11,
,,Commercial Music-100500,,,,23,12,
,,Community Health Care Worker-126100,8,8,6,14,18,
,,Computer Infrastructure and Support-070800,,,,9,4,
,,Computer Programming-070710,3,2,1,5,,
,,Computer Science (Transfer)-070600,,,,,1,
,,Computer Support-070820,2,2,1,3,1,
,,Construction Inspection-095720,,,,8,4,
,,Culinary Arts-130630,,,74,37,61,
,,Digital Media-061400,,,,12,17,
,,Dramatic Arts-100700,1,,4,,,
,,Energy Systems Technology-094610,,1,,,,
,,"Engineering Technology, General (requires Trigonometry)-092400",,,,8,2,
,,Environmental Studies-030200,,,2,2,2,
,,Fitness Trainer-083520,4,3,1,,3,
,,Graphic Art and Design-103000,,,,44,25,
,,Horticulture-010900,,4,6,1,5,
,,Human Services-210400,9,3,2,12,6,
,,Humanities and Social Sciences-490330,2,,3,2,,
,,Intercollegiate Athletics-083550,,,,,1,
,,Journalism-060200,,1,1,,,
,,Landscape Design and Maintenance-010910,,,,3,3,
,,Music-100400,,,,3,2,
,,"Nutrition, Foods, and Culinary Arts-130600",1,,,2,4,
,,Ocean Technology-192000,,,,,5,
,,Office Technology/Office Computer Applications-051400,5,7,11,6,8,
,,Other Fine and Applied Arts-109900,,,,,3,
,,Other Interdisciplinary Studies-499900,42,45,38,37,33,
,,Photography-101100,,,2,9,1,
,,Small Business and Entrepreneurship-050640,,2,3,9,3,
,,Speech Communication-150600,26,14,25,18,12,
,,Transfer Studies-490110,11,8,10,,,
,,"Viticulture, Enology, and Wine Business-010400",,,,1,2,
,,Website Design and Development-061430,1,,,9,14,
,Certificate requiring 8 to fewer than 16 semester units      Total,,2,1,,67,23,
,,"Engineering Technology, General (requires Trigonometry)-092400",,,,25,9,
,,Office Technology/Office Computer Applications-051400,2,1,,,,
,,Phlebotomy-120510,,,,42,14,
,Certificate requiring 6 to < 18 semester units               Total,,287,238,271,104,70,
,,Accounting-050200,21,28,7,3,4,
,,Animation-061440,,,2,2,1,
,,Anthropology-220200,,1,,,,
,,Art-100200,1,,7,2,,
,,Biotechnology and Biomedical Technology-043000,2,8,5,5,1,
,,"Business and Commerce, General-050100",3,,,,,
,,Child Development/Early Care and Education-130500,9,8,6,6,2,
,,Civil and Construction Management Technology-095700,35,34,25,2,,
,,Commercial Music-100500,5,4,7,,,
,,Computer Networking-070810,,2,,1,1,
,,Computer Programming-070710,25,,3,,1,
,,Computer Support-070820,15,10,10,4,2,
,,Construction Inspection-095720,9,4,14,1,,
,,Culinary Arts-130630,17,22,3,,1,
,,Dance-100800,,3,3,,1,
,,Digital Media-061400,9,14,13,,1,
,,Drafting Technology-095300,9,10,7,4,,
,,Dramatic Arts-100700,,,3,,,
,,"Engineering Technology, General (requires Trigonometry)-092400",18,5,14,17,7,
,,Horticulture-010900,6,4,5,1,1,
,,Human Services-210400,28,13,16,1,,
,,Kinesiology-127000,,1,,1,,
,,Landscape Design and Maintenance-010910,,2,16,2,1,
,,Manufacturing and Industrial Technology-095600,,,2,,1,
,,Medical Assisting-120800,3,13,26,6,,
,,Music-100400,1,2,4,2,,
,,Nursery Technology-010930,9,,,,,
,,Office Technology/Office Computer Applications-051400,14,14,35,20,19,
,,Other Business and Management-059900,1,,,,,
,,Other Interdisciplinary Studies-499900,1,,1,,,
,,Phlebotomy-120510,13,15,,,,
,,Photography-101100,6,2,4,1,,
,,Radiologic Technology-122500,,9,23,16,17,
,,Website Design and Development-061430,21,5,4,,,
,,Welding Technology-095650,6,5,6,7,9,
,Noncredit award requiring from 480 to < 960 hours            Total,,,,1,,,
,,Mathematics Skills-170200,,,1,,,
,Noncredit award requiring from 192 to < 288 hours            Total,,,28,41,46,41,
,,Applied Photography-101200,,,,5,5,
,,English as a Second Language - Integrated-493087,,25,16,31,33,
,,Mathematics Skills-170200,,2,,,,
,,Office Technology/Office Computer Applications-051400,,1,25,10,3,
,Noncredit award requiring from 144 to < 192 hours            Total,,,20,32,33,9,
,,Interpersonal Skills-493011,,3,9,,,
,,Laboratory Science Technology-095500,,14,8,4,5,
,,Office Technology/Office Computer Applications-051400,,,3,22,4,
,,Small Business and Entrepreneurship-050640,,,,1,,
,,Vocational ESL-493100,,3,12,6,,
,Noncredit award requiring from 96 to < 144 hours             Total,,,16,8,20,19,
,,Accounting-050200,,,,1,2,
,,Civil and Construction Management Technology-095700,,,,13,13,
,,Community Health Care Worker-126100,,1,2,1,4,
,,Dental Assistant-124010,,,6,5,,
,,Dental Occupations-124000,,15,,,,
,Noncredit award requiring from 48 to < 96 hours              Total,,,6,59,40,10,
,,Administration of Justice-210500,,,2,,,
,,Aquatics and Lifesaving-083570,,,,,1,
,,Commercial Music-100500,,,,3,5,
,,Computer Infrastructure and Support-070800,,5,13,14,1,
,,E-Commerce (Business emphasis)-050970,,,3,2,,
,,Interpersonal Skills-493011,,,18,17,,
,,Mathematics Skills-170200,,1,,,,
,,Office Technology/Office Computer Applications-051400,,,,3,3,
,,Software Applications-070210,,,23,1,,
,Noncredit award requiring < 48 hours                         Total,,,149,343,359,124,
,,Child Development/Early Care and Education-130500,,,,37,10,
,,Computer Infrastructure and Support-070800,,,8,6,,
,,Culinary Arts-130630,,25,1,3,1,
,,Dental Assistant-124010,,5,2,1,,
,,Dental Occupations-124000,,31,31,21,1,
,,Emergency Medical Services-125000,,,,16,17,
,,Human Services-210400,,,,6,,
,,Interpersonal Skills-493011,,44,105,82,24,
,,Job Seeking/Changing Skills-493012,,34,97,178,49,
,,Mathematics Skills-170200,,,98,6,22,
,,Office Technology/Office Computer Applications-051400,,10,1,,,
,,Plant Science-010300,,,,3,,
