,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Crafton Hills Total,,,"1,543","1,462","1,819",987,"1,423",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,139,158,160,90,174,
,,"Biology, General-040100",8,19,14,6,16,
,,Business Administration-050500,74,73,98,50,78,
,,"Chemistry, General-190500",5,13,6,3,7,
,,Child Development/Early Care and Education-130500,1,2,1,3,3,
,,Computer Science (Transfer)-070600,14,13,11,8,15,
,,Geology-191400,3,1,,1,2,
,,"Health Occupations, General-120100",1,1,3,2,1,
,,"Mathematics, General-170100",21,20,16,15,36,
,,"Nutrition, Foods, and Culinary Arts-130600",2,2,4,,1,
,,"Physics, General-190200",10,14,7,2,15,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,207,189,203,114,206,
,,Anthropology-220200,6,2,5,4,5,
,,Art-100200,10,5,10,4,10,
,,Dramatic Arts-100700,7,5,3,1,1,
,,Economics-220400,7,3,7,3,6,
,,English-150100,18,10,18,10,10,
,,"Fine Arts, General-100100",4,2,3,1,4,
,,Geography-220600,,,1,,,
,,History-220500,21,28,22,17,22,
,,Kinesiology-127000,14,18,10,11,11,
,,Liberal Studies-490120,,1,1,,2,
,,Music-100400,3,,2,,1,
,,Philosophy-150900,3,2,3,1,3,
,,Political Science-220700,8,6,6,7,7,
,,"Psychology, General-200100",51,62,62,23,62,
,,Sociology-220800,40,26,34,28,46,
,,Spanish-110500,3,5,6,,5,
,,Speech Communication-150600,12,14,10,4,11,
,Associate of Science (A.S.) degree                           Total,,248,239,291,152,222,
,,Biological and Physical Sciences (and Mathematics)-490200,163,146,175,77,117,
,,"Biology, General-040100",1,5,6,2,1,
,,Business Management-050600,6,9,17,9,20,
,,"Chemistry, General-190500",2,5,8,4,1,
,,Computer Information Systems-070200,7,7,1,,,
,,Computer Networking-070810,,,1,,2,
,,Computer Programming-070710,,,,,1,
,,Computer Science (Transfer)-070600,4,2,7,6,2,
,,Digital Media-061400,,2,4,3,11,
,,Environmental Science-030100,3,4,2,2,,
,,Fire Technology-213300,17,24,31,13,15,
,,Geography-220600,,,,,1,
,,Multimedia-061410,2,2,6,2,3,
,,Paramedic-125100,7,7,12,10,14,
,,"Physics, General-190200",,3,1,,1,
,,Radiologic Technology-122500,8,6,,6,13,
,,Respiratory Care/Therapy-121000,28,17,20,17,19,
,,Transfer Studies-490110,,,,1,,
,,Website Design and Development-061430,,,,,1,
,Associate of Arts (A.A.) degree                              Total,,244,196,190,115,151,
,,Accounting-050200,,,5,3,8,
,,Anthropology-220200,1,1,4,2,2,
,,Arabic-111200,2,,,,,
,,Art-100200,5,7,11,7,7,
,,Child Development/Early Care and Education-130500,4,6,5,5,4,
,,Dramatic Arts-100700,2,3,2,,,
,,English-150100,5,3,5,1,4,
,,"Fine Arts, General-100100",7,6,8,1,6,
,,History-220500,18,8,6,9,5,
,,Humanities-490300,11,10,7,2,4,
,,Japanese-110800,4,5,9,3,2,
,,Liberal Studies-490120,6,7,3,,2,
,,Marketing and Distribution-050900,,,,1,1,
,,"Mathematics, General-170100",9,6,3,6,3,
,,Music-100400,4,2,2,,3,
,,Philosophy-150900,3,2,1,1,1,
,,Political Science-220700,,,,,2,
,,"Psychology, General-200100",2,2,10,1,2,
,,Religious Studies-151000,6,4,5,2,3,
,,Sign Language-085000,12,9,6,5,10,
,,"Social Sciences, General-220100",128,93,78,59,67,
,,Sociology-220800,9,10,10,4,7,
,,Spanish-110500,3,7,4,,5,
,,Speech Communication-150600,3,5,6,3,3,
,Certificate requiring 60+ semester units                     Total,,,1,,,1,
,,Radiologic Technology-122500,,1,,,1,
,Certificate requiring 30 to < 60 semester units              Total,,466,463,548,320,475,
,,Business Management-050600,1,,2,,4,
,,Child Development Administration and Management-130580,,,,,1,
,,Child Development/Early Care and Education-130500,,1,,,1,
,,Paramedic-125100,2,16,28,35,36,
,,Transfer Studies-490110,463,446,518,285,433,
,Certificate requiring 16 to fewer than 30 semester units     Total,,4,,4,4,10,
,,Child Development/Early Care and Education-130500,3,,3,3,2,
,,Computer Graphics and Digital Imagery-061460,1,,,,,
,,Computer Information Systems-070200,,,1,1,2,
,,Computer Infrastructure and Support-070800,,,,,5,
,,Multimedia-061410,,,,,1,
,Certificate requiring 8 to fewer than 16 semester units      Total,,57,56,53,31,30,
,,Fire Academy-213350,57,56,53,31,30,
,Certificate requiring 6 to < 18 semester units               Total,,178,160,223,160,146,
,,Child Development/Early Care and Education-130500,1,2,,1,,
,,Computer Information Systems-070200,1,1,4,,5,
,,Emergency Medical Services-125000,162,146,208,157,126,
,,Music-100400,2,4,6,,4,
,,Sign Language-085000,12,7,5,2,11,
,"Other Credit Award, < 6 semester units                       Total",,,,147,1,8,
,,Computer Graphics and Digital Imagery-061460,,,,1,,
,,Computer Infrastructure and Support-070800,,,,,3,
,,Computer Networking-070810,,,,,4,
,,Multimedia-061410,,,,,1,
,,Unknown-999999,,,147,,,
