,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Las Positas Total,,,"1,360","1,581","1,597","2,383",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,219,212,219,258,
,,Administration of Justice-210500,27,14,19,20,
,,"Biology, General-040100",10,11,7,7,
,,Business Administration-050500,147,145,142,166,
,,Child Development/Early Care and Education-130500,9,4,11,9,
,,Geology-191400,2,,,1,
,,"Health Occupations, General-120100",5,9,11,11,
,,"Mathematics, General-170100",16,26,29,40,
,,"Nutrition, Foods, and Culinary Arts-130600",3,3,,4,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,314,296,312,379,
,,Anthropology-220200,12,7,4,10,
,,Art-100200,9,11,13,10,
,,Child and Adolescent Development-130510,11,5,8,7,
,,Dramatic Arts-100700,3,3,4,9,
,,Economics-220400,25,65,66,89,
,,English-150100,10,8,10,12,
,,"Fine Arts, General-100100",2,4,5,7,
,,"Gay, Lesbian, Bisexual and Transgender Studies-220140",,,1,1,
,,Geography-220600,4,1,2,6,
,,Global Studies-221020,3,1,,2,
,,History-220500,10,10,5,13,
,,Human Services-210400,7,3,6,4,
,,Journalism-060200,4,10,,5,
,,Kinesiology-127000,20,15,20,27,
,,Liberal Studies-490120,,1,5,5,
,,Music-100400,5,2,13,6,
,,Philosophy-150900,4,2,,1,
,,Political Science-220700,23,18,14,26,
,,"Psychology, General-200100",116,97,100,101,
,,Sociology-220800,22,7,10,19,
,,Spanish-110500,,,,1,
,,Speech Communication-150600,24,26,26,18,
,Associate of Science (A.S.) degree                           Total,,98,117,79,171,
,,Alternative Fuels and Advanced Transportation Technology-094840,3,1,,1,
,,Automotive Technology-094800,11,2,2,2,
,,"Biology, General-040100",5,6,10,52,
,,"Business and Commerce, General-050100",2,5,2,,
,,"Chemistry, General-190500",4,2,3,4,
,,Computer Information Systems-070200,2,4,,3,
,,Computer Networking-070810,1,2,,23,
,,Computer Science (Transfer)-070600,22,21,19,23,
,,Diesel Technology-094700,3,2,1,1,
,,"Engineering Technology, General (requires Trigonometry)-092400",5,8,7,6,
,,"Engineering, General (requires Calculus) (Transfer)-090100",1,7,6,6,
,,Fire Technology-213300,25,37,16,21,
,,Horticulture-010900,2,,,5,
,,Industrial and Occupational Safety and Health-095670,1,1,1,4,
,,Interior Design and Merchandising-130200,2,5,8,5,
,,Paramedic-125100,3,2,,,
,,"Physics, General-190200",4,5,1,7,
,,"Viticulture, Enology, and Wine Business-010400",,1,,4,
,,Welding Technology-095650,2,6,3,4,
,Associate of Arts (A.A.) degree                              Total,,551,789,695,830,
,,Administration of Justice-210500,11,9,6,5,
,,Applied Photography-101200,,4,1,1,
,,"Biology, General-040100",49,32,40,20,
,,Biotechnology and Biomedical Technology-043000,,1,1,2,
,,"Business and Commerce, General-050100",5,4,4,8,
,,Child Development/Early Care and Education-130500,18,7,10,15,
,,Computer Information Systems-070200,3,5,3,3,
,,English-150100,5,2,4,3,
,,Environmental Studies-030200,1,,,1,
,,Film Studies-061200,1,3,7,12,
,,Graphic Art and Design-103000,2,4,2,3,
,,International Studies-221000,,,,1,
,,"Liberal Arts and Sciences, General-490100",434,697,603,739,
,,Marketing and Distribution-050900,4,2,3,3,
,,"Media and Communications, General-060100",1,1,1,,
,,Music-100400,1,4,2,3,
,,Office Management-051440,3,3,,2,
,,Other Humanities-159900,3,1,1,2,
,,Painting and Drawing-100210,3,3,,1,
,,Small Business and Entrepreneurship-050640,7,7,7,6,
,Certificate requiring 60+ semester units                     Total,,,,2,13,
,,Automotive Technology-094800,,,1,7,
,,Other Fine and Applied Arts-109900,,,1,6,
,Certificate requiring 30 to < 60 semester units              Total,,,4,12,59,
,,"Biology, General-040100",,,3,10,
,,Computer Networking-070810,,1,5,17,
,,Diesel Technology-094700,,,3,14,
,,"Engineering Technology, General (requires Trigonometry)-092400",,2,,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,1,1,15,
,,Landscape Design and Maintenance-010910,,,,2,
,,Other Fine and Applied Arts-109900,,,,1,
,Certificate requiring 16 to fewer than 30 semester units     Total,,142,107,201,457,
,,Accounting-050200,3,3,7,20,
,,Administrative Medical Assisting-120820,5,3,2,2,
,,Alternative Fuels and Advanced Transportation Technology-094840,5,2,4,4,
,,Applied Photography-101200,,,2,,
,,Athletic Training and Sports Medicine-122800,1,1,6,2,
,,Automotive Technology-094800,14,11,12,36,
,,Biotechnology and Biomedical Technology-043000,,,,4,
,,Child Development/Early Care and Education-130500,17,3,10,10,
,,Children with Special Needs-130520,2,5,2,4,
,,Commercial Music-100500,1,4,8,7,
,,Computer Information Systems-070200,,,2,4,
,,Computer Infrastructure and Support-070800,,,,2,
,,Computer Networking-070810,5,6,8,21,
,,Computer Software Development-070700,,,1,2,
,,Creative Writing-150700,3,,4,5,
,,Dramatic Arts-100700,6,2,1,12,
,,Emergency Medical Services-125000,,2,2,12,
,,Film Studies-061200,,1,1,15,
,,Fire Academy-213350,6,3,28,18,
,,Fire Technology-213300,14,18,19,35,
,,Fitness Trainer-083520,,2,1,,
,,Geology-191400,5,,1,2,
,,Graphic Art and Design-103000,1,1,3,4,
,,Industrial and Occupational Safety and Health-095670,2,1,3,8,
,,Interior Design and Merchandising-130200,7,3,5,11,
,,Journalism-060200,,1,,,
,,Landscape Design and Maintenance-010910,1,,,2,
,,Management Development and Supervision-050630,,,,1,
,,Marketing and Distribution-050900,,,,4,
,,Music-100400,2,1,2,1,
,,Office Management-051440,4,2,,2,
,,Other Information Technology-079900,,,2,3,
,,Paramedic-125100,,1,,,
,,Retail Store Operations and Management-050650,,,1,1,
,,Small Business and Entrepreneurship-050640,1,2,3,10,
,,Technical Theater-100600,,2,1,6,
,,Transfer Studies-490110,34,24,55,183,
,,"Viticulture, Enology, and Wine Business-010400",,2,1,2,
,,Welding Technology-095650,3,1,4,2,
,Certificate requiring 8 to fewer than 16 semester units      Total,,,23,26,216,
,,Child Development/Early Care and Education-130500,,20,21,93,
,,Commercial Music-100500,,,1,11,
,,Computer Information Systems-070200,,,1,8,
,,Computer Support-070820,,2,3,46,
,,Fire Technology-213300,,,,18,
,,Horticulture-010900,,1,,6,
,,Industrial and Occupational Safety and Health-095670,,,,9,
,,"Viticulture, Enology, and Wine Business-010400",,,,1,
,,Welding Technology-095650,,,,24,
,Noncredit award requiring from 480 to < 960 hours            Total,,,,1,,
,,English as a Second Language - Integrated-493087,,,1,,
,Noncredit award requiring from 48 to < 96 hours              Total,,,1,8,,
,,Applied Photography-101200,,1,8,,
,Noncredit award requiring < 48 hours                         Total,,36,32,42,,
,,Management Development and Supervision-050630,17,17,23,,
,,Small Business and Entrepreneurship-050640,19,15,19,,
