,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Lassen Total,,,390,508,630,810,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,22,50,32,37,
,,Administration of Justice-210500,6,6,5,7,
,,"Agriculture Business, Sales and Service-011200",2,1,3,5,
,,Animal Science-010200,1,4,3,9,
,,"Biology, General-040100",3,,1,,
,,Business Administration-050500,9,36,17,14,
,,Child Development/Early Care and Education-130500,,2,3,2,
,,Geology-191400,1,,,,
,,"Nutrition, Foods, and Culinary Arts-130600",,1,,,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,17,48,55,64,
,,Art-100200,1,3,4,2,
,,English-150100,,1,2,1,
,,History-220500,1,12,13,25,
,,Human Services-210400,,,1,3,
,,Kinesiology-127000,3,1,3,4,
,,"Psychology, General-200100",6,24,24,20,
,,Sociology-220800,6,7,8,9,
,Associate of Science (A.S.) degree                           Total,,44,23,24,26,
,,Accounting-050200,2,,,,
,,"Agriculture Technology and Sciences, General-010100",1,2,,3,
,,Automotive Technology-094800,1,2,3,2,
,,Computer Infrastructure and Support-070800,,,1,1,
,,Fire Technology-213300,7,5,9,7,
,,Graphic Art and Design-103000,,1,,,
,,Licensed Vocational Nursing-123020,26,9,11,5,
,,Machining and Machine Tools-095630,,,,1,
,,Other Engineering and Related Industrial Technologies-099900,6,4,,3,
,,Welding Technology-095650,1,,,4,
,Associate of Arts (A.A.) degree                              Total,,203,232,255,285,
,,Administration of Justice-210500,2,3,6,3,
,,"Agriculture Technology and Sciences, General-010100",,1,3,2,
,,Biological and Physical Sciences (and Mathematics)-490200,7,12,12,13,
,,Child Development/Early Care and Education-130500,3,1,,,
,,"Health Professions, Transfer Core Curriculum-126000",4,6,10,14,
,,Humanities and Fine Arts-490310,,5,3,7,
,,Humanities and Social Sciences-490330,186,202,219,242,
,,Physical Education-083500,1,2,2,4,
,Certificate requiring 30 to < 60 semester units              Total,,99,148,157,178,
,,Administration of Justice-210500,2,3,6,3,
,,"Agriculture Technology and Sciences, General-010100",1,2,,1,
,,Fire Technology-213300,9,8,4,7,
,,Licensed Vocational Nursing-123020,27,8,9,6,
,,Machining and Machine Tools-095630,,,8,7,
,,Other Engineering and Related Industrial Technologies-099900,8,7,,,
,,Transfer Studies-490110,46,113,127,145,
,,Welding Technology-095650,6,7,3,9,
,Certificate requiring 16 to fewer than 30 semester units     Total,,5,7,11,20,
,,Automotive Technology-094800,2,4,5,6,
,,Child Development/Early Care and Education-130500,3,1,,,
,,Computer Infrastructure and Support-070800,,1,1,3,
,,Fire Technology-213300,,,1,10,
,,Geographic Information Systems-220610,,1,4,1,
,Certificate requiring 8 to fewer than 16 semester units      Total,,,,96,200,
,,"Liberal Arts and Sciences, General-490100",,,96,200,
