,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Computer Programming-070710,6,6,22,39,36,
,,Corrections-210510,8,9,6,5,10,
,,Creative Writing-150700,,2,,4,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,,3,5,7,
,,English-150100,,,,1,1,
,,Equine Science-010240,5,6,3,5,7,
,,Forestry-011400,11,45,61,109,187,
,,"Information Technology, General-070100",,,6,9,3,
,,Machining and Machine Tools-095630,4,10,4,11,5,
,,Manufacturing and Industrial Technology-095600,53,52,43,33,40,
,,Medical Office Technology-051420,15,15,8,12,10,
,,Music-100400,14,16,7,8,1,
,,Natural Resources-011500,22,25,16,17,32,
,,Office Technology/Office Computer Applications-051400,23,16,17,27,49,
,,Parks and Outdoor Recreation-011510,6,10,5,7,6,
,,Philosophy-150900,,1,1,2,1,
,,Plant Science-010300,21,31,31,75,49,
,,Sign Language-085000,4,6,5,3,4,
,,Speech/Language Pathology and Audiology-122000,6,,,,,
,,Surveying-095730,,,,,2,
,,The School Age Child-130550,,1,,,1,
,,Transfer Studies-490110,604,827,756,546,749,
,,"Viticulture, Enology, and Wine Business-010400",,1,,,,
,,Welding Technology-095650,6,9,12,9,10,
,Certificate requiring 8 to fewer than 16 semester units      Total,,72,110,110,35,119,
,,"Agriculture Business, Sales and Service-011200",9,40,41,,50,
,,Child Development/Early Care and Education-130500,3,7,7,,,
,,Computer Information Systems-070200,1,,,,,
,,Fire Technology-213300,,13,15,,12,
,,Horticulture-010900,,,,,4,
,,Office Technology/Office Computer Applications-051400,12,13,5,16,19,
,,Plant Science-010300,,8,18,,9,
,,Speech Communication-150600,47,29,24,19,25,
,Certificate requiring 6 to < 18 semester units               Total,,,,26,61,48,
,,Accounting-050200,,,6,6,3,
,,"Agriculture Technology and Sciences, General-010100",,,,,7,
,,Computer Programming-070710,,,,,1,
,,English as a Second Language - Integrated-493087,,,1,,,
,,Medical Office Technology-051420,,,,1,,
,,Office Technology/Office Computer Applications-051400,,,,21,3,
,,Other Agriculture and Natural Resources-019900,,,,,7,
,,Welding Technology-095650,,,19,33,27,
,Noncredit award requiring from 480 to < 960 hours            Total,,,,,,1,
,,Surveying-095730,,,,,1,
,Noncredit award requiring from 288 to < 480 hours            Total,,1,1,,,,
,,English as a Second Language - Integrated-493087,1,1,,,,
,Noncredit award requiring from 192 to < 288 hours            Total,,,,8,16,12,
,,English as a Second Language - Integrated-493087,,,8,16,12,
