,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,World Wide Web Administration-070900,1,,1,,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,258,241,341,222,574,
,,Accounting-050200,,,34,14,30,
,,Automotive Technology-094800,29,39,63,49,126,
,,Biotechnology and Biomedical Technology-043000,,,,5,18,
,,Computer Networking-070810,9,10,4,11,48,
,,Computer Software Development-070700,4,7,7,9,22,
,,Computer Support-070820,6,6,4,5,31,
,,Educational Aide (Teacher Assistant)-080200,,3,1,1,7,
,,Infants and Toddlers-130590,34,29,32,12,37,
,,Marketing and Distribution-050900,6,6,9,1,17,
,,Office Technology/Office Computer Applications-051400,31,22,7,13,12,
,,Preshool Age Children-130540,118,104,121,78,169,
,,Small Business and Entrepreneurship-050640,,1,24,12,30,
,,The School Age Child-130550,20,14,34,11,25,
,,World Wide Web Administration-070900,1,,1,1,2,
,Certificate requiring 6 to < 18 semester units               Total,,66,70,43,51,56,
,,Accounting-050200,27,17,6,2,1,
,,Banking and Finance-050400,9,3,4,6,5,
,,"Business and Commerce, General-050100",13,24,8,20,17,
,,Business Management-050600,7,14,9,9,9,
,,Commercial Music-100500,,,1,,4,
,,Customer Service-051800,3,5,2,3,3,
,,Insurance-051200,1,2,6,6,4,
,,Plant Science-010300,,1,,,1,
,,Small Business and Entrepreneurship-050640,6,4,7,5,12,
,Noncredit award requiring from 288 to < 480 hours            Total,,9,11,2,24,8,
,,English as a Second Language - Integrated-493087,,,,15,6,
,,Medical Assisting-120800,9,11,2,9,2,
,Noncredit award requiring from 192 to < 288 hours            Total,,,5,2,4,14,
,,Administrative Medical Assisting-120820,,,,4,5,
,,English as a Second Language - Integrated-493087,,5,2,,9,
,Noncredit award requiring from 96 to < 144 hours             Total,,,,,,1,
,,Landscape Design and Maintenance-010910,,,,,1,
,Noncredit award requiring from 48 to < 96 hours              Total,,12,81,203,82,78,
,,Accounting-050200,,2,3,5,3,
,,Alternative Fuels and Advanced Transportation Technology-094840,,,,,18,
,,Community Health Care Worker-126100,1,6,83,14,22,
,,Custodial Services-300500,2,7,11,14,3,
,,Electrocardiography-121500,1,2,,,,
,,Home Health Aide-123080,4,2,,,,
,,Job Seeking/Changing Skills-493012,4,62,106,49,32,
,Noncredit award requiring < 48 hours                         Total,,,,3,192,64,
,,Other Education-089900,,,1,80,42,
,,Real Estate-051100,,,,8,,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,,2,104,22,
