,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,International Business and Trade-050800,3,1,2,3,
,,International Studies-221000,6,2,2,6,
,,Legal Office Technology-051410,4,1,3,9,
,,Liberal Studies-490120,,2,,1,
,,Logistics and Materials Transportation-051000,4,4,6,80,
,,Management Development and Supervision-050630,15,13,15,31,
,,Marketing and Distribution-050900,61,58,67,159,
,,Medical Office Technology-051420,16,11,18,52,
,,Music-100400,,,,53,
,,Office Management-051440,4,3,4,8,
,,Office Technology/Office Computer Applications-051400,4,4,7,17,
,,Political Science-220700,40,23,20,64,
,,Radio and Television-060400,6,3,8,7,
,,Sales and Salesmanship-050940,12,10,27,44,
,,Small Business and Entrepreneurship-050640,27,17,22,84,
,,Software Applications-070210,,3,5,9,
,,Tax Studies-050210,1,,,,
,,Technical Theater-100600,6,6,5,11,
,,Website Design and Development-061430,2,5,3,8,
,,World Wide Web Administration-070900,,3,3,22,
,Noncredit award requiring from 288 to < 480 hours            Total,,,14,51,166,
,,"Health Occupations, General-120100",,14,51,166,
,Noncredit award requiring from 96 to < 144 hours             Total,,81,124,240,485,
,,English as a Second Language - Integrated-493087,44,94,181,399,
,,Environmental Technology-030300,37,22,35,62,
,,"Health Occupations, General-120100",,8,24,24,
,Noncredit award requiring from 48 to < 96 hours              Total,,25,40,55,127,
,,Career Guidance and Orientation-493010,,,5,,
,,English as a Second Language - Integrated-493087,2,6,22,48,
,,Home Health Aide-123080,3,7,4,12,
,,Occupational Therapy Technology-121800,14,2,15,24,
,,Office Technology/Office Computer Applications-051400,2,1,1,4,
,,Other Engineering and Related Industrial Technologies-099900,4,24,8,39,
,Noncredit award requiring < 48 hours                         Total,,37,41,46,77,
,,"Business and Commerce, General-050100",14,15,13,33,
,,Child Development/Early Care and Education-130500,15,12,17,20,
,,Customer Service-051800,8,14,16,24,
