,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Lemoore College Total,,,"1,287","1,421","1,269","1,567","1,732",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,98,95,101,87,122,
,,Administration of Justice-210500,39,36,36,33,36,
,,"Biology, General-040100",,,4,2,3,
,,Business Administration-050500,37,32,40,31,52,
,,Child Development/Early Care and Education-130500,13,15,11,13,9,
,,Hospitality-130700,,,,2,6,
,,"Mathematics, General-170100",6,8,6,4,9,
,,"Physics, General-190200",3,4,4,2,7,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,146,143,143,138,192,
,,Art-100200,12,13,11,13,17,
,,Economics-220400,,,,,1,
,,English-150100,6,11,5,7,6,
,,Geography-220600,,1,,,1,
,,History-220500,7,5,5,8,4,
,,Liberal Studies-490120,28,28,34,42,53,
,,Political Science-220700,3,8,7,3,6,
,,"Psychology, General-200100",55,50,47,39,61,
,,Sociology-220800,29,25,31,21,39,
,,Speech Communication-150600,6,2,3,5,4,
,Associate of Science (A.S.) degree                           Total,,200,184,170,234,275,
,,Administration of Justice-210500,1,,,,,
,,"Agriculture Technology and Sciences, General-010100",,,,,1,
,,"Biology, General-040100",7,1,3,,1,
,,Business Administration-050500,13,13,12,33,41,
,,Business Management-050600,8,7,5,11,13,
,,"Engineering, General (requires Calculus) (Transfer)-090100",1,7,2,5,6,
,,Geology-191400,1,,,,,
,,"Health Professions, Transfer Core Curriculum-126000",126,109,110,128,147,
,,Instrumentation Technology-094300,,,,3,4,
,,Paramedic-125100,2,1,1,4,3,
,,Registered Nursing-123010,39,38,29,41,48,
,,Software Applications-070210,2,8,8,9,11,
,Associate of Arts (A.A.) degree                              Total,,331,346,370,375,394,
,,Accounting-050200,1,,,,,
,,Administration of Justice-210500,16,17,20,22,26,
,,Art-100200,,1,,,,
,,Biological and Physical Sciences (and Mathematics)-490200,41,55,48,62,60,
,,Business Administration-050500,2,,,,,
,,Child Development/Early Care and Education-130500,11,13,16,20,18,
,,Corrections-210510,12,8,8,5,15,
,,Hospitality-130700,,,,,4,
,,Humanities and Fine Arts-490310,27,36,25,24,24,
,,Humanities-490300,,1,,,,
,,"Information Technology, General-070100",,,,1,7,
,,"Liberal Arts and Sciences, General-490100",157,156,189,185,203,
,,Liberal Studies-490120,17,15,7,8,1,
,,Office Technology/Office Computer Applications-051400,2,2,1,1,3,
,,Physical Education-083500,19,14,24,16,17,
,,"Psychology, General-200100",17,19,21,18,11,
,,Resort and Club Management-130730,,2,4,4,,
,,Software Applications-070210,9,7,7,9,5,
,Certificate requiring 30 to < 60 semester units              Total,,16,25,21,34,53,
,,Business Management-050600,6,3,4,6,12,
,,Corrections-210510,7,3,5,3,6,
,,Transfer Studies-490110,3,19,12,25,35,
,Certificate requiring 16 to fewer than 30 semester units     Total,,375,351,311,433,434,
,,Accounting-050200,6,4,4,16,8,
,,"Agriculture Business, Sales and Service-011200",,,,2,,
,,Business Administration-050500,,,,3,3,
,,Business Management-050600,1,4,11,2,4,
,,Child Development/Early Care and Education-130500,10,13,9,19,16,
,,Computer Infrastructure and Support-070800,,,4,3,10,
,,Computer Networking-070810,2,3,3,2,7,
,,Computer Software Development-070700,,,,3,2,
,,Culinary Arts-130630,,,,13,27,
,,Hospitality-130700,,,,9,7,
,,Industrial Systems Technology and Maintenance-094500,1,,6,17,20,
,,Lodging Management-130720,,,1,,,
,,Paramedic-125100,18,23,13,14,25,
,,Resort and Club Management-130730,,,1,,,
,,Restaurant and Food Services and Management-130710,12,5,4,11,26,
,,Retail Store Operations and Management-050650,5,9,,8,5,
,,Transfer Studies-490110,320,290,255,311,274,
,Certificate requiring 6 to < 18 semester units               Total,,121,277,153,266,262,
,,Academic Guidance-493013,1,,,,2,
,,Child Development/Early Care and Education-130500,79,251,129,231,229,
,,Computer Programming-070710,,,1,7,6,
,,Electronics and Electric Technology-093400,,,,15,10,
,,Emergency Medical Services-125000,,,2,5,1,
,,Industrial Systems Technology and Maintenance-094500,,1,2,,,
,,Lodging Management-130720,2,1,1,,,
,,Restaurant and Food Services and Management-130710,20,18,10,,,
,,Retail Store Operations and Management-050650,7,1,6,7,12,
,,Software Applications-070210,12,5,2,1,2,
