,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Cerro Coso Total,,,915,"1,001","1,038",927,"1,003",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,98,92,106,73,70,
,,Administration of Justice-210500,33,34,31,19,10,
,,Business Administration-050500,38,37,50,24,37,
,,Child Development/Early Care and Education-130500,21,15,18,17,12,
,,"Mathematics, General-170100",6,6,7,13,11,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,76,102,92,60,55,
,,Anthropology-220200,13,19,14,8,2,
,,Art-100200,2,,5,3,1,
,,English-150100,5,11,4,5,8,
,,"Fine Arts, General-100100",1,1,4,1,2,
,,History-220500,1,4,8,3,6,
,,Kinesiology-127000,3,4,3,3,1,
,,"Law, General-140100",,,4,2,4,
,,Political Science-220700,2,3,3,2,,
,,"Psychology, General-200100",49,58,45,27,28,
,,Sociology-220800,,2,1,2,2,
,,Spanish-110500,,,1,4,1,
,Associate of Science (A.S.) degree                           Total,,85,103,68,90,74,
,,Alcohol and Controlled Substances-210440,,,,,2,
,,Business Administration-050500,9,9,7,8,11,
,,Business Management-050600,1,3,3,1,5,
,,Computer Information Systems-070200,22,30,17,20,14,
,,Computer Networking-070810,16,22,8,17,12,
,,Human Services-210400,5,4,5,7,6,
,,Licensed Vocational Nursing-123020,8,9,12,14,5,
,,Medical Assisting-120800,3,3,5,5,2,
,,Office Technology/Office Computer Applications-051400,7,2,3,3,4,
,,Paralegal-140200,9,15,4,10,4,
,,Website Design and Development-061430,2,4,2,2,2,
,,Welding Technology-095650,3,2,2,3,7,
,Associate of Arts (A.A.) degree                              Total,,410,477,486,330,361,
,,Biological and Physical Sciences (and Mathematics)-490200,6,4,12,9,8,
,,Humanities and Fine Arts-490310,150,179,175,129,134,
,,"Liberal Arts and Sciences, General-490100",254,294,299,192,219,
,Certificate requiring 30 to < 60 semester units              Total,,154,161,169,233,229,
,,Administrative Medical Assisting-120820,12,6,28,38,43,
,,Alcohol and Controlled Substances-210440,,,,4,8,
,,Business Administration-050500,7,7,7,8,11,
,,Business Management-050600,4,3,1,2,5,
,,Child Development Administration and Management-130580,11,8,5,2,8,
,,Child Development/Early Care and Education-130500,37,14,17,26,22,
,,Clinical Medical Assisting-120810,8,8,21,43,34,
,,Computer Information Systems-070200,14,26,19,24,15,
,,Computer Networking-070810,11,22,7,19,16,
,,Human Services-210400,5,10,9,9,8,
,,"Information Technology, General-070100",,,1,1,1,
,,Licensed Vocational Nursing-123020,3,18,11,16,8,
,,Medical Assisting-120800,,4,4,11,10,
,,Office Technology/Office Computer Applications-051400,20,9,5,4,12,
,,Paralegal-140200,12,14,12,16,9,
,,Software Applications-070210,,,,,1,
,,Website Design and Development-061430,1,6,3,1,4,
,,Welding Technology-095650,9,6,19,9,14,
,Certificate requiring 16 to fewer than 30 semester units     Total,,92,66,117,141,214,
,,Child Development/Early Care and Education-130500,33,21,45,68,81,
,,Computer Information Systems-070200,32,16,23,21,31,
,,Digital Media-061400,2,5,26,32,46,
,,Manufacturing and Industrial Technology-095600,,,,,3,
,,Office Technology/Office Computer Applications-051400,12,6,2,3,7,
,,Police Academy-210550,,,,,1,
,,Small Business and Entrepreneurship-050640,,1,1,1,22,
,,Welding Technology-095650,13,17,20,16,23,
