,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Geographic Information Systems-220610,9,11,9,14,
,,Graphic Art and Design-103000,5,4,3,41,
,,Horticulture-010900,2,1,2,3,
,,Industrial Systems Technology and Maintenance-094500,,,10,17,
,,"Information Technology, General-070100",,1,,,
,,Other Education-089900,13,36,24,23,
,,Other Humanities-159900,11,5,14,18,
,,Pharmacy Technology-122100,,,7,2,
,,Photography-101100,,,,1,
,,Preshool Age Children-130540,39,25,57,49,
,,Respiratory Care/Therapy-121000,9,2,5,3,
,,Spanish-110500,,,11,24,
,,Speech Communication-150600,23,11,21,18,
,,The School Age Child-130550,3,7,1,2,
,,Veterinary Technician (Licensed)-010210,4,8,5,6,
,,Website Design and Development-061430,,,4,2,
,Noncredit award requiring from 288 to < 480 hours            Total,,,12,19,18,
,,Emergency Medical Services-125000,,,4,11,
,,English as a Second Language - Integrated-493087,,12,15,7,
,Noncredit award requiring from 192 to < 288 hours            Total,,,2,,,
,,English as a Second Language - Integrated-493087,,2,,,
,Noncredit award requiring from 144 to < 192 hours            Total,,,,3,5,
,,English as a Second Language - Integrated-493087,,,3,5,
,Noncredit award requiring from 96 to < 144 hours             Total,,,12,10,15,
,,English as a Second Language - Listening and Speaking-493086,,12,10,15,
,Noncredit award requiring from 48 to < 96 hours              Total,,,,2,4,
,,English-150100,,,2,4,
