,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Modesto Total,,,"3,004","3,251","3,071","3,234","3,495",
,Baccalaureate of Science (B.S.) degree                       Total,,9,6,14,10,11,
,,Respiratory Care/Therapy-121000,9,6,14,10,11,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,369,448,387,420,430,
,,Administration of Justice-210500,82,93,66,67,71,
,,"Agriculture Business, Sales and Service-011200",19,17,18,20,21,
,,Animal Science-010200,11,10,12,14,12,
,,"Biology, General-040100",,,,,2,
,,Business Administration-050500,161,149,163,152,155,
,,"Chemistry, General-190500",2,2,2,2,4,
,,Child Development/Early Care and Education-130500,49,60,32,38,38,
,,Computer Science (Transfer)-070600,11,18,13,22,18,
,,Geology-191400,,1,,,1,
,,"Health Occupations, General-120100",15,67,51,55,59,
,,"Mathematics, General-170100",8,18,18,28,27,
,,"Physics, General-190200",10,12,6,18,17,
,,Plant Science-010300,1,1,6,4,5,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,571,563,489,506,487,
,,Anthropology-220200,12,6,5,9,4,
,,Art-100200,33,37,34,26,28,
,,Dramatic Arts-100700,9,8,11,9,12,
,,Economics-220400,,,,3,7,
,,English-150100,44,38,46,38,36,
,,"Fine Arts, General-100100",18,10,9,8,10,
,,Geography-220600,2,,,2,3,
,,History-220500,34,42,29,42,28,
,,Kinesiology-127000,22,33,22,39,31,
,,Liberal Studies-490120,34,37,23,22,32,
,,Music-100400,4,5,4,3,5,
,,Philosophy-150900,6,8,2,2,1,
,,Political Science-220700,30,26,17,10,14,
,,"Psychology, General-200100",180,193,178,200,184,
,,Sociology-220800,90,83,67,62,60,
,,Spanish-110500,13,13,11,8,10,
,,Speech Communication-150600,40,24,31,23,22,
,Associate of Science (A.S.) degree                           Total,,559,556,498,531,605,
,,Accounting-050200,17,20,17,25,17,
,,Administration of Justice-210500,21,23,20,21,18,
,,Agricultural Power Equipment Technology-011600,9,4,3,3,3,
,,"Agriculture Business, Sales and Service-011200",9,6,7,8,11,
,,"Agriculture Technology and Sciences, General-010100",4,7,3,2,3,
,,Animal Science-010200,11,13,5,5,9,
,,Athletic Training and Sports Medicine-122800,5,8,4,9,10,
,,Automotive Collision Repair-094900,1,1,2,1,5,
,,Automotive Technology-094800,3,7,6,6,11,
,,Biological and Physical Sciences (and Mathematics)-490200,44,37,33,38,32,
,,Business Administration-050500,34,27,26,34,33,
,,Business Management-050600,22,20,11,10,10,
,,"Chemistry, General-190500",8,5,11,5,5,
,,Child Development/Early Care and Education-130500,62,54,33,34,41,
,,Computer Electronics-093410,3,3,7,,,
,,Computer Graphics and Digital Imagery-061460,22,29,28,29,27,
,,Computer Infrastructure and Support-070800,,,,5,8,
,,Computer Science (Transfer)-070600,19,19,8,19,10,
,,Dairy Science-010230,3,7,2,7,9,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,,3,6,11,
,,Equine Science-010240,5,2,4,,3,
,,Fire Technology-213300,17,22,14,21,21,
,,Horticulture-010900,2,1,2,4,6,
,,Industrial Electronics-093420,6,6,13,6,16,
,,"Information Technology, General-070100",5,5,5,14,7,
,,Interior Design and Merchandising-130200,1,,,,,
,,Logistics and Materials Transportation-051000,1,5,2,4,6,
,,Machining and Machine Tools-095630,4,1,2,3,3,
,,Management Development and Supervision-050630,3,4,2,3,3,
,,Marketing and Distribution-050900,4,3,3,4,7,
,,Medical Assisting-120800,28,33,48,36,39,
,,Office Technology/Office Computer Applications-051400,7,8,11,13,17,
