,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Mt San Antonio Total,,,"6,369","6,890","7,312","8,215","8,863",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,640,527,628,692,735,
,,Administration of Justice-210500,88,72,56,63,68,
,,Animal Science-010200,,,,,4,
,,Business Administration-050500,337,281,373,449,493,
,,Child Development/Early Care and Education-130500,58,53,59,50,33,
,,Geology-191400,,2,1,,,
,,"Health Occupations, General-120100",,,4,4,7,
,,Hospitality-130700,21,15,15,9,19,
,,"Mathematics, General-170100",93,41,38,39,39,
,,"Nutrition, Foods, and Culinary Arts-130600",15,19,20,13,13,
,,Plant Science-010300,5,9,12,17,12,
,,Television (including combined TV/Film/Video)-060420,23,35,50,48,47,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,"1,145",999,896,941,939,
,,Anthropology-220200,1,8,5,5,5,
,,Art-100200,36,37,37,52,56,
,,Child and Adolescent Development-130510,,,,,13,
,,Dramatic Arts-100700,20,13,10,14,8,
,,English-150100,47,40,35,35,25,
,,"Fine Arts, General-100100",9,8,11,6,12,
,,Geography-220600,3,3,7,1,4,
,,History-220500,55,45,45,34,37,
,,Journalism-060200,17,19,10,10,7,
,,Kinesiology-127000,69,81,60,80,81,
,,Music-100400,5,11,17,11,1,
,,Philosophy-150900,19,11,21,19,19,
,,Political Science-220700,31,40,37,39,33,
,,"Psychology, General-200100",387,338,304,320,359,
,,Social Justice Studies-220130,37,41,39,61,30,
,,Sociology-220800,335,242,201,196,192,
,,Speech Communication-150600,74,62,57,58,57,
,Associate of Science (A.S.) degree                           Total,,866,992,938,989,"1,005",
,,Accounting-050200,37,47,33,36,33,
,,Administration of Justice-210500,20,33,14,12,19,
,,Aeronautical and Aviation Technology-095000,10,12,8,23,16,
,,Agricultural Pest Control Adviser and Operator (Licensed)-010310,2,1,1,2,2,
,,"Agriculture Technology and Sciences, General-010100",,3,,1,1,
,,Air Traffic Control-302030,39,29,29,19,19,
,,Alcohol and Controlled Substances-210440,11,21,23,19,16,
,,Animal Science-010200,5,6,9,18,8,
,,Animation-061440,22,13,18,28,21,
,,Applied Photography-101200,7,11,18,19,11,
,,Architecture and Architectural Technology-020100,7,19,7,14,18,
,,"Biology, General-040100",4,2,8,13,11,
,,"Business and Commerce, General-050100",1,3,2,3,4,
,,Business Management-050600,45,52,50,62,68,
