,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Logistics and Materials Transportation-051000,,4,,,
,,Management Development and Supervision-050630,,1,,1,
,,Paralegal-140200,9,4,7,17,
,,Paramedic-125100,14,9,23,38,
,,Surgical Technician-121700,2,15,,1,
,,Transfer Studies-490110,410,457,558,533,
,Certificate requiring 16 to fewer than 30 semester units     Total,,146,104,156,185,
,,Accounting-050200,16,18,13,20,
,,Applied Photography-101200,4,3,2,4,
,,Automotive Technology-094800,8,11,7,18,
,,Banking and Finance-050400,3,4,2,3,
,,Business Management-050600,1,,,,
,,Commercial Music-100500,1,,,,
,,Construction Inspection-095720,5,1,2,3,
,,Culinary Arts-130630,7,7,5,20,
,,Drafting Technology-095300,2,1,2,2,
,,Educational Aide (Teacher Assistant)-080200,1,,,,
,,Electronic Game Design-061420,1,1,,,
,,English as a Second Language - Integrated-493087,,1,20,10,
,,Environmental Technology-030300,1,,1,1,
,,Film Production-061220,1,,,,
,,Fire Academy-213350,11,5,29,13,
,,Fitness Trainer-083520,4,1,6,4,
,,Floriculture / Floristry-010920,1,,1,4,
,,Geographic Information Systems-220610,,3,2,3,
,,Health Information Coding-122310,,,,10,
,,Hospitality-130700,6,8,4,3,
,,Human Services-210400,,,,2,
,,Industrial and Occupational Safety and Health-095670,1,1,2,4,
,,Insurance-051200,1,,,,
,,"Law, General-140100",3,3,4,8,
,,Legal and Community Interpretation-214000,11,8,7,5,
,,Legal Office Technology-051410,3,2,1,,
,,Logistics and Materials Transportation-051000,3,4,4,2,
,,Marketing and Distribution-050900,,1,,,
,,Music-100400,1,1,,3,
,,Office Technology/Office Computer Applications-051400,5,3,6,5,
,,Piloting-302020,2,4,2,4,
,,Police Academy-210550,22,,25,12,
,,Sign Language-085000,14,6,8,14,
,,Small Business and Entrepreneurship-050640,2,,,,
,,Software Applications-070210,,1,,2,
,,Technical Theater-100600,,,1,2,
,,Television (including combined TV/Film/Video)-060420,2,3,,4,
,,Website Design and Development-061430,3,3,,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,101,137,167,248,
,,"Business and Commerce, General-050100",,,,1,
,,Business Management-050600,2,12,20,46,
,,Culinary Arts-130630,9,9,10,27,
,,E-Commerce (Business emphasis)-050970,3,,,3,
,,Emergency Medical Services-125000,82,100,102,118,
,,Fitness Trainer-083520,,7,13,21,
,,Hospitality-130700,,,2,9,
,,Logistics and Materials Transportation-051000,,,9,16,
,,Marketing and Distribution-050900,,2,2,2,
,,Office Technology/Office Computer Applications-051400,,1,,,
,,Small Business and Entrepreneurship-050640,2,2,9,5,
,,Website Design and Development-061430,3,4,,,
