,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,Certificate requiring 8 to fewer than 16 semester units      Total,,13,36,21,60,89,
,,Applied Photography-101200,,,,3,9,
,,Biotechnology and Biomedical Technology-043000,7,9,15,17,16,
,,Commercial Dance-100810,,,,1,,
,,Construction Crafts Technology-095200,,,,5,7,
,,Culinary Arts-130630,,3,5,20,24,
,,English as a Second Language - Integrated-493087,,,,3,1,
,,Legal and Community Interpretation-214000,,,,,3,
,,Machining and Machine Tools-095630,,,,4,17,
,,Music-100400,5,4,,1,,
,,Other Business and Management-059900,,16,,,,
,,Restaurant and Food Services and Management-130710,1,4,1,5,12,
,,Speech Communication-150600,,,,1,,
,Certificate requiring 6 to < 18 semester units               Total,,31,26,26,8,3,
,,Biotechnology and Biomedical Technology-043000,9,4,6,1,,
,,Construction Inspection-095720,8,3,3,1,1,
,,English as a Second Language - Integrated-493087,7,12,10,2,,
,,Environmental Control Technology-094600,6,5,5,3,1,
,,Fitness Trainer-083520,1,1,,,1,
,,Graphic Art and Design-103000,,1,2,1,,
,Noncredit award requiring from 288 to < 480 hours            Total,,5,8,1,2,5,
,,English as a Second Language - Integrated-493087,5,8,1,2,5,
,Noncredit award requiring from 192 to < 288 hours            Total,,,,,3,8,
,,English as a Second Language - Integrated-493087,,,,3,8,
,Noncredit award requiring from 48 to < 96 hours              Total,,,,,1,,
,,English as a Second Language - Integrated-493087,,,,1,,
,Noncredit award requiring < 48 hours                         Total,,,,4,1,2,
,,Study Skills-493014,,,4,1,2,
