,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Gavilan Total,,,"1,227","1,181","1,022","1,345","1,450",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,126,118,106,126,152,
,,Administration of Justice-210500,37,17,23,28,28,
,,"Biology, General-040100",7,8,14,13,6,
,,Business Administration-050500,55,58,43,53,67,
,,"Chemistry, General-190500",4,1,,,3,
,,Child Development/Early Care and Education-130500,3,8,7,8,5,
,,Computer Science (Transfer)-070600,5,8,5,8,8,
,,"Health Occupations, General-120100",,2,6,3,11,
,,"Mathematics, General-170100",10,5,2,6,8,
,,"Physics, General-190200",5,5,,4,6,
,,Television (including combined TV/Film/Video)-060420,,6,6,3,10,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,133,139,126,141,146,
,,Anthropology-220200,2,3,1,3,3,
,,Art-100200,8,11,9,9,8,
,,Dramatic Arts-100700,2,1,3,4,1,
,,Economics-220400,1,4,5,4,8,
,,English-150100,8,5,5,9,6,
,,"Fine Arts, General-100100",1,1,1,,1,
,,History-220500,6,7,6,6,7,
,,Journalism-060200,,1,,,,
,,Kinesiology-127000,12,14,9,14,16,
,,Liberal Studies-490120,,1,,4,3,
,,Music-100400,,,,,1,
,,Philosophy-150900,2,1,1,2,2,
,,Political Science-220700,2,4,3,4,5,
,,"Psychology, General-200100",45,37,45,47,47,
,,Social Justice Studies-220130,9,11,3,3,6,
,,Sociology-220800,4,11,7,10,12,
,,Spanish-110500,6,6,13,4,3,
,,Speech Communication-150600,25,21,15,18,17,
,Associate of Science (A.S.) degree                           Total,,159,172,141,200,189,
,,Aeronautical and Aviation Technology-095000,4,2,2,3,4,
,,"Biology, General-040100",3,7,4,3,2,
,,Computer Networking-070810,4,,,1,,
,,Computer Programming-070710,14,19,14,18,14,
,,Cosmetology and Barbering-300700,1,1,3,2,5,
,,"Engineering, General (requires Calculus) (Transfer)-090100",1,7,4,3,8,
,,Environmental Control Technology-094600,2,,2,3,2,
,,"Health Professions, Transfer Core Curriculum-126000",105,103,81,114,127,
,,Licensed Vocational Nursing-123020,,15,2,27,1,
,,"Mathematics, General-170100",2,,7,6,2,
,,Registered Nursing-123010,21,18,22,20,24,
,,Software Applications-070210,2,,,,,
,Associate of Arts (A.A.) degree                              Total,,182,205,164,230,261,
,,Accounting-050200,4,1,1,,5,
,,Administration of Justice-210500,8,13,10,7,9,
,,Art-100200,,,,1,1,
,,Biological and Physical Sciences (and Mathematics)-490200,27,36,31,43,48,
,,"Business and Commerce, General-050100",5,11,12,12,22,
,,Child Development/Early Care and Education-130500,4,5,1,6,5,
,,Computer Information Systems-070200,,2,2,1,1,
,,Digital Media-061400,5,15,8,8,5,
,,Dramatic Arts-100700,1,,,1,,
,,Humanities-490300,2,1,1,4,4,
,,International Studies-221000,1,,,,,
,,Kinesiology-127000,6,1,3,4,2,
,,"Liberal Arts and Sciences, General-490100",16,21,16,29,49,
,,Liberal Studies-490120,63,66,57,89,87,
,,Medical Office Technology-051420,2,2,1,,,
,,Music-100400,4,3,,3,1,
,,Office Technology/Office Computer Applications-051400,3,1,,,,
,,Police Academy-210550,1,1,1,,1,
,,Real Estate-051100,,1,1,1,,
,,"Social Sciences, General-220100",1,,,,,
,,Spanish-110500,13,13,10,10,7,
,,Speech Communication-150600,4,4,1,1,2,
,,Technical Theater-100600,,,,1,,
,,Water and Wastewater Technology-095800,12,8,8,9,12,
,Certificate requiring 30 to < 60 semester units              Total,,,,268,313,283,
,,Cosmetology and Barbering-300700,,,17,34,39,
,,Transfer Studies-490110,,,251,279,244,
,Certificate requiring 16 to fewer than 30 semester units     Total,,605,536,201,175,229,
,,Accounting-050200,5,6,10,7,10,
,,Administration of Justice-210500,8,10,11,5,1,
,,Aeronautical and Aviation Technology-095000,19,13,11,15,14,
,,Aviation Airframe Mechanics-095010,11,11,13,16,17,
,,Aviation Powerplant Mechanics-095020,19,13,12,15,16,
,,"Business and Commerce, General-050100",4,13,9,2,4,
,,Child Development/Early Care and Education-130500,5,6,13,13,9,
,,Computer Graphics and Digital Imagery-061460,,2,3,2,1,
,,Computer Networking-070810,1,,,,,
,,Computer Programming-070710,2,2,1,,3,
,,Cosmetology and Barbering-300700,20,32,13,,1,
,,Digital Media-061400,1,1,,1,2,
,,Environmental Control Technology-094600,9,,7,4,20,
,,Film Production-061220,,,1,,,
,,Fire Technology-213300,,,1,3,24,
,,Fitness Trainer-083520,4,2,1,6,6,
,,Licensed Vocational Nursing-123020,,1,,1,1,
,,Medical Office Technology-051420,2,3,3,7,9,
,,Music-100400,3,,,,,
,,Office Technology/Office Computer Applications-051400,,1,1,2,4,
,,Police Academy-210550,136,55,32,43,67,
,,Real Estate-051100,,1,3,8,7,
,,Spanish-110500,3,4,1,5,3,
,,Speech Communication-150600,1,,,1,1,
,,The School Age Child-130550,1,,2,,3,
,,Transfer Studies-490110,342,348,41,3,1,
,,Water and Wastewater Technology-095800,9,12,12,16,5,
,Certificate requiring 8 to fewer than 16 semester units      Total,,22,11,16,23,26,
,,Computer Information Systems-070200,,,,7,7,
,,Speech Communication-150600,22,11,16,16,19,
,Noncredit award requiring from 192 to < 288 hours            Total,,,,,48,45,
,,English as a Second Language - Integrated-493087,,,,48,45,
,Noncredit award requiring from 48 to < 96 hours              Total,,,,,10,42,
,,Business Management-050600,,,,10,15,
,,English as a Second Language - Integrated-493087,,,,,27,
,Noncredit award requiring < 48 hours                         Total,,,,,79,77,
,,English as a Second Language - Integrated-493087,,,,79,77,
