,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Other Foreign Languages-119900,,,2,2,1,
,,Philosophy-150900,,1,1,2,3,
,,Photography-101100,9,9,2,2,5,
,,Physical Education-083500,2,3,2,2,,
,,"Physical Sciences, General-190100",6,4,,,,
,,Political Science-220700,10,11,6,11,14,
,,"Social Sciences, General-220100",3,1,,,,
,,Spanish-110500,6,7,6,5,7,
,,Technical Theater-100600,4,3,2,1,3,
,,Women's Studies-220110,2,4,2,2,1,
,Certificate requiring 60+ semester units                     Total,,99,89,79,105,100,
,,Interior Design and Merchandising-130200,10,15,8,9,12,
,,Registered Nursing-123010,89,74,71,96,88,
,Certificate requiring 30 to < 60 semester units              Total,,"2,416","2,603","2,181","2,176","2,126",
,,Alcohol and Controlled Substances-210440,12,17,16,13,11,
,,Architecture and Architectural Technology-020100,1,,1,9,2,
,,Automotive Technology-094800,4,7,7,7,16,
,,Child Development Administration and Management-130580,2,,1,5,2,
,,Child Development/Early Care and Education-130500,5,6,5,8,1,
,,Clinical Medical Assisting-120810,6,15,7,10,7,
,,Cosmetology and Barbering-300700,34,50,40,53,,
,,Culinary Arts-130630,8,,6,5,10,
,,Drafting Technology-095300,,1,,1,1,
,,Fashion Design-130310,1,3,2,4,4,
,,Fashion Merchandising-130320,10,7,2,2,2,
,,Fashion-130300,,,1,,1,
,,Graphic Art and Design-103000,4,5,6,2,8,
,,Health Information Coding-122310,3,9,7,6,2,
,,Human Services-210400,5,5,12,5,10,
,,Infants and Toddlers-130590,18,12,15,19,17,
,,Interior Design and Merchandising-130200,13,12,11,12,22,
,,Manufacturing and Industrial Technology-095600,1,6,2,1,1,
,,Medical Assisting-120800,5,2,2,1,5,
,,Medical Laboratory Technology-120500,12,7,11,6,9,
,,Paramedic-125100,10,32,12,25,18,
,,Real Estate-051100,2,,,,,
,,Retail Store Operations and Management-050650,,,1,,,
,,Transfer Studies-490110,"2,260","2,407","2,014","1,982","1,977",
,Certificate requiring 16 to fewer than 30 semester units     Total,,284,433,427,486,464,
,,Accounting-050200,14,38,23,19,13,
,,Administrative Medical Assisting-120820,7,10,3,3,4,
,,Alternative Fuels and Advanced Transportation Technology-094840,1,5,3,3,3,
,,Automotive Technology-094800,3,13,18,64,93,
,,Business Administration-050500,2,6,36,28,40,
,,"Business and Commerce, General-050100",10,27,16,28,25,
,,Business Management-050600,,,,2,5,
,,Child Development/Early Care and Education-130500,,,,9,4,
,,Clinical Medical Assisting-120810,7,6,3,2,3,
,,Computer Electronics-093410,13,4,3,3,2,
,,Computer Graphics and Digital Imagery-061460,2,2,4,3,1,
,,Computer Infrastructure and Support-070800,3,13,14,14,15,
,,Computer Networking-070810,10,8,8,7,9,
,,Computer Software Development-070700,6,9,8,18,17,
,,Construction Inspection-095720,5,1,5,3,4,
,,Cosmetology and Barbering-300700,8,111,94,95,,
,,Culinary Arts-130630,13,13,19,21,22,
,,Digital Media-061400,1,1,2,,1,
,,E-Commerce (Technology emphasis)-070910,,1,2,1,,
,,Electronics and Electric Technology-093400,15,6,6,6,6,
,,Environmental Technology-030300,,1,,,3,
,,Escrow-051110,2,3,4,1,1,
,,Fashion Merchandising-130320,1,1,,,1,
,,Film History and Criticism-061210,1,,,,,
,,Fitness Trainer-083520,,,1,3,8,
,,Gerontology-130900,2,2,3,4,,
,,Graphic Art and Design-103000,6,9,5,4,9,
,,Health Information Technology-122300,2,1,5,8,2,
,,Horticulture-010900,9,10,8,7,11,
,,Hospitality-130700,,,,1,5,
,,Human Services-210400,6,8,5,3,6,
,,Interior Design and Merchandising-130200,20,15,14,35,30,
,,International Business and Trade-050800,4,4,2,,,
,,Landscape Design and Maintenance-010910,7,8,7,5,9,
,,Logistics and Materials Transportation-051000,,,,,1,
,,Management Development and Supervision-050630,22,6,13,16,17,
,,Marketing and Distribution-050900,5,7,8,10,6,
,,Music-100400,,,24,5,17,
