,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Website Design and Development-061430,4,,,,
,Certificate requiring 16 to fewer than 30 semester units     Total,,207,271,281,303,
,,Accounting-050200,6,10,8,10,
,,Administration of Justice-210500,5,9,19,14,
,,Architectural Drafting-095310,2,3,,1,
,,Athletic Training and Sports Medicine-122800,3,1,2,,
,,Automotive Technology-094800,19,33,35,58,
,,Banking and Finance-050400,3,,,,
,,Business Administration-050500,10,32,27,38,
,,"Business and Commerce, General-050100",,,2,,
,,Business Management-050600,12,11,6,8,
,,Commercial Music-100500,5,2,3,6,
,,Computer Information Systems-070200,,,1,,
,,Computer Infrastructure and Support-070800,31,25,32,31,
,,Computer Networking-070810,1,2,1,3,
,,Corrections-210510,6,6,5,3,
,,Culinary Arts-130630,2,7,1,,
,,Dietetic Services and Management-130620,,,1,,
,,Drafting Technology-095300,,2,5,3,
,,Electrical Systems and Power Transmission-093440,14,16,23,24,
,,Electro-Mechanical Technology-093500,1,5,19,20,
,,Emergency Medical Services-125000,6,8,9,10,
,,Fashion Design-130310,,,2,2,
,,Fashion Production-130330,,1,1,3,
,,Fire Technology-213300,12,16,8,4,
,,Gerontology-130900,6,4,2,2,
,,Hospitality-130700,10,7,3,1,
,,Industrial and Transportation Security-210530,4,2,2,2,
,,Interior Design and Merchandising-130200,3,8,14,3,
,,International Business and Trade-050800,,1,3,,
,,Journalism-060200,,1,1,1,
,,"Law, General-140100",12,10,10,15,
,,Logistics and Materials Transportation-051000,4,10,3,3,
,,Management Development and Supervision-050630,,,,1,
,,Marketing and Distribution-050900,,4,2,3,
,,Mechanical Drafting-095340,1,,2,1,
,,Multimedia-061410,2,3,12,3,
,,"Nutrition, Foods, and Culinary Arts-130600",5,6,,,
,,Office Technology/Office Computer Applications-051400,13,10,4,6,
,,Real Estate-051100,4,6,4,11,
,,Retail Store Operations and Management-050650,1,4,1,1,
,,Sign Language-085000,,,2,11,
,,Small Business and Entrepreneurship-050640,4,6,6,1,
