,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
West Valley Total,,,"1,761","1,677","2,145","2,144","2,620",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,247,247,223,228,251,
,,Administration of Justice-210500,40,38,37,30,23,
,,"Biology, General-040100",8,11,8,9,10,
,,Business Administration-050500,143,145,109,137,124,
,,"Chemistry, General-190500",,,1,2,3,
,,Child Development/Early Care and Education-130500,16,10,3,6,7,
,,Geology-191400,1,,,1,1,
,,"Health Occupations, General-120100",3,8,7,8,14,
,,"Mathematics, General-170100",24,16,36,22,32,
,,"Nutrition, Foods, and Culinary Arts-130600",,2,1,2,3,
,,"Physics, General-190200",12,9,17,6,22,
,,Television (including combined TV/Film/Video)-060420,,8,4,5,12,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,402,394,353,365,448,
,,Anthropology-220200,8,7,5,7,9,
,,Art-100200,10,12,12,14,24,
,,Child and Adolescent Development-130510,,19,22,17,42,
,,Dramatic Arts-100700,11,5,5,3,6,
,,Economics-220400,126,135,118,148,150,
,,English-150100,16,10,10,20,16,
,,"Fine Arts, General-100100",6,1,2,1,3,
,,Geography-220600,1,2,2,,5,
,,History-220500,6,3,2,2,2,
,,Kinesiology-127000,27,11,15,12,19,
,,"Law, General-140100",,2,1,5,8,
,,Liberal Studies-490120,4,6,4,3,2,
,,Music-100400,6,4,4,3,6,
,,Philosophy-150900,1,,4,,,
,,Political Science-220700,22,23,14,13,13,
,,"Psychology, General-200100",61,60,61,42,62,
,,Social Justice Studies-220130,9,8,4,15,16,
,,Sociology-220800,38,28,24,24,22,
,,Spanish-110500,,1,3,1,2,
,,Speech Communication-150600,50,57,41,35,41,
,Associate of Science (A.S.) degree                           Total,,129,108,138,115,144,
,,Administration of Justice-210500,16,8,9,8,1,
,,Administrative Medical Assisting-120820,6,10,6,,,
,,Aeronautical and Aviation Technology-095000,,,,4,,
,,Architecture and Architectural Technology-020100,6,7,7,8,15,
,,"Biology, General-040100",19,14,12,10,16,
,,Business Management-050600,4,2,3,6,5,
,,Child Development/Early Care and Education-130500,14,9,8,9,7,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,6,6,4,9,
,,Environmental Science-030100,3,3,3,3,2,
,,Fashion Design-130310,7,3,7,4,11,
,,Fashion Production-130330,7,1,3,1,1,
,,Interior Design and Merchandising-130200,24,13,19,12,13,
,,Landscape Architecture (Transfer)-020110,,,1,2,,
,,"Mathematics, General-170100",9,15,31,18,33,
,,Medical Assisting-120800,,,,2,4,
,,Natural Resources-011500,2,5,7,7,16,
,,Paralegal-140200,11,9,11,15,7,
,,"Physics, General-190200",1,3,5,2,4,
,Associate of Arts (A.A.) degree                              Total,,724,690,"1,021","1,199","1,272",
,,Anthropology-220200,3,3,2,5,8,
,,Business Administration-050500,1,,,,,
,,Digital Media-061400,,3,5,,,
,,Dramatic Arts-100700,7,2,1,2,1,
,,Economics-220400,16,11,15,27,28,
,,English-150100,4,3,5,4,2,
,,Film Studies-061200,2,3,1,1,2,
,,French-110200,1,1,1,1,1,
,,Geography-220600,3,,1,2,1,
,,History-220500,,1,,,1,
,,Italian-110400,,,,1,1,
,,"Liberal Arts and Sciences, General-490100",640,639,927,"1,125","1,179",
,,Music-100400,4,3,5,1,12,
,,Physical Education-083500,2,1,,,,
,,Political Science-220700,2,,5,1,8,
,,"Psychology, General-200100",21,7,21,10,7,
,,Sociology-220800,7,2,12,8,5,
,,Spanish-110500,3,2,3,2,3,
,,Speech Communication-150600,8,6,16,3,8,
,,Technical Theater-100600,,1,,,,
,,Website Design and Development-061430,,,,3,4,
,,Women's Studies-220110,,2,1,3,1,
,Certificate requiring 60+ semester units                     Total,,3,3,1,,3,
,,Interior Design and Merchandising-130200,3,3,1,,3,
,Certificate requiring 30 to < 60 semester units              Total,,103,94,237,118,359,
,,Administrative Medical Assisting-120820,8,9,8,,,
,,Architecture and Architectural Technology-020100,,2,3,1,2,
,,Child Development/Early Care and Education-130500,,,,2,1,
,,Clinical Medical Assisting-120810,6,5,5,2,1,
,,Court Reporting-051430,,4,,,,
,,Digital Media-061400,,1,8,,,
,,Fashion Design-130310,8,1,2,1,2,
,,Graphic Art and Design-103000,,,,2,,
,,Interior Design and Merchandising-130200,22,11,23,16,15,
,,Medical Assisting-120800,,,,3,3,
,,Natural Resources-011500,1,6,7,8,18,
,,Paralegal-140200,17,19,14,17,10,
,,Transfer Studies-490110,41,36,167,66,307,
,Certificate requiring 16 to fewer than 30 semester units     Total,,65,53,55,50,72,
,,Accounting-050200,3,,3,4,4,
,,Administrative Medical Assisting-120820,8,9,4,6,7,
,,Aeronautical and Aviation Technology-095000,,,2,1,,
,,Architecture and Architectural Technology-020100,,,3,3,1,
,,Athletic Training and Sports Medicine-122800,1,,,,,
,,Business Administration-050500,3,,,,,
,,"Business and Commerce, General-050100",1,,,,,
,,Child Development/Early Care and Education-130500,13,14,9,9,12,
,,Commercial Music-100500,4,4,4,5,10,
,,Computer Information Systems-070200,10,1,4,,,
,,Computer Programming-070710,,,,2,5,
,,Court Reporting-051430,1,2,1,,,
,,Digital Media-061400,2,4,2,,,
,,Fashion Design-130310,15,6,2,3,7,
,,"Fine Arts, General-100100",,,3,1,4,
,,Fitness Trainer-083520,,3,,,,
,,Geographic Information Systems-220610,,1,2,1,2,
,,Graphic Art and Design-103000,,,,,3,
,,"Mathematics, General-170100",,,,,4,
,,Natural Resources-011500,,,,1,,
,,Orthopedic Assistant-121400,4,4,8,6,5,
,,Other Business and Management-059900,,4,,1,,
,,Small Business and Entrepreneurship-050640,,,3,1,,
,,Special Education-080900,,,,3,5,
,,Technical Theater-100600,,1,,,,
,,Website Design and Development-061430,,,5,3,3,
,Certificate requiring 8 to fewer than 16 semester units      Total,,86,54,65,56,59,
,,Accounting-050200,1,,,,,
,,Administrative Medical Assisting-120820,5,6,2,2,2,
,,Aeronautical and Aviation Technology-095000,5,,,,,
,,"Business and Commerce, General-050100",1,,,,,
,,Business Management-050600,4,,,1,,
,,Child Development Administration and Management-130580,,,4,4,2,
,,Child Development/Early Care and Education-130500,3,2,,,,
,,Commercial Dance-100810,,,,,2,
,,Drafting Technology-095300,8,5,3,3,2,
,,Fashion-130300,,,,,3,
,,Fitness Trainer-083520,7,7,15,13,11,
,,Office Management-051440,1,,,,,
,,Orthopedic Assistant-121400,1,1,1,,,
,,Real Estate-051100,,,,2,3,
,,Speech Communication-150600,50,33,40,31,34,
,Certificate requiring 6 to < 18 semester units               Total,,1,6,,,,
,,Certified Nurse Assistant-123030,,5,,,,
,,Music-100400,1,,,,,
,,Speech Communication-150600,,1,,,,
,Noncredit award requiring from 288 to < 480 hours            Total,,,14,14,11,10,
,,Court Reporting-051430,,14,14,11,10,
,Noncredit award requiring from 192 to < 288 hours            Total,,,1,1,2,1,
,,Court Reporting-051430,,1,1,2,1,
,Noncredit award requiring from 144 to < 192 hours            Total,,,,11,,1,
,,Accounting-050200,,,11,,,
,,Real Estate-051100,,,,,1,
,Noncredit award requiring from 96 to < 144 hours             Total,,1,1,4,,,
,,Accounting-050200,1,1,4,,,
,Noncredit award requiring < 48 hours                         Total,,,12,22,,,
,,Small Business and Entrepreneurship-050640,,12,22,,,
