,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,Noncredit award requiring from 144 to < 192 hours            Total,,183,181,263,306,
,,Certified Nurse Assistant-123030,73,68,134,138,
,,Citizenship / ESL Civics-493090,,5,8,14,
,,English as a Second Language - Integrated-493087,53,13,14,59,
,,Job Seeking/Changing Skills-493012,,,,2,
,,Manufacturing and Industrial Technology-095600,7,6,2,,
,,Marketing and Distribution-050900,5,13,15,27,
,,Office Technology/Office Computer Applications-051400,,1,4,5,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,45,75,86,61,
,Noncredit award requiring from 96 to < 144 hours             Total,,237,76,73,97,
,,Applied Photography-101200,,,,15,
,,Banking and Finance-050400,,12,12,15,
,,Culinary Arts-130630,128,35,16,13,
,,Customer Service-051800,10,4,,,
,,English as a Second Language - Integrated-493087,,,,12,
,,Job Seeking/Changing Skills-493012,8,6,31,34,
,,Office Technology/Office Computer Applications-051400,91,19,14,8,
,Noncredit award requiring from 48 to < 96 hours              Total,,186,114,186,283,
,,Animal Science-010200,,,5,8,
,,Interpersonal Skills-493011,125,58,25,17,
,,Job Seeking/Changing Skills-493012,,,11,22,
,,Other Health Occupations-129900,61,56,145,236,
