,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Dental Assistant-124010,17,15,14,11,12,
,,Fashion Design-130310,,,2,,,
,,Fashion Merchandising-130320,2,1,,,,
,,Fire Technology-213300,,,,4,94,
,,Floriculture / Floristry-010920,1,4,5,,,
,,Graphic Art and Design-103000,2,7,6,9,5,
,,Health Information Coding-122310,2,5,8,2,10,
,,Health Information Technology-122300,1,8,13,5,19,
,,Horticulture-010900,,1,,,1,
,,Journalism-060200,1,1,,,,
,,Landscape Design and Maintenance-010910,9,8,2,2,2,
,,Licensed Vocational Nursing-123020,34,43,22,21,7,
,,Medical Assisting-120800,30,34,45,21,18,
,,Multimedia-061410,1,,,,,
,,Paralegal-140200,17,10,13,1,1,
,,Paramedic-125100,2,6,10,15,20,
,,Pharmacy Technology-122100,31,4,12,28,22,
,,Transfer Studies-490110,492,375,413,400,393,
,Certificate requiring 16 to fewer than 30 semester units     Total,,"1,122","1,254","1,487","1,465","1,383",
,,Accounting-050200,9,17,13,7,,
,,Administration of Justice-210500,,10,6,10,6,
,,Alcohol and Controlled Substances-210440,21,24,25,17,25,
,,Animation-061440,,1,2,,1,
,,Applied Photography-101200,31,17,22,84,67,
,,Architecture and Architectural Technology-020100,,2,3,72,24,
,,Automotive Collision Repair-094900,,,2,4,1,
,,Automotive Technology-094800,2,1,1,33,25,
,,Banking and Finance-050400,4,6,2,2,,
,,"Biology, General-040100",2,55,57,31,41,
,,Biotechnology and Biomedical Technology-043000,26,14,25,19,7,
,,Business Administration-050500,4,76,78,48,49,
,,Child Development Administration and Management-130580,68,43,54,58,30,
,,Child Development/Early Care and Education-130500,36,140,243,129,150,
,,Children with Special Needs-130520,11,49,59,27,70,
,,Chinese-110700,,2,3,,1,
,,Civil and Construction Management Technology-095700,4,6,13,14,13,
,,Coaching-083560,,,,,1,
,,Commercial Music-100500,,1,,,,
,,Community Health Care Worker-126100,86,69,62,116,70,
,,Computer Graphics and Digital Imagery-061460,3,4,5,4,8,
,,Computer Infrastructure and Support-070800,,,,,4,
,,Computer Networking-070810,28,92,108,66,74,
,,Computer Programming-070710,46,45,29,44,49,
,,Computer Software Development-070700,6,5,2,7,5,
,,Construction Crafts Technology-095200,2,,1,5,12,
,,Creative Writing-150700,17,8,7,3,5,
,,Dance-100800,,,1,2,1,
,,Digital Media-061400,10,3,12,11,9,
,,Dramatic Arts-100700,4,6,1,8,4,
,,E-Commerce (Business emphasis)-050970,,,,,2,
,,English as a Second Language - Integrated-493087,,2,1,54,17,
,,Environmental Studies-030200,,3,1,,7,
,,Ethnic Studies-220300,,1,1,10,2,
,,Fashion Design-130310,1,7,7,5,7,
,,Fashion Merchandising-130320,1,6,9,10,2,
,,Film Production-061220,13,10,6,16,22,
,,Film Studies-061200,11,8,10,47,28,
,,Fire Academy-213350,,14,12,12,9,
,,Fire Technology-213300,48,47,24,11,9,
,,Fitness Trainer-083520,,,,,1,
,,"Forensics, Evidence, and Investigation-210540",,12,5,4,1,
,,French-110200,2,1,5,3,2,
,,Graphic Art and Design-103000,20,28,20,37,22,
,,Health Information Technology-122300,3,29,33,,,
,,Horticulture-010900,2,,1,1,2,
,,Humanities-490300,,,1,3,1,
,,Infants and Toddlers-130590,120,120,160,153,182,
,,Interior Design and Merchandising-130200,,4,6,7,5,
,,Japanese-110800,5,21,7,7,2,
,,Journalism-060200,,2,1,,3,
,,Labor and Industrial Relations-051600,,1,1,,1,
,,Legal and Community Interpretation-214000,39,21,18,19,11,
,,Library Technician (Aide)-160200,29,29,25,21,51,
,,Management Development and Supervision-050630,14,17,10,5,23,
,,Marketing and Distribution-050900,20,12,13,14,19,
,,"Motorcycle, Outboard and Small Engine Repair-094830",8,1,2,5,5,
,,Multimedia-061410,11,4,5,1,3,
,,Music-100400,,1,2,,1,
,,Office Management-051440,,,,,38,
,,Office Technology/Office Computer Applications-051400,2,6,7,4,3,
,,Other Biological Sciences-049900,302,90,183,114,76,
,,Other Health Occupations-129900,,,,,6,
,,Other Interdisciplinary Studies-499900,,1,,,,
,,Paralegal-140200,,,,11,3,
,,Physical Fitness and Body Movement-083510,,,2,,,
,,"Physics, General-190200",,,,,2,
,,Radio and Television-060400,13,18,8,19,23,
,,Real Estate-051100,11,16,21,24,12,
,,Small Business and Entrepreneurship-050640,2,1,6,5,4,
,,Spanish-110500,7,14,7,8,12,
,,Television (including combined TV/Film/Video)-060420,12,7,16,8,7,
,,The School Age Child-130550,6,4,15,6,5,
,Certificate requiring 8 to fewer than 16 semester units      Total,,36,65,91,236,172,
,,Administration of Justice-210500,,,,,2,
,,Alternative Fuels and Advanced Transportation Technology-094840,,1,5,38,2,
,,Certified Nurse Assistant-123030,,,,2,6,
,,Child Development/Early Care and Education-130500,,3,9,6,3,
,,Chinese-110700,,,,34,19,
,,Community Health Care Worker-126100,9,1,,,,
,,Computer Programming-070710,11,9,9,17,9,
,,Database Design and Administration-070720,,1,1,1,1,
,,Electrocardiography-121500,,1,4,16,14,
,,Emergency Medical Services-125000,,39,51,59,77,
,,Ethnic Studies-220300,9,9,6,51,17,
,,Health Information Technology-122300,,,6,12,22,
,,Multimedia-061410,,1,,,,
,,Radio and Television-060400,7,,,,,
,Certificate requiring 6 to < 18 semester units               Total,,900,923,932,929,886,
,,Adapted Physical Education-083580,1,,,,,
,,Administration of Justice-210500,2,,,,1,
,,Applied Photography-101200,2,,,,,
,,Architectural Drafting-095310,3,4,2,3,3,
,,Automotive Technology-094800,2,2,2,23,4,
,,Biotechnology and Biomedical Technology-043000,18,5,,,,
,,Business Administration-050500,,10,4,,,
,,"Business and Commerce, General-050100",2,1,,,,
,,Child Development/Early Care and Education-130500,559,451,629,469,469,
,,Children with Special Needs-130520,16,8,45,18,29,
,,Chinese-110700,1,3,1,,1,
,,Civil and Construction Management Technology-095700,1,1,,,,
,,Computer Infrastructure and Support-070800,8,6,7,41,26,
,,Computer Networking-070810,47,116,114,68,65,
,,Computer Programming-070710,1,,,1,,
,,Computer Support-070820,1,,2,,,
,,Construction Crafts Technology-095200,1,,,7,2,
,,Creative Writing-150700,3,,,,,
,,Dance-100800,10,,,,,
,,Digital Media-061400,20,18,8,10,16,
,,Electrocardiography-121500,16,28,4,,,
,,Electronics and Electric Technology-093400,3,19,17,20,88,
,,Emergency Medical Services-125000,60,10,,,,
,,English as a Second Language - Integrated-493087,6,27,3,90,31,
,,English as a Second Language - Listening and Speaking-493086,7,59,,41,23,
,,Environmental Control Technology-094600,8,3,6,8,15,
,,Ethnic Studies-220300,8,3,6,35,31,
,,Fashion Design-130310,4,1,,,,
,,Fashion Merchandising-130320,1,,,,,
,,Filipino (Tagalog)-111710,,2,,3,,
,,Fire Technology-213300,2,,,,,
,,French-110200,2,,,,,
,,Geographic Information Systems-220610,8,11,4,24,15,
,,Graphic Art and Design-103000,,,,,1,
,,Health Facility Unit Coordinator-120830,,22,3,9,8,
,,Health Information Technology-122300,1,1,,1,,
,,Home Health Aide-123080,2,37,18,,1,
,,"Information Technology, General-070100",1,,,,,
,,Interior Design and Merchandising-130200,6,,,,,
,,International Business and Trade-050800,1,2,1,,,
,,Italian-110400,3,3,,2,1,
,,Japanese-110800,7,2,,,,
,,Machining and Machine Tools-095630,,,,2,3,
,,Management Development and Supervision-050630,3,,,,,
,,Manufacturing and Industrial Technology-095600,,,1,,,
,,Office Technology/Office Computer Applications-051400,1,4,,,,
,,Other Health Occupations-129900,3,1,1,1,,
,,Other Interdisciplinary Studies-499900,21,16,9,9,6,
,,Phlebotomy-120510,,42,44,38,45,
,,Photography-101100,,1,,2,,
,,"Plumbing, Pipefitting and Steamfitting-095230",5,1,,4,2,
,,Russian-110600,,2,,,,
,,Spanish-110500,2,1,,,,
,,Travel Services and Tourism-300900,16,,,,,
,,Welding Technology-095650,1,,,,,
,,World Wide Web Administration-070900,4,,1,,,
,"Other Credit Award, < 6 semester units                       Total",,,,,,81,
,,Community Health Care Worker-126100,,,,,81,
,Noncredit Adult Education High School Diploma                Total,,51,59,36,56,84,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,51,59,36,56,84,
,Noncredit award requiring from 960+ hours                    Total,,17,13,11,11,15,
,,Culinary Arts-130630,17,13,11,11,15,
,Noncredit award requiring from 480 to < 960 hours            Total,,20,16,29,26,30,
,,Accounting-050200,,,1,,,
,,Office Technology/Office Computer Applications-051400,,1,,,,
,,Vocational ESL-493100,20,15,28,26,30,
,Noncredit award requiring from 288 to < 480 hours            Total,,331,163,171,226,728,
,,Accounting-050200,3,1,4,,,
,,Business Administration-050500,,3,,,,
,,English as a Second Language - Integrated-493087,326,158,91,196,676,
,,Office Technology/Office Computer Applications-051400,2,,5,,1,
,,Software Applications-070210,,1,3,,,
,,Vocational ESL-493100,,,68,30,51,
,Noncredit award requiring from 192 to < 288 hours            Total,,82,313,90,136,95,
,,Culinary Arts-130630,,1,,,,
,,Custodial Services-300500,8,24,15,,,
,,English as a Second Language - Integrated-493087,47,74,60,136,95,
,,English as a Second Language - Listening and Speaking-493086,,165,,,,
,,Vocational ESL-493100,27,49,15,,,
,Noncredit award requiring from 144 to < 192 hours            Total,,291,640,376,475,339,
,,Accounting-050200,,1,5,,,
,,English as a Second Language - Integrated-493087,284,636,360,472,337,
,,Vocational ESL-493100,7,3,11,3,2,
,Noncredit award requiring from 96 to < 144 hours             Total,,286,833,987,497,301,
,,English as a Second Language - Integrated-493087,3,202,103,134,161,
,,English as a Second Language - Listening and Speaking-493086,80,480,847,316,59,
,,Office Technology/Office Computer Applications-051400,2,28,11,1,,
,,Other Commercial Services-309900,196,112,23,46,81,
,,Vocational ESL-493100,5,11,3,,,
,Noncredit award requiring from 48 to < 96 hours              Total,,16,4,8,9,51,
,,English as a Second Language - Integrated-493087,11,3,7,9,51,
,,Small Business and Entrepreneurship-050640,,1,,,,
,,Vocational ESL-493100,5,,1,,,
,Noncredit award requiring < 48 hours                         Total,,,,,,1,
,,Small Business and Entrepreneurship-050640,,,,,1,
