,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Oxnard Total,,,"2,338","2,266","2,837","3,084","3,140",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,179,197,200,187,171,
,,"Biology, General-040100",13,17,22,13,11,
,,Business Administration-050500,75,71,75,71,88,
,,"Chemistry, General-190500",,,,3,,
,,Child Development/Early Care and Education-130500,25,21,19,18,8,
,,Environmental Science-030100,,1,1,1,2,
,,"Health Occupations, General-120100",11,16,12,17,14,
,,Hospitality-130700,2,1,1,,2,
,,"Mathematics, General-170100",24,28,37,31,22,
,,"Nutrition, Foods, and Culinary Arts-130600",1,3,4,1,1,
,,"Physics, General-190200",16,18,17,21,13,
,,Television (including combined TV/Film/Video)-060420,12,21,12,11,10,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,354,295,290,322,343,
,,Anthropology-220200,17,11,12,12,6,
,,Art-100200,15,9,13,16,19,
,,Child and Adolescent Development-130510,9,17,25,22,26,
,,Economics-220400,38,39,32,49,69,
,,English-150100,10,12,12,7,17,
,,"Fine Arts, General-100100",,,,2,7,
,,Geography-220600,5,,,1,2,
,,Global Studies-221020,,,3,1,,
,,History-220500,14,9,12,9,12,
,,Kinesiology-127000,18,25,19,21,11,
,,"Law, General-140100",1,2,3,11,12,
,,Liberal Studies-490120,22,19,35,25,22,
,,Philosophy-150900,3,1,1,1,,
,,Political Science-220700,11,7,5,5,6,
,,"Psychology, General-200100",64,60,52,71,75,
,,Social Justice Studies-220130,1,2,4,3,2,
,,Social Justice: Chicano Studies-220160,2,1,,5,3,
,,Sociology-220800,99,68,48,45,37,
,,Spanish-110500,14,4,9,7,8,
,,Speech Communication-150600,11,9,5,9,9,
,Associate of Science (A.S.) degree                           Total,,182,207,233,241,276,
,,Alcohol and Controlled Substances-210440,14,17,24,23,17,
,,Automotive Collision Repair-094900,3,3,1,3,1,
,,Automotive Technology-094800,10,5,16,11,11,
