,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Child Development/Early Care and Education-130500,44,48,51,48,
,,Children with Special Needs-130520,2,7,3,2,
,,Commercial Dance-100810,,,2,1,
,,Commercial Music-100500,10,20,9,8,
,,Computer Infrastructure and Support-070800,9,17,17,23,
,,Computer Software Development-070700,11,14,15,16,
,,Computer Support-070820,2,2,2,2,
,,Drafting Technology-095300,2,7,6,4,
,,E-Commerce (Technology emphasis)-070910,2,1,1,,
,,English as a Second Language - Integrated-493087,,1,,,
,,"Fine Arts, General-100100",1,2,2,2,
,,Fitness Trainer-083520,3,1,3,4,
,,French-110200,3,8,6,5,
,,"Information Technology, General-070100",8,10,8,10,
,,Italian-110400,,2,1,2,
,,Japanese-110800,,1,2,1,
,,Landscape Architecture (Transfer)-020110,13,1,9,11,
,,"Liberal Arts and Sciences, General-490100",1,2,,,
,,Marketing and Distribution-050900,15,10,24,11,
,,Massage Therapy-126200,1,1,,,
,,Mechanical Drafting-095340,,3,3,6,
,,Nursery Technology-010930,1,3,2,2,
,,Office Management-051440,1,,,,
,,Office Technology/Office Computer Applications-051400,,2,,,
,,Real Estate-051100,1,,,,
,,Small Business and Entrepreneurship-050640,7,21,21,18,
,,Software Applications-070210,1,2,,1,
,,Spanish-110500,3,5,4,2,
,,Technical Theater-100600,2,2,1,2,
,,Transfer Studies-490110,530,516,622,517,
,,"Viticulture, Enology, and Wine Business-010400",1,,1,2,
,Certificate requiring 8 to fewer than 16 semester units      Total,,36,36,46,51,
,,Automotive Technology-094800,4,,1,3,
,,Biotechnology and Biomedical Technology-043000,20,26,30,31,
,,Fitness Trainer-083520,12,10,15,17,
,Noncredit Adult Education High School Diploma                Total,,67,52,58,107,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,67,52,58,107,
,Noncredit award requiring from 288 to < 480 hours            Total,,,,,19,
,,English as a Second Language - Integrated-493087,,,,14,
,,Office Technology/Office Computer Applications-051400,,,,5,
,Noncredit award requiring from 192 to < 288 hours            Total,,3,4,435,30,
,,English as a Second Language - Integrated-493087,3,4,392,23,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,,43,7,
,Noncredit award requiring from 144 to < 192 hours            Total,,3,2,7,116,
,,Career Guidance and Orientation-493010,,,3,43,
,,Elementary Education (Grades 1-8)-493060,,,,23,
,,"Learning Skills, Learning Disabled-493032",3,2,1,6,
,,Office Technology/Office Computer Applications-051400,,,3,,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,,,6,
,,Study Skills-493014,,,,38,
,Noncredit award requiring from 96 to < 144 hours             Total,,,,288,,
,,Career Guidance and Orientation-493010,,,62,,
,,Elementary Education (Grades 1-8)-493060,,,1,,
,,English as a Second Language - Integrated-493087,,,170,,
,,Study Skills-493014,,,55,,
,Noncredit award requiring from 48 to < 96 hours              Total,,17,72,52,107,
,,Educational Aide (Teacher Assistant)-080200,,22,25,33,
,,Office Technology/Office Computer Applications-051400,17,7,12,35,
,,Real Estate-051100,,40,11,30,
,,Software Applications-070210,,3,4,9,
