,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Diving and Underwater Safety-095910,4,11,4,,13,
,,Drafting Technology-095300,2,,1,,3,
,,Film History and Criticism-061210,,3,,,,
,,Film Studies-061200,,,,1,1,
,,Graphic Art and Design-103000,7,,4,9,6,
,,Health Information Technology-122300,6,2,4,6,10,
,,Horticulture-010900,,2,,1,1,
,,Hospitality-130700,1,,,,,
,,Humanities and Social Sciences-490330,4,,,,,
,,Interior Design and Merchandising-130200,6,7,6,4,3,
,,Journalism-060200,,,1,1,,
,,Licensed Vocational Nursing-123020,,27,28,,28,
,,Multimedia-061410,8,,4,2,1,
,,Office Technology/Office Computer Applications-051400,1,,,1,,
,,Real Estate-051100,3,1,4,6,1,
,,Small Business and Entrepreneurship-050640,1,,,,2,
,,Transfer Studies-490110,"1,222",955,893,"1,012","1,119",
,Certificate requiring 16 to fewer than 30 semester units     Total,,151,129,152,174,169,
,,Accounting-050200,1,3,11,18,10,
,,Administration of Justice-210500,6,3,2,5,2,
,,Applied Photography-101200,2,3,,,1,
,,Art-100200,,1,2,6,4,
,,Automotive Technology-094800,,,,,1,
,,Business Management-050600,1,,,,1,
,,Computer Information Systems-070200,,,1,,1,
,,Computer Software Development-070700,,,,2,,
,,Construction Crafts Technology-095200,3,1,1,2,4,
,,Creative Writing-150700,1,1,3,2,2,
,,Culinary Arts-130630,2,4,6,7,1,
,,Dramatic Arts-100700,,,6,3,8,
,,Film Production-061220,,,,3,,
,,Graphic Art and Design-103000,,,,1,,
,,Health Information Coding-122310,31,40,41,33,40,
,,Health Information Technology-122300,15,10,4,4,9,
,,International Business and Trade-050800,7,2,,,,
,,"Liberal Arts and Sciences, General-490100",50,,58,75,79,
,,Liberal Studies-490120,,47,,,,
,,Marketing and Distribution-050900,19,6,8,13,5,
,,"Mathematics, General-170100",,,,,1,
,,Painting and Drawing-100210,,,1,,,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,12,8,7,,,
,,Small Business and Entrepreneurship-050640,,,1,,,
,,Speech Communication-150600,1,,,,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,2,,3,1,3,
,,Dramatic Arts-100700,2,,3,1,3,
,Certificate requiring 6 to < 18 semester units               Total,,7,5,32,25,28,
,,Alcohol and Controlled Substances-210440,1,1,,,1,
,,Child Development/Early Care and Education-130500,6,4,32,25,27,
,Noncredit award requiring from 288 to < 480 hours            Total,,,,,1,10,
,,Office Technology/Office Computer Applications-051400,,,,1,10,
,Noncredit award requiring from 192 to < 288 hours            Total,,120,125,109,63,30,
,,Administrative Medical Assisting-120820,15,18,24,,,
,,English as a Second Language - Integrated-493087,,,,42,10,
,,Leadership Skills Development-493072,105,91,82,,,
,,Medical Assisting-120800,,,,21,18,
,,Office Technology/Office Computer Applications-051400,,,,,2,
,,Word Processing-051470,,16,3,,,
,Noncredit award requiring from 96 to < 144 hours             Total,,28,18,15,5,7,
,,Computer Graphics and Digital Imagery-061460,10,5,1,,7,
