,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,"Business and Commerce, General-050100",3,6,5,6,6,
,,Business Management-050600,4,5,6,4,5,
,,Child Development/Early Care and Education-130500,3,12,5,14,8,
,,Children with Special Needs-130520,,,,,1,
,,Dental Assistant-124010,42,17,22,23,23,
,,Human Services-210400,,,,,6,
,,Industrial and Transportation Security-210530,,,,,3,
,,Marketing and Distribution-050900,3,,3,2,5,
,,Medical Assisting-120800,13,12,5,25,14,
,,Multimedia-061410,,,,1,9,
,,Paramedic-125100,20,33,28,47,34,
,,Police Academy-210550,39,4,20,121,150,
,,Real Estate-051100,4,3,2,2,4,
,,Software Applications-070210,1,,1,,1,
,Certificate requiring 16 to fewer than 30 semester units     Total,,148,170,146,167,221,
,,Administration of Justice-210500,10,6,5,15,13,
,,Computer Graphics and Digital Imagery-061460,1,,4,8,7,
,,Computer Infrastructure and Support-070800,,,,,2,
,,Computer Networking-070810,,2,3,8,4,
,,Computer Programming-070710,2,2,3,1,,
,,Computer Support-070820,,1,2,2,4,
,,Educational Aide (Teacher Assistant)-080200,2,,1,1,,
,,Fire Academy-213350,60,86,67,68,87,
,,Fire Technology-213300,31,29,34,28,51,
,,"Forensics, Evidence, and Investigation-210540",,,,11,13,
,,Hospital and Health Care Administration-120200,,,1,,,
,,Human Services-210400,26,27,17,17,23,
,,Legal and Community Interpretation-214000,15,15,8,7,14,
,,Music-100400,,1,1,,2,
,,World Wide Web Administration-070900,1,1,,1,1,
,Certificate requiring 8 to fewer than 16 semester units      Total,,173,286,240,258,399,
,,Administration of Justice-210500,,25,,,,
,,Business Management-050600,,,,1,6,
,,Computer Infrastructure and Support-070800,,2,3,3,4,
,,Computer Programming-070710,,1,,,,
,,Corrections-210510,95,138,125,108,162,
,,Emergency Medical Services-125000,78,120,109,113,150,
,,Fitness Trainer-083520,,,,1,3,
,,Probation and Parole-210520,,,,31,67,
,,Small Business and Entrepreneurship-050640,,,3,1,7,
,Certificate requiring 6 to < 18 semester units               Total,,62,47,92,48,83,
,,Accounting-050200,17,7,20,17,13,
,,Child Development/Early Care and Education-130500,42,37,72,31,70,
,,Corrections-210510,,1,,,,
,,Emergency Medical Services-125000,2,2,,,,
,,World Wide Web Administration-070900,1,,,,,
,"Other Credit Award, < 6 semester units                       Total",,23,14,6,10,10,
,,Human Services-210400,23,11,6,10,10,
,,Other Public and Protective Services-219900,,3,,,,
,Noncredit award requiring from 192 to < 288 hours            Total,,,,,,5,
,,English as a Second Language - Integrated-493087,,,,,5,
,Noncredit award requiring from 144 to < 192 hours            Total,,,,,,13,
,,English as a Second Language - Integrated-493087,,,,,13,
,Noncredit award requiring from 48 to < 96 hours              Total,,29,20,19,30,11,
,,Computer Programming-070710,,4,1,,,
,,Computer Support-070820,11,,,14,7,
,,Office Technology/Office Computer Applications-051400,,11,,,,
,,Other Business and Management-059900,18,5,16,16,4,
,,Vocational ESL-493100,,,2,,,
,Noncredit award requiring < 48 hours                         Total,,4,3,2,14,2,
,,Banking and Finance-050400,,,1,,,
,,Child Development Administration and Management-130580,,,,5,,
,,Customer Service-051800,4,2,1,6,2,
,,Office Technology/Office Computer Applications-051400,,,,1,,
,,Other Business and Management-059900,,1,,2,,
