,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Painting and Drawing-100210,1,2,,2,,
,,"Psychology, General-200100",2,,,,,
,,Radio and Television-060400,4,3,3,10,7,
,,Registered Nursing-123010,28,28,20,17,10,
,,Sign Language-085000,13,19,14,9,7,
,,"Social Sciences, General-220100",402,413,279,240,265,
,,Speech Communication-150600,,,,,1,
,,Women's Studies-220110,,1,,,,
,Certificate requiring 30 to < 60 semester units              Total,,"1,598","1,700","1,547","1,412","1,543",
,,Accounting-050200,36,23,17,26,19,
,,Alcohol and Controlled Substances-210440,24,26,17,12,39,
,,Applied Photography-101200,3,5,5,6,3,
,,Astronomy-191100,,,1,,1,
,,Automotive Technology-094800,2,,,,,
,,"Biology, General-040100",3,2,5,12,12,
,,Business Management-050600,3,3,4,,2,
,,Carpentry-095210,12,,,,,
,,Child Development Administration and Management-130580,5,4,,1,4,
,,Children with Special Needs-130520,1,2,2,1,,
,,Computer Information Systems-070200,5,6,4,3,6,
,,Computer Networking-070810,1,,,,,
,,Computer Programming-070710,4,1,,,,
,,Computer Software Development-070700,,,4,,,
,,Dental Assistant-124010,12,20,17,15,23,
,,Diesel Technology-094700,3,5,5,7,7,
,,Digital Media-061400,4,6,6,2,3,
,,Drafting Technology-095300,1,,,,,
,,Drywall and Insulation-095280,10,,,,,
,,Electrical-095220,7,101,65,30,23,
,,Fashion Design-130310,,,,,12,
,,Fashion Merchandising-130320,6,3,11,5,5,
,,Fire Academy-213350,82,73,77,78,73,
,,Fire Technology-213300,69,69,71,53,50,
,,Fitness Trainer-083520,1,,,,,
,,General Studies-493000,,,389,426,446,
,,Graphic Art and Design-103000,,,,1,,
,,Infants and Toddlers-130590,1,1,1,,1,
,,Interior Design and Merchandising-130200,,15,14,10,16,
,,Paramedic-125100,54,22,64,32,18,
,,Police Academy-210550,,9,13,10,11,
,,Preshool Age Children-130540,,2,9,2,5,
,,Radio and Television-060400,5,2,3,13,5,
,,Sheet Metal and Structural Metal-095640,16,10,18,10,11,
,,Sign Language Interpreting-085010,11,10,12,10,8,
,,Transfer Studies-490110,"1,206","1,253",692,619,700,
,,Water and Wastewater Technology-095800,11,15,8,15,26,
,,Welding Technology-095650,,12,13,13,14,
,Certificate requiring 16 to fewer than 30 semester units     Total,,311,434,547,793,735,
,,Advertising-050910,8,8,10,5,10,
,,Animation-061440,,5,4,1,5,
,,Archaeology-220220,7,13,3,10,6,
,,Architectural Drafting-095310,3,7,2,9,5,
,,Architecture and Architectural Technology-020100,3,7,4,10,6,
,,Automotive Collision Repair-094900,2,3,1,5,5,
,,Automotive Technology-094800,10,15,7,13,14,
,,"Biology, General-040100",2,2,6,7,7,
,,Business Management-050600,9,97,294,552,499,
,,Carpentry-095210,29,32,31,11,,
,,"Chemistry, General-190500",3,5,1,,,
,,Child Development/Early Care and Education-130500,12,19,19,10,11,
,,Commercial Dance-100810,3,5,1,4,7,
,,Computer Graphics and Digital Imagery-061460,5,6,6,5,4,
,,Computer Information Systems-070200,1,5,5,1,6,
,,Computer Infrastructure and Support-070800,,,,2,3,
,,Computer Networking-070810,5,5,4,6,,
,,Computer Science (Transfer)-070600,29,30,18,22,28,
,,Construction Inspection-095720,1,,,,,
,,Dance-100800,,,,,1,
,,Digital Media-061400,1,,1,,1,
,,Drafting Technology-095300,4,12,7,10,10,
,,Drywall and Insulation-095280,29,22,3,,,
,,Economics-220400,1,,,,,
,,"Electrical, Electronic, and Electro-Mechanical Drafting-095330",4,2,2,2,6,
,,Environmental Control Technology-094600,,,,4,1,
,,Environmental Studies-030200,3,2,5,4,8,
,,Ethnic Studies-220300,4,2,2,,,
,,Fashion Design-130310,5,7,9,11,3,
,,Fashion Merchandising-130320,3,1,,,,
,,Film Studies-061200,4,2,,1,,
,,French-110200,3,3,1,2,4,
,,Geographic Information Systems-220610,9,4,8,12,3,
,,German-110300,14,9,7,6,8,
,,Human Services-210400,2,7,7,5,9,
,,Interior Design and Merchandising-130200,19,,,,,
,,Italian-110400,3,11,2,1,2,
,,Japanese-110800,4,6,8,6,10,
,,Journalism-060200,,2,,,1,
,,Library Technician (Aide)-160200,14,15,20,12,12,
,,Machining and Machine Tools-095630,,,1,1,3,
