,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,"Fine Arts, General-100100",1,,1,1,1,
,,Fitness Trainer-083520,1,,1,3,,
,,Marketing and Distribution-050900,3,3,2,1,1,
,,Music-100400,1,2,1,2,3,
,,Office Technology/Office Computer Applications-051400,1,,,,,
,,Other Business and Management-059900,,,,2,2,
,,Police Academy-210550,,,9,6,5,
,,Small Business and Entrepreneurship-050640,,,,1,,
,Certificate requiring 6 to < 18 semester units               Total,,149,119,71,157,211,
,,Accounting-050200,31,18,8,16,20,
,,Alcohol and Controlled Substances-210440,4,1,2,5,2,
,,Biotechnology and Biomedical Technology-043000,3,2,2,3,11,
,,Business Administration-050500,,1,,1,,
,,Business Management-050600,5,1,1,,,
,,Coaching-083560,1,2,1,1,1,
,,Commercial Music-100500,,,,,1,
,,Computer Programming-070710,8,7,8,5,14,
,,Computer Software Development-070700,10,12,5,22,28,
,,Construction Inspection-095720,6,4,2,4,12,
,,Cosmetology and Barbering-300700,,,,,15,
,,Digital Media-061400,2,1,,4,3,
,,Drafting Technology-095300,1,,2,,1,
,,Electronics and Electric Technology-093400,4,3,1,1,,
,,English as a Second Language - Integrated-493087,,,,12,6,
,,Fitness Trainer-083520,,7,1,14,23,
,,Marketing and Distribution-050900,,,,,2,
,,Office Technology/Office Computer Applications-051400,1,2,,,,
,,Physical Education-083500,17,7,9,18,19,
,,"Psychology, General-200100",10,4,3,12,7,
,,Radio and Television-060400,2,3,1,,2,
,,Real Estate-051100,20,10,9,26,33,
,,Retail Store Operations and Management-050650,18,21,7,9,7,
,,Small Business and Entrepreneurship-050640,1,3,,1,2,
,,Spanish-110500,1,1,,,,
,,Speech Communication-150600,4,9,9,3,2,
