,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Riverside Total,,,"5,317","5,389","4,950","4,829","5,227",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,513,551,520,534,569,
,,Administration of Justice-210500,110,94,78,92,92,
,,"Biology, General-040100",19,21,16,26,24,
,,Business Administration-050500,266,322,300,283,282,
,,"Chemistry, General-190500",2,6,7,7,11,
,,Child Development/Early Care and Education-130500,26,29,34,29,27,
,,Computer Science (Transfer)-070600,20,22,39,25,41,
,,Geology-191400,1,3,1,,1,
,,"Mathematics, General-170100",49,41,34,39,44,
,,"Nutrition, Foods, and Culinary Arts-130600",11,11,2,6,9,
,,"Physics, General-190200",9,2,7,11,17,
,,Television (including combined TV/Film/Video)-060420,,,2,16,21,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,685,630,622,652,682,
,,Anthropology-220200,11,11,11,11,14,
,,Art-100200,33,39,41,50,44,
,,Child and Adolescent Development-130510,91,68,68,78,56,
,,Dramatic Arts-100700,18,12,12,12,17,
,,Economics-220400,9,10,8,10,7,
,,English-150100,50,28,35,29,45,
,,"Fine Arts, General-100100",14,3,5,14,16,
,,"Gay, Lesbian, Bisexual and Transgender Studies-220140",,,,,1,
,,Geography-220600,3,3,2,4,1,
,,History-220500,43,41,42,36,36,
,,Journalism-060200,4,9,4,13,10,
,,Kinesiology-127000,16,25,41,21,43,
,,"Law, General-140100",,,3,1,6,
,,Liberal Studies-490120,2,4,11,20,21,
,,Music-100400,14,15,16,19,18,
,,Philosophy-150900,7,4,2,4,2,
,,Political Science-220700,28,23,22,31,23,
,,"Psychology, General-200100",176,194,159,171,187,
,,Social Justice Studies-220130,,,,1,,
,,Social Justice: African American Studies-220180,,,,,1,
,,Social Justice: Asian American Studies-220190,,,,,1,
,,Social Justice: Chicano Studies-220160,,,,,1,
,,Social Justice: Ethnic Studies-220150,,,,,3,
,,Social Justice: Gender Studies-220170,,,,1,,
,,Social Justice: Native American Studies-220191,,,,,1,
,,Sociology-220800,89,82,84,64,71,
,,Spanish-110500,16,17,14,18,8,
,,Speech Communication-150600,61,42,42,44,49,
,Associate of Science (A.S.) degree                           Total,,"1,017","1,032",954,867,"1,151",
,,Accounting-050200,9,10,16,17,20,
,,Administration of Justice-210500,8,13,14,11,9,
,,Applied Photography-101200,7,8,6,12,14,
,,Athletic Training and Sports Medicine-122800,6,2,3,1,2,
,,Automotive Collision Repair-094900,1,3,4,4,1,
,,Automotive Technology-094800,15,16,16,26,37,
,,Biological and Physical Sciences (and Mathematics)-490200,556,540,493,359,520,
,,"Business and Commerce, General-050100",10,18,15,23,20,
,,Business Management-050600,29,43,34,34,32,
,,Child Development/Early Care and Education-130500,31,28,18,20,17,
,,Children with Special Needs-130520,5,,1,,1,
,,Coaching-083560,5,2,5,,3,
,,Computer Infrastructure and Support-070800,9,9,19,29,50,
,,Computer Programming-070710,5,13,10,14,11,
,,Cosmetology and Barbering-300700,14,17,17,13,15,
,,Culinary Arts-130630,15,15,21,14,20,
,,Digital Media-061400,8,19,16,14,23,
,,Educational Aide (Teacher Assistant)-080200,3,4,,2,4,
,,Environmental Control Technology-094600,10,7,5,6,19,
,,Fitness Trainer-083520,3,1,1,2,4,
,,"Health Occupations, General-120100",,,,,10,
,,International Business and Trade-050800,,,2,,,
,,Licensed Vocational Nursing-123020,30,43,30,45,55,
,,Marketing and Distribution-050900,8,7,7,5,6,
,,Office Management-051440,10,6,4,7,5,
,,Paralegal-140200,22,17,12,15,22,
,,Printing and Lithography-093600,,,,,6,
,,Real Estate-051100,8,7,5,7,6,
,,Registered Nursing-123010,166,153,166,171,188,
,,Sign Language Interpreting-085010,10,6,2,2,7,
,,Small Business and Entrepreneurship-050640,3,8,2,5,9,
,,Television (including combined TV/Film/Video)-060420,8,12,9,3,11,
,,Upholstery Repair - Automotive-094910,,1,1,,,
,,Welding Technology-095650,3,4,,6,4,
,Associate of Arts (A.A.) degree                              Total,,"2,041","2,043","1,473","1,158",938,
,,American Studies-220120,4,9,4,4,2,
,,Dance-100800,,1,1,3,,
