,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Cosumnes River Total,,,"1,575","1,763","1,962","1,924","2,266",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,293,288,306,219,290,
,,"Agriculture Business, Sales and Service-011200",4,2,1,2,2,
,,"Biology, General-040100",16,13,19,21,23,
,,Business Administration-050500,220,216,230,152,187,
,,Child Development/Early Care and Education-130500,21,27,18,10,20,
,,"Mathematics, General-170100",16,16,16,12,25,
,,"Nutrition, Foods, and Culinary Arts-130600",1,2,2,1,5,
,,"Physics, General-190200",3,4,5,10,11,
,,Television (including combined TV/Film/Video)-060420,12,8,15,11,17,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,274,303,267,287,273,
,,Anthropology-220200,6,5,4,8,9,
,,Art-100200,11,9,8,14,13,
,,Dramatic Arts-100700,6,,,3,1,
,,Economics-220400,7,11,17,21,24,
,,English-150100,20,16,17,16,11,
,,"Fine Arts, General-100100",1,3,1,4,3,
,,Geography-220600,4,4,4,2,5,
,,History-220500,20,17,8,15,12,
,,Journalism-060200,7,5,6,1,3,
,,Kinesiology-127000,19,19,22,23,14,
,,Liberal Studies-490120,6,13,11,7,5,
,,Music-100400,1,1,3,2,1,
,,Political Science-220700,,4,8,6,9,
,,"Psychology, General-200100",76,94,90,97,100,
,,Social Justice: Ethnic Studies-220150,,1,1,1,,
,,Social Justice: Gender Studies-220170,,2,2,,,
,,Sociology-220800,52,60,41,32,43,
,,Spanish-110500,2,4,3,3,1,
,,Speech Communication-150600,36,35,21,32,19,
,Associate of Science (A.S.) degree                           Total,,344,495,576,662,747,
,,"Agriculture Business, Sales and Service-011200",,2,1,,3,
,,"Agriculture Technology and Sciences, General-010100",,,,1,,
,,Anthropology-220200,2,,2,1,3,
,,Architecture and Architectural Technology-020100,11,14,12,20,10,
,,Automotive Technology-094800,,5,15,9,16,
,,Biological and Physical Sciences (and Mathematics)-490200,145,216,235,239,296,
,,"Biology, General-040100",31,64,102,116,129,
,,Business Administration-050500,,,,61,35,
,,"Chemistry, General-190500",1,1,,1,1,
,,Civil and Construction Management Technology-095700,7,7,15,14,4,
,,Computer Information Systems-070200,9,9,10,12,21,
,,Computer Infrastructure and Support-070800,5,3,7,18,12,
,,Computer Networking-070810,6,2,5,2,,
,,Computer Science (Transfer)-070600,19,31,34,25,30,
,,Construction Crafts Technology-095200,,1,1,2,4,
,,Construction Inspection-095720,,2,4,3,2,
,,Diagnostic Medical Sonography-122700,,8,3,2,2,
,,"Engineering, General (requires Calculus) (Transfer)-090100",6,13,5,8,6,
,,Environmental Studies-030200,3,2,1,1,,
,,Equine Science-010240,2,1,,3,2,
,,Fire Technology-213300,5,8,1,7,10,
,,Geography-220600,2,2,1,1,1,
,,Geology-191400,1,,,,,
,,Health Education-083700,3,1,,,,
,,Health Information Technology-122300,30,9,29,17,21,
,,"Health Occupations, General-120100",3,4,9,18,35,
,,"Information Technology, General-070100",16,21,25,17,25,
,,Landscape Design and Maintenance-010910,,1,2,1,1,
,,"Mathematics, General-170100",13,15,9,10,15,
,,Medical Assisting-120800,15,12,16,18,18,
,,"Nutrition, Foods, and Culinary Arts-130600",,2,4,7,,
,,Pharmacy Technology-122100,3,12,7,10,5,
,,"Physics, General-190200",3,4,2,6,3,
,,Veterinary Technician (Licensed)-010210,1,15,9,,25,
,,Website Design and Development-061430,2,7,7,5,5,
,,Welding Technology-095650,,1,3,7,7,
,Associate of Arts (A.A.) degree                              Total,,394,343,337,346,423,
,,Accounting-050200,36,33,38,29,18,
,,Advertising-050910,2,,1,,,
,,Alcohol and Controlled Substances-210440,3,2,1,1,,
,,American Studies-220120,,,,,2,
,,Applied Photography-101200,4,3,8,2,4,
,,Art-100200,3,6,6,17,19,
,,Biological and Physical Sciences (and Mathematics)-490200,33,,,,,
,,Broadcast Journalism-060430,1,1,,,,
,,Business Administration-050500,5,3,,,,
,,"Business and Commerce, General-050100",30,21,36,32,45,
,,Business Management-050600,2,5,3,8,6,
