,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Fullerton Total,,,"5,712","5,455","4,984","4,959","5,423",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,449,434,397,380,400,
,,Administration of Justice-210500,122,88,79,75,87,
,,"Biology, General-040100",8,19,14,16,8,
,,Business Administration-050500,231,247,227,203,206,
,,"Chemistry, General-190500",6,5,7,2,1,
,,Child Development/Early Care and Education-130500,13,9,11,19,18,
,,Geology-191400,1,2,,1,1,
,,"Mathematics, General-170100",15,12,8,11,21,
,,"Nutrition, Foods, and Culinary Arts-130600",4,8,4,4,7,
,,"Physics, General-190200",11,7,8,13,16,
,,Television (including combined TV/Film/Video)-060420,38,37,39,36,35,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,893,803,702,648,680,
,,Administration of Justice-210500,4,1,,,,
,,Anthropology-220200,15,17,2,13,8,
,,Art-100200,44,67,39,43,54,
,,Child and Adolescent Development-130510,107,110,99,76,78,
,,Dramatic Arts-100700,12,12,13,10,17,
,,Economics-220400,12,25,14,29,27,
,,English-150100,54,46,42,44,31,
,,"Fine Arts, General-100100",10,,10,11,10,
,,Geography-220600,8,7,2,4,7,
,,History-220500,38,32,36,33,21,
,,Human Services-210400,,,,,2,
,,Journalism-060200,34,15,15,14,11,
,,Kinesiology-127000,33,29,33,24,24,
,,"Law, General-140100",1,6,6,6,7,
,,Liberal Studies-490120,4,3,4,7,6,
,,Music-100400,18,17,12,11,19,
,,Philosophy-150900,4,5,5,7,7,
,,Political Science-220700,44,31,34,19,31,
,,"Psychology, General-200100",161,173,150,166,162,
,,Social Justice Studies-220130,1,5,4,2,1,
,,Social Justice: Ethnic Studies-220150,,,1,2,3,
,,Social Justice: Gender Studies-220170,,,,,1,
,,Sociology-220800,189,108,106,64,75,
,,Spanish-110500,4,9,9,5,5,
,,Speech Communication-150600,96,85,66,58,73,
,Associate of Science (A.S.) degree                           Total,,259,317,355,421,432,
,,Accounting-050200,12,14,13,14,18,
,,Administration of Justice-210500,26,30,30,30,33,
,,Aeronautical and Aviation Technology-095000,,,,,1,
,,Architectural Drafting-095310,,5,11,11,24,
,,Architecture and Architectural Technology-020100,4,,,,,
,,Astronomy-191100,,,,,1,
,,Automotive Technology-094800,12,11,8,8,8,
,,"Biology, General-040100",,,3,7,2,
,,Biotechnology and Biomedical Technology-043000,8,3,4,6,4,
,,Business Management-050600,8,18,17,27,28,
,,"Chemistry, General-190500",21,18,19,10,17,
,,Civil and Construction Management Technology-095700,7,14,17,27,23,
,,Computer Information Systems-070200,14,28,29,33,33,
,,Computer Programming-070710,24,28,32,,,
,,Computer Science (Transfer)-070600,,,,25,26,
,,Construction Crafts Technology-095200,4,2,2,12,10,
,,Construction Inspection-095720,4,4,4,9,4,
,,Cosmetology and Barbering-300700,13,15,12,20,23,
,,Drafting Technology-095300,3,4,4,7,7,
,,Earth Science-193000,1,,1,,2,
,,"Engineering, General (requires Calculus) (Transfer)-090100",13,16,21,22,20,
,,Environmental Science-030100,3,1,2,2,5,
,,Geology-191400,2,4,1,1,1,
,,Horticulture-010900,1,1,,6,4,
,,Interior Design and Merchandising-130200,2,5,7,7,5,
,,International Business and Trade-050800,2,2,3,3,1,
,,Landscape Design and Maintenance-010910,2,4,4,6,4,
,,Manufacturing and Industrial Technology-095600,9,11,8,7,11,
,,Marketing and Distribution-050900,3,3,5,,4,
,,"Mathematics, General-170100",26,37,27,30,32,
,,MicroBiology-040300,1,1,4,1,1,
,,Nursing-123000,,,36,49,50,
,,Paralegal-140200,28,31,20,23,17,
,,Physical Education-083500,1,,1,2,,
,,Printing and Lithography-093600,,1,,2,,
,,Real Estate-051100,1,2,8,9,11,
,,Small Business and Entrepreneurship-050640,4,4,2,5,2,
,Associate of Arts (A.A.) degree                              Total,,"1,861","1,943","1,647","1,568","1,668",
