,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,"Engineering Technology, General (requires Trigonometry)-092400",2,5,4,3,
,,Environmental Control Technology-094600,14,9,6,20,
,,Fashion Merchandising-130320,1,,,,
,,Fire Academy-213350,55,62,54,48,
,,Fire Technology-213300,12,6,2,,
,,Floriculture / Floristry-010920,5,1,2,1,
,,Health Information Coding-122310,5,6,6,4,
,,Landscape Design and Maintenance-010910,1,1,,,
,,Legal Office Technology-051410,,,4,3,
,,Manufacturing and Industrial Technology-095600,28,14,19,19,
,,Marketing and Distribution-050900,1,5,7,2,
,,Medical Office Technology-051420,15,14,13,14,
,,Multimedia-061410,2,1,,4,
,,Office Technology/Office Computer Applications-051400,3,1,3,6,
,,Real Estate-051100,2,,1,,
,,Retail Store Operations and Management-050650,,,,3,
,,Television (including combined TV/Film/Video)-060420,1,3,4,3,
,Certificate requiring 8 to fewer than 16 semester units      Total,,,1,3,,
,,Ceramics-100230,,1,3,,
,Noncredit award requiring from 480 to < 960 hours            Total,,,,,1,
,,Career Guidance and Orientation-493010,,,,1,
,Noncredit award requiring from 192 to < 288 hours            Total,,,,,27,
,,English as a Second Language - Integrated-493087,,,,27,
,Noncredit award requiring from 144 to < 192 hours            Total,,,,,2,
,,Job Seeking/Changing Skills-493012,,,,2,
