,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,Noncredit award requiring from 96 to < 144 hours             Total,,25,45,42,54,
,,English as a Second Language - Integrated-493087,4,5,6,5,
,,English as a Second Language - Listening and Speaking-493086,7,21,4,11,
,,"Health Occupations, General-120100",,,6,5,
,,Legal and Community Interpretation-214000,14,17,13,18,
,,Real Estate-051100,,,4,12,
,,Small Business and Entrepreneurship-050640,,,,1,
,,Surveying-095730,,2,9,2,
,Noncredit award requiring from 48 to < 96 hours              Total,,47,47,54,63,
,,Animation-061440,,1,,,
,,Business Management-050600,30,23,29,15,
,,Commercial Art-101300,,3,,1,
,,Culinary Arts-130630,,4,1,2,
,,English as a Second Language - Listening and Speaking-493086,,,2,19,
,,Other Architecture and Environmental Design-029900,,,,1,
,,Other Business and Management-059900,,,6,6,
,,Other Fine and Applied Arts-109900,,,1,,
,,Other Health Occupations-129900,,,2,5,
,,Software Applications-070210,11,13,8,9,
,,Website Design and Development-061430,6,3,5,5,
,Noncredit award requiring < 48 hours                         Total,,570,486,583,658,
,,Applied Photography-101200,11,25,4,7,
,,Business Management-050600,66,34,47,24,
,,Career Guidance and Orientation-493010,5,27,4,21,
,,Educational Aide (Teacher Assistant)-080200,16,22,19,14,
,,English-150100,33,19,2,4,
,,Fashion Production-130330,16,121,100,120,
,,Fitness Trainer-083520,4,,,4,
,,Horticulture-010900,7,14,,,
,,Human Services-210400,20,6,122,29,
,,Mathematics Skills-170200,19,11,45,3,
,,Other Business and Management-059900,163,203,228,414,
,,Other Education-089900,,1,1,,
,,"Painting, Decorating, and Flooring-095270",,,5,4,
,,Paralegal-140200,,,2,11,
,,Public Relations-060600,,,2,2,
,,Software Applications-070210,,1,1,1,
,,Study Skills-493014,210,2,1,,
