,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Industrial Systems Technology and Maintenance-094500,1,1,,1,
,,"Information Technology, General-070100",1,1,2,5,
,,Licensed Vocational Nursing-123020,2,26,25,36,
,,Logistics and Materials Transportation-051000,,1,19,1,
,,Manufacturing and Industrial Technology-095600,,2,,,
,,Multimedia-061410,5,20,14,12,
,,Office Technology/Office Computer Applications-051400,3,3,3,3,
,,Paramedic-125100,22,28,19,20,
,,Plant Science-010300,1,2,,,
,,"Plumbing, Pipefitting and Steamfitting-095230",28,,,,
,,Retail Store Operations and Management-050650,1,,,,
,,Sheet Metal and Structural Metal-095640,16,15,6,2,
,,Sign Language Interpreting-085010,4,7,4,9,
,,Transfer Studies-490110,"2,045","1,630","1,822","1,650",
,,Welding Technology-095650,3,6,3,2,
,Certificate requiring 16 to fewer than 30 semester units     Total,,206,247,126,136,
,,Automotive Technology-094800,66,78,23,46,
,,Community Health Care Worker-126100,,,,1,
,,Educational Aide (Teacher Assistant)-080200,9,10,6,15,
,,Electro-Mechanical Technology-093500,24,56,45,21,
,,"Health Occupations, General-120100",,,,1,
,,Speech Communication-150600,107,102,48,46,
,,Website Design and Development-061430,,1,4,6,
,Noncredit award requiring from 144 to < 192 hours            Total,,169,3,2,2,
,,Educational Technology-086000,168,1,,1,
,,English as a Second Language - Integrated-493087,,2,,1,
,,English as a Second Language - Writing-493084,1,,2,,
,Noncredit award requiring from 96 to < 144 hours             Total,,,1,2,8,
,,Automotive Technology-094800,,,1,8,
,,English as a Second Language - Integrated-493087,,,1,,
,,English as a Second Language - Reading-493085,,1,,,
,Noncredit award requiring from 48 to < 96 hours              Total,,28,55,56,33,
,,Administration of Justice-210500,7,,,,
,,Child Development/Early Care and Education-130500,,38,16,16,
,,English as a Second Language - Listening and Speaking-493086,1,3,2,,
,,Horticulture-010900,,,,1,
,,Marketing and Distribution-050900,1,,,1,
,,Small Business and Entrepreneurship-050640,19,13,37,15,
,,Welding Technology-095650,,1,1,,
,Noncredit award requiring < 48 hours                         Total,,92,87,96,72,
,,Academic Guidance-493013,,,1,,
,,Accounting-050200,,6,3,9,
,,Business Administration-050500,8,22,37,34,
,,Community Health Care Worker-126100,23,1,2,,
,,Customer Service-051800,27,15,7,2,
,,Educational Technology-086000,22,,,,
,,English as a Second Language - Integrated-493087,,,,1,
,,Industrial and Occupational Safety and Health-095670,,9,9,4,
,,Leadership Skills Development-493072,,14,,4,
,,Logistics and Materials Transportation-051000,,,,4,
,,Office Technology/Office Computer Applications-051400,,6,23,2,
,,Other Education-089900,,1,1,,
,,Sales and Salesmanship-050940,10,1,1,,
,,Small Business and Entrepreneurship-050640,2,12,12,12,
