,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Diablo Valley Total,,,"3,550","3,871","3,577","3,431","3,369",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,464,465,454,351,404,
,,Administration of Justice-210500,74,50,38,31,40,
,,"Biology, General-040100",39,28,23,21,40,
,,Business Administration-050500,191,248,253,181,188,
,,Child Development/Early Care and Education-130500,9,10,16,14,15,
,,Environmental Science-030100,,,3,5,5,
,,Geology-191400,,,,1,,
,,"Health Occupations, General-120100",18,17,13,11,12,
,,Hospitality-130700,1,1,3,1,3,
,,"Mathematics, General-170100",62,52,50,43,39,
,,"Nutrition, Foods, and Culinary Arts-130600",16,9,3,6,7,
,,"Physics, General-190200",22,17,19,11,18,
,,Plant Science-010300,1,1,2,1,1,
,,Television (including combined TV/Film/Video)-060420,31,32,31,25,36,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,690,671,543,491,558,
,,Anthropology-220200,15,17,14,13,12,
,,Art-100200,11,16,13,9,9,
,,Dramatic Arts-100700,7,9,14,9,16,
,,Economics-220400,98,131,94,90,87,
,,English-150100,30,21,28,21,20,
,,"Fine Arts, General-100100",6,9,8,4,3,
,,"Gay, Lesbian, Bisexual and Transgender Studies-220140",,,,,2,
,,Geography-220600,2,4,1,2,1,
,,History-220500,18,27,25,10,26,
,,Journalism-060200,5,10,4,8,6,
,,Kinesiology-127000,16,19,10,17,29,
,,Liberal Studies-490120,4,5,3,1,3,
,,Music-100400,6,8,5,3,7,
,,Philosophy-150900,6,3,4,5,4,
,,Political Science-220700,47,53,46,25,41,
,,"Psychology, General-200100",232,219,173,162,184,
,,Social Justice Studies-220130,14,4,9,6,10,
,,Sociology-220800,71,45,40,32,31,
,,Spanish-110500,1,1,1,1,,
,,Speech Communication-150600,101,70,51,73,67,
,Associate of Science (A.S.) degree                           Total,,950,"1,057",968,875,859,
,,Accounting-050200,14,22,19,18,14,
,,Administration of Justice-210500,20,26,18,9,11,
,,Alcohol and Controlled Substances-210440,7,15,17,15,11,
,,Architecture and Architectural Technology-020100,22,15,14,27,16,
,,Athletic Training and Sports Medicine-122800,,3,2,2,3,
,,Biological and Physical Sciences (and Mathematics)-490200,174,201,184,168,173,
,,"Biology, General-040100",77,91,64,60,63,
,,"Business and Commerce, General-050100",44,63,61,48,59,
,,Child Development/Early Care and Education-130500,11,24,22,16,18,
,,Civil and Construction Management Technology-095700,5,3,5,6,9,
,,Civil Drafting-095320,1,1,2,1,2,
,,Coaching-083560,1,1,1,,,
,,Computer Information Systems-070200,1,2,2,7,1,
,,Computer Networking-070810,1,,1,,,
,,Computer Programming-070710,132,142,159,153,119,
,,Construction Crafts Technology-095200,,1,1,1,,
,,Construction Inspection-095720,4,1,1,1,,
,,Culinary Arts-130630,4,8,6,7,18,
,,Dental Assistant-124010,5,12,13,11,9,
,,Dental Hygienist-124020,18,18,18,19,20,
,,Drafting Technology-095300,2,1,5,7,1,
,,Electronics and Electric Technology-093400,3,8,6,12,9,
,,Energy Systems Technology-094610,1,,,,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",20,19,13,8,17,
,,Environmental Science-030100,5,8,5,3,2,
,,Fitness Trainer-083520,,1,,,1,
,,Geographic Information Systems-220610,3,4,2,3,6,
,,Geography-220600,,2,,,2,
,,Geology-191400,,1,1,1,1,
,,Health Education-083700,70,52,45,,,
,,"Health Occupations, General-120100",,,,18,11,
,,"Health Professions, Transfer Core Curriculum-126000",254,275,227,205,206,
,,Hospitality-130700,4,2,2,,,
,,Industrial Systems Technology and Maintenance-094500,,,1,1,2,
,,"Information Technology, General-070100",16,8,23,21,20,
,,Library Technician (Aide)-160200,6,5,5,1,8,
,,Manufacturing and Industrial Technology-095600,3,6,1,2,2,
,,Other Media and Communications-069900,1,,,,,
,,"Plumbing, Pipefitting and Steamfitting-095230",,,,,1,
,,Recreation Assistant-083610,,,,1,1,
,,Restaurant and Food Services and Management-130710,,,,4,1,
,,Software Applications-070210,21,16,22,19,22,
,Associate of Arts (A.A.) degree                              Total,,122,127,121,120,129,
,,Animation-061440,3,8,8,5,12,
,,Art-100200,16,18,12,16,11,
,,Business Administration-050500,1,,,,,
,,Chinese-110700,3,5,2,3,2,
,,Commercial Music-100500,12,11,7,18,10,
,,Dance-100800,,3,2,,2,
,,Digital Media-061400,,3,4,1,6,
,,Dramatic Arts-100700,,,7,11,21,
,,English-150100,14,10,9,5,5,
,,French-110200,5,3,1,1,3,
,,Geography-220600,,,1,,,
,,German-110300,1,3,1,1,3,
,,Graphic Art and Design-103000,9,7,21,20,14,
,,Humanities-490300,3,6,4,2,2,
,,Italian-110400,3,2,1,,,
,,Japanese-110800,18,22,16,8,9,
,,"Mathematics, General-170100",1,,,,,
,,Multimedia-061410,6,4,7,6,4,
,,Music-100400,1,4,1,6,2,
,,Philosophy-150900,3,1,1,1,2,
,,Photography-101100,2,2,1,1,4,
,,Political Science-220700,1,,,,,
,,Radio and Television-060400,2,2,1,2,1,
,,Russian-110600,,1,,,,
,,Spanish-110500,6,3,7,2,3,
,,Special Education-080900,3,5,1,6,2,
,,Technical Theater-100600,9,4,3,2,7,
,,Website Design and Development-061430,,,3,3,4,
,Certificate requiring 60+ semester units                     Total,,,,3,,3,
,,Child Development Administration and Management-130580,,,,,3,
,,Dramatic Arts-100700,,,1,,,
,,"Psychology, General-200100",,,2,,,
,Certificate requiring 30 to < 60 semester units              Total,,608,662,634,698,445,
,,Administration of Justice-210500,1,,,,,
,,Alcohol and Controlled Substances-210440,3,13,11,5,6,
,,Animation-061440,1,1,3,1,,
,,Child Development Administration and Management-130580,3,2,8,5,6,
,,Child Development/Early Care and Education-130500,12,21,23,28,23,
,,Civil and Construction Management Technology-095700,,2,3,4,1,
,,Commercial Music-100500,,,,2,1,
,,Computer Networking-070810,1,,,,,
,,Construction Inspection-095720,4,2,2,1,,
,,Culinary Arts-130630,6,8,3,9,22,
,,Dental Assistant-124010,6,24,17,19,19,
,,Electronic Game Design-061420,1,2,1,1,2,
,,Fitness Trainer-083520,2,2,5,1,2,
,,Geographic Information Systems-220610,6,5,1,1,,
,,Graphic Art and Design-103000,,4,8,8,,
,,Manufacturing and Industrial Technology-095600,,,,,1,
,,Multimedia-061410,4,9,18,16,8,
,,Photography-101100,2,1,3,2,3,
,,Radio and Television-060400,1,2,2,1,1,
,,Restaurant and Food Services and Management-130710,3,3,1,1,1,
,,Special Education-080900,1,2,3,1,,
,,Transfer Studies-490110,551,559,520,590,348,
,,Website Design and Development-061430,,,2,2,1,
,Certificate requiring 16 to fewer than 30 semester units     Total,,272,387,356,433,405,
,,Accounting-050200,6,12,5,10,4,
,,Administration of Justice-210500,8,8,12,4,5,
,,Alcohol and Controlled Substances-210440,6,7,8,6,6,
,,Animation-061440,,,,,3,
,,Architecture and Architectural Technology-020100,10,5,11,9,9,
,,Business Administration-050500,39,65,36,35,39,
,,"Business and Commerce, General-050100",5,10,7,7,6,
,,Business Management-050600,2,7,4,8,6,
,,Ceramics-100230,,1,1,2,1,
,,"Chemistry, General-190500",36,49,72,56,54,
,,Child Development/Early Care and Education-130500,3,17,21,31,17,
,,Civil Drafting-095320,,1,2,1,1,
,,Coaching-083560,,,,1,,
,,Commercial Music-100500,3,4,7,7,5,
,,Community Health Care Worker-126100,,,,5,11,
,,Computer Information Systems-070200,14,7,9,60,21,
,,Construction Crafts Technology-095200,1,8,2,,4,
,,Drafting Technology-095300,1,3,,,,
,,Dramatic Arts-100700,,,3,7,14,
,,Electronics and Electric Technology-093400,1,7,11,6,10,
,,Energy Systems Technology-094610,1,,,,,
,,Film Production-061220,,2,3,8,7,
,,Fitness Trainer-083520,,,,,1,
,,Geographic Information Systems-220610,3,3,6,2,3,
,,Graphic Art and Design-103000,,,,,3,
,,Health Education-083700,3,3,2,9,7,
,,"Health Professions, Transfer Core Curriculum-126000",65,105,67,83,72,
,,Horticulture-010900,1,,1,7,,
,,Industrial Systems Technology and Maintenance-094500,,,,,1,
,,Infants and Toddlers-130590,,,,1,3,
,,"Information Technology, General-070100",11,5,12,16,13,
,,Landscape Design and Maintenance-010910,1,,,,,
,,Library Technician (Aide)-160200,12,10,6,5,8,
,,Manufacturing and Industrial Technology-095600,1,,1,,10,
,,Marketing and Distribution-050900,7,15,16,14,25,
,,Nursery Technology-010930,1,1,2,2,1,
,,Other Media and Communications-069900,,,,,2,
,,Real Estate-051100,1,4,,8,2,
,,Small Business and Entrepreneurship-050640,4,9,2,13,5,
,,Software Applications-070210,15,14,25,7,22,
,,Special Education-080900,,3,2,1,1,
,,Technical Theater-100600,11,2,,2,2,
,,Website Design and Development-061430,,,,,1,
,Certificate requiring 8 to fewer than 16 semester units      Total,,349,365,371,359,377,
,,Accounting-050200,23,19,25,26,21,
,,Art-100200,,,,,1,
,,"Business and Commerce, General-050100",15,15,9,10,8,
,,Child Development/Early Care and Education-130500,124,99,103,91,145,
,,Chinese-110700,4,4,4,1,3,
,,Computer Programming-070710,118,164,155,171,137,
,,Fitness Trainer-083520,,,2,1,9,
,,French-110200,1,1,3,2,2,
,,German-110300,2,2,,3,2,
,,"Health Professions, Transfer Core Curriculum-126000",2,6,7,8,3,
,,Italian-110400,2,,,,,
,,Japanese-110800,25,18,13,7,7,
,,Marketing and Distribution-050900,7,9,16,9,6,
,,Multimedia-061410,,,,,4,
,,Nursery Technology-010930,,,,,1,
,,Painting and Drawing-100210,,2,5,4,4,
,,Philosophy-150900,1,,2,1,,
,,Photography-101100,,,,,3,
,,Russian-110600,,1,,1,1,
,,Software Applications-070210,11,13,16,13,10,
,,Spanish-110500,7,5,6,4,4,
,,Special Education-080900,,,,,1,
,,Speech Communication-150600,7,7,5,7,5,
,Certificate requiring 6 to < 18 semester units               Total,,95,136,127,103,188,
,,Administration of Justice-210500,30,24,24,20,14,
,,Business Management-050600,1,7,4,3,4,
,,Child Development/Early Care and Education-130500,,,2,1,,
,,Civil Drafting-095320,,,2,,,
,,Computer Programming-070710,,,2,1,1,
,,Construction Crafts Technology-095200,2,5,,,3,
,,Corrections-210510,9,11,9,6,1,
,,Culinary Arts-130630,1,5,8,10,10,
,,Drafting Technology-095300,2,2,2,2,4,
,,Electronics and Electric Technology-093400,4,8,1,,2,
,,English as a Second Language - Integrated-493087,1,4,,2,,
,,"Forensics, Evidence, and Investigation-210540",8,6,14,6,12,
,,"Gay, Lesbian, Bisexual and Transgender Studies-220140",,,,,5,
,,Geographic Information Systems-220610,9,5,6,,7,
,,Horticulture-010900,,2,4,6,,
,,Landscape Design and Maintenance-010910,1,,1,,,
,,Manufacturing and Industrial Technology-095600,,,3,3,79,
,,Multimedia-061410,2,1,1,,4,
,,Nursery Technology-010930,,3,4,1,2,
,,Office Technology/Office Computer Applications-051400,,1,,,,
,,"Plumbing, Pipefitting and Steamfitting-095230",,,,2,,
,,Probation and Parole-210520,7,10,8,3,1,
,,Radio and Television-060400,4,6,1,2,5,
,,Real Estate-051100,6,8,10,19,15,
,,Small Business and Entrepreneurship-050640,1,9,4,9,3,
,,Social Justice Studies-220130,,2,,1,,
