,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Sequoias Total,,,"3,025","2,777","2,731","3,382","4,891",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,336,322,298,343,406,
,,Administration of Justice-210500,108,101,74,94,90,
,,"Agriculture Business, Sales and Service-011200",13,18,9,10,15,
,,Animal Science-010200,23,21,14,16,28,
,,"Biology, General-040100",7,9,20,15,13,
,,Business Administration-050500,103,120,96,120,151,
,,"Chemistry, General-190500",5,3,5,3,3,
,,Child Development/Early Care and Education-130500,31,20,25,20,35,
,,Computer Science (Transfer)-070600,5,7,13,20,14,
,,Geology-191400,1,,,,,
,,"Mathematics, General-170100",20,11,18,20,26,
,,"Nutrition, Foods, and Culinary Arts-130600",1,1,3,2,2,
,,"Physics, General-190200",12,5,9,14,19,
,,Plant Science-010300,7,6,12,9,10,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,565,558,487,585,652,
,,Anthropology-220200,13,4,9,15,5,
,,Art-100200,22,25,25,40,46,
,,Child and Adolescent Development-130510,50,51,48,51,56,
,,Dramatic Arts-100700,5,7,8,10,13,
,,Economics-220400,3,4,6,4,8,
,,English-150100,28,36,21,29,22,
,,"Fine Arts, General-100100",7,7,5,8,4,
,,History-220500,24,26,25,31,27,
,,Journalism-060200,4,7,5,4,9,
,,Kinesiology-127000,34,28,29,36,30,
,,"Law, General-140100",7,3,7,9,14,
,,Liberal Studies-490120,88,99,80,76,98,
,,Music-100400,13,8,3,11,19,
,,Philosophy-150900,4,7,6,5,4,
,,Political Science-220700,5,6,8,12,10,
,,"Psychology, General-200100",118,129,123,133,170,
,,Social Justice: Chicano Studies-220160,,3,2,1,8,
,,Sociology-220800,93,78,56,81,71,
,,Spanish-110500,18,6,9,8,12,
,,Speech Communication-150600,29,24,12,21,26,
,Associate of Science (A.S.) degree                           Total,,313,295,324,386,543,
,,Accounting-050200,10,15,14,15,23,
,,Administration of Justice-210500,15,15,11,14,13,
,,Agricultural Power Equipment Technology-011600,,2,,1,,
,,"Agriculture Business, Sales and Service-011200",1,1,,1,3,
,,Animal Science-010200,4,1,4,6,3,
,,Architecture and Architectural Technology-020100,3,3,2,6,9,
,,Athletic Training and Sports Medicine-122800,2,3,5,7,3,
,,Automotive Technology-094800,13,12,10,13,17,
,,Biological and Physical Sciences (and Mathematics)-490200,1,,,,,
,,"Biology, General-040100",,,2,,,
,,"Business and Commerce, General-050100",8,8,18,6,12,
,,Child Development/Early Care and Education-130500,45,28,26,24,27,
,,Computer Information Systems-070200,6,10,4,10,9,
,,Computer Networking-070810,5,5,5,9,11,
,,Construction Crafts Technology-095200,1,5,4,6,1,
,,Construction Inspection-095720,1,,1,1,,
,,Corrections-210510,7,8,8,5,2,
,,Culinary Arts-130630,,,2,9,13,
,,Electrical-095220,,,2,6,8,
,,"Engineering, General (requires Calculus) (Transfer)-090100",12,4,7,8,18,
,,Environmental Control Technology-094600,1,5,3,,4,
,,Fashion Design-130310,,1,1,,,
,,Fashion Merchandising-130320,2,3,9,5,5,
,,Fire Technology-213300,12,12,14,14,17,
,,Graphic Art and Design-103000,6,2,1,1,2,
,,Horticulture-010900,,2,2,2,2,
,,Human Services-210400,13,14,14,8,7,
,,Industrial Systems Technology and Maintenance-094500,11,4,10,11,13,
,,Landscape Design and Maintenance-010910,,1,,1,,
,,Mechanical Drafting-095340,,1,1,,,
,,Other Interdisciplinary Studies-499900,,,,45,115,
,,Paralegal-140200,7,8,16,18,18,
,,Paramedic-125100,,,,,4,
,,"Physical Sciences, General-190100",2,,1,1,,
,,Physical Therapist Assistant-122200,22,22,24,25,23,
,,Plant Science-010300,1,3,2,1,2,
,,Registered Nursing-123010,90,91,86,96,151,
,,Welding Technology-095650,12,6,15,11,8,
,Associate of Arts (A.A.) degree                              Total,,719,607,633,593,678,
,,Art-100200,1,,,,1,
,,Biological and Physical Sciences (and Mathematics)-490200,73,70,70,48,29,
,,Dance-100800,2,4,7,2,2,
,,Dramatic Arts-100700,2,2,1,,1,
,,Humanities and Fine Arts-490310,49,28,34,14,5,
,,"Liberal Arts and Sciences, General-490100",226,196,174,160,178,
,,Liberal Studies-490120,,,40,110,192,
,,Sign Language-085000,20,12,16,12,17,
,,Transfer Studies-490110,346,295,291,247,253,
,Certificate requiring 30 to < 60 semester units              Total,,169,164,177,169,"1,370",
,,Accounting-050200,5,8,6,5,3,
,,Architecture and Architectural Technology-020100,4,1,,5,,
,,"Business and Commerce, General-050100",1,,,1,1,
,,Computer Information Systems-070200,6,,2,1,1,
,,Construction Crafts Technology-095200,,3,5,5,2,
,,Culinary Arts-130630,,,,6,7,
,,Environmental Control Technology-094600,28,24,19,24,40,
,,Fashion Merchandising-130320,1,2,6,6,4,
,,Fire Technology-213300,2,1,7,3,2,
,,Human Services-210400,,2,2,1,2,
,,Industrial Systems Technology and Maintenance-094500,50,67,62,65,48,
,,Paralegal-140200,1,,,,1,
,,Paramedic-125100,,,,,9,
,,Police Academy-210550,71,56,68,47,78,
,,Transfer Studies-490110,,,,,"1,172",
,Certificate requiring 16 to fewer than 30 semester units     Total,,199,154,162,311,318,
,,Agricultural Power Equipment Technology-011600,1,1,,1,1,
,,"Agriculture Business, Sales and Service-011200",4,2,3,3,4,
,,Animal Science-010200,4,6,22,11,23,
,,Architecture and Architectural Technology-020100,5,2,2,23,15,
,,Business Administration-050500,8,1,,6,6,
,,Child Development/Early Care and Education-130500,30,47,28,54,68,
,,Children with Special Needs-130520,,,,1,,
,,Commercial Music-100500,7,3,2,9,9,
,,Computer Networking-070810,5,3,5,27,23,
,,Construction Inspection-095720,2,2,,,1,
,,Cosmetology and Barbering-300700,,1,,,,
,,Culinary Arts-130630,3,2,21,21,22,
,,Electrical-095220,78,37,42,103,73,
,,Equine Science-010240,3,5,2,4,5,
,,Fashion Design-130310,1,,,,,
,,Fashion Merchandising-130320,3,,,,,
,,General Studies-493000,1,4,,3,,
,,Graphic Art and Design-103000,3,1,,1,2,
,,Horticulture-010900,2,3,1,,1,
,,Human Services-210400,,,1,,,
,,Industrial Systems Technology and Maintenance-094500,1,,,,,
,,Infants and Toddlers-130590,,,,,2,
,,Landscape Design and Maintenance-010910,,,,1,,
