,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Cypress Total,,,"3,735","3,667","3,604","3,771","3,754",
,Baccalaureate of Science (B.S.) degree                       Total,,8,3,1,5,6,
,,Mortuary Science-125500,8,3,1,5,6,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,419,351,390,424,499,
,,Administration of Justice-210500,46,26,49,43,44,
,,"Biology, General-040100",12,14,7,21,31,
,,Business Administration-050500,232,206,225,208,227,
,,"Chemistry, General-190500",6,7,4,7,13,
,,Computer Science (Transfer)-070600,3,7,16,35,46,
,,Environmental Science-030100,,1,,,3,
,,Geology-191400,2,1,1,1,2,
,,"Health Occupations, General-120100",12,16,4,10,14,
,,Hospitality-130700,12,14,18,5,15,
,,"Mathematics, General-170100",52,26,27,40,44,
,,"Nutrition, Foods, and Culinary Arts-130600",1,3,,1,1,
,,"Physics, General-190200",25,10,18,27,40,
,,Television (including combined TV/Film/Video)-060420,16,20,21,26,19,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,496,428,407,438,457,
,,Anthropology-220200,12,5,7,8,4,
,,Art-100200,26,33,33,27,45,
,,Dramatic Arts-100700,9,11,7,7,7,
,,Economics-220400,30,26,19,37,27,
,,English-150100,19,30,27,23,24,
,,"Fine Arts, General-100100",4,2,1,2,2,
,,Geography-220600,5,4,2,4,8,
,,Global Studies-221020,,,,1,,
,,History-220500,14,14,14,18,21,
,,Journalism-060200,5,6,5,8,9,
,,Kinesiology-127000,33,39,33,33,37,
,,"Law, General-140100",,,3,2,5,
,,Liberal Studies-490120,31,22,29,35,30,
,,Music-100400,,3,5,2,2,
,,Philosophy-150900,4,2,1,1,2,
,,Political Science-220700,30,16,20,14,17,
,,"Psychology, General-200100",157,130,126,124,140,
,,Social Justice: African American Studies-220180,1,1,,,,
,,Social Justice: Asian American Studies-220190,,,1,,,
,,Social Justice: Chicano Studies-220160,2,2,,1,,
,,Social Justice: Native American Studies-220191,,,,1,1,
,,Sociology-220800,71,50,48,52,47,
,,Spanish-110500,2,3,,2,1,
,,Speech Communication-150600,41,29,26,36,28,
,Associate of Science (A.S.) degree                           Total,,282,357,308,342,337,
,,Accounting-050200,1,1,4,6,3,
