,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Contra Costa Total,,,"1,674","1,386","1,757","1,579","1,393",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,94,89,91,77,84,
,,Administration of Justice-210500,18,19,9,8,8,
,,"Biology, General-040100",11,4,5,1,8,
,,Business Administration-050500,48,38,45,43,46,
,,Child Development/Early Care and Education-130500,,6,6,6,4,
,,"Health Occupations, General-120100",5,11,10,4,3,
,,"Mathematics, General-170100",9,6,11,9,12,
,,"Physics, General-190200",3,5,5,6,3,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,79,85,72,68,52,
,,Anthropology-220200,1,1,2,,1,
,,Art-100200,,,,,1,
,,Economics-220400,2,7,3,5,3,
,,English-150100,4,7,4,2,3,
,,Geography-220600,1,,,,,
,,History-220500,2,4,,,,
,,Journalism-060200,3,2,,2,2,
,,Kinesiology-127000,3,2,7,2,4,
,,Music-100400,3,1,,1,,
,,Political Science-220700,8,5,4,6,6,
,,"Psychology, General-200100",33,38,33,32,26,
,,Social Justice: Chicano Studies-220160,1,4,2,3,,
,,Sociology-220800,9,10,10,7,3,
,,Spanish-110500,,1,,,,
,,Speech Communication-150600,9,3,7,8,3,
,Associate of Science (A.S.) degree                           Total,,149,137,174,215,185,
,,Administration of Justice-210500,6,2,5,5,6,
,,Automotive Collision Repair-094900,1,3,4,6,9,
,,Automotive Technology-094800,,1,7,4,4,
,,"Biology, General-040100",18,7,11,20,11,
,,Biotechnology and Biomedical Technology-043000,,2,,2,,
,,Business Management-050600,51,39,47,44,35,
,,"Chemistry, General-190500",7,2,8,2,8,
,,Child Development/Early Care and Education-130500,7,19,20,26,16,
,,Computer Networking-070810,2,,1,,,
,,Computer Programming-070710,1,1,,1,,
,,Computer Science (Transfer)-070600,2,3,4,25,23,
,,Computer Support-070820,,1,,3,1,
,,Corrections-210510,3,2,1,,1,
,,Culinary Arts-130630,5,6,1,2,10,
,,Dental Assistant-124010,1,,,,,
,,Earth Science-193000,,,,1,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",2,3,2,5,6,
,,"Information Technology, General-070100",,1,6,11,8,
,,Medical Assisting-120800,2,5,18,9,6,
,,Office Technology/Office Computer Applications-051400,5,2,2,5,2,
,,Physical Education-083500,1,,3,1,1,
,,Registered Nursing-123010,35,38,34,43,38,
,Associate of Arts (A.A.) degree                              Total,,561,484,524,562,482,
,,Anthropology-220200,,2,2,,1,
,,Art-100200,1,,2,2,5,
,,Biological and Physical Sciences (and Mathematics)-490200,216,188,237,217,227,
,,Economics-220400,2,2,2,2,2,
,,Ethnic Studies-220300,9,10,2,,4,
,,History-220500,2,1,1,1,,
,,Human Services-210400,7,11,3,2,3,
,,Humanities and Fine Arts-490310,64,63,54,77,49,
,,Humanities-490300,9,6,3,11,5,
,,Journalism-060200,1,,2,,,
,,"Liberal Arts and Sciences, General-490100",216,175,180,211,152,
,,Music-100400,1,1,1,,,
,,Philosophy-150900,1,,3,,1,
,,Political Science-220700,1,1,2,,,
