,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,Certificate requiring 16 to fewer than 30 semester units     Total,,211,100,123,536,468,
,,Accounting-050200,4,5,4,17,,
,,Administrative Medical Assisting-120820,12,3,5,16,,
,,Agricultural Pest Control Adviser and Operator (Licensed)-010310,,,3,3,,
,,"Agriculture Technology and Sciences, General-010100",3,3,2,13,,
,,Applied Photography-101200,,2,2,5,,
,,Art-100200,,,,1,,
,,Automotive Collision Repair-094900,5,1,3,8,2,
,,Automotive Technology-094800,9,8,9,15,8,
,,"Business and Commerce, General-050100",4,2,3,17,9,
,,Ceramics-100230,,,,2,,
,,Commercial Dance-100810,,,,1,,
,,Commercial Music-100500,2,2,2,7,9,
,,Computer Information Systems-070200,2,3,,4,,
,,Computer Networking-070810,1,3,1,1,,
,,Cosmetology and Barbering-300700,,,,8,,
,,Electronics and Electric Technology-093400,,,1,5,6,
,,Environmental Technology-030300,,,,,1,
,,Fashion-130300,,,2,6,,
,,Human Services-210400,6,4,,16,,
,,Interior Design and Merchandising-130200,,1,,2,1,
,,Legal Office Technology-051410,,,,2,,
,,Machining and Machine Tools-095630,3,1,,,,
,,Medical Assisting-120800,39,14,2,39,,
,,Office Technology/Office Computer Applications-051400,6,5,3,4,2,
,,Paralegal-140200,2,9,4,10,1,
,,Police Academy-210550,22,2,42,45,,
,,Recreation-083600,1,1,1,14,,
,,Transfer Studies-490110,75,8,6,209,369,
,,Veterinary Technician (Licensed)-010210,8,3,6,22,20,
,,"Viticulture, Enology, and Wine Business-010400",2,1,1,,,
,,Website Design and Development-061430,,,2,4,,
,,Welding Technology-095650,5,19,19,40,40,
,Certificate requiring 8 to fewer than 16 semester units      Total,,,2,3,,1,
,,Graphic Art and Design-103000,,2,1,,1,
,,Small Business and Entrepreneurship-050640,,,2,,,
,Certificate requiring 6 to < 18 semester units               Total,,263,244,179,789,705,
,,Accounting-050200,6,2,1,,11,
,,Administrative Medical Assisting-120820,,,,,4,
,,"Agriculture Technology and Sciences, General-010100",,,,,4,
,,Alcohol and Controlled Substances-210440,21,37,17,74,36,
,,Applied Photography-101200,,,,,5,
,,Architectural Drafting-095310,4,1,,16,7,
,,Art-100200,,,,,1,
,,Automotive Collision Repair-094900,4,3,3,14,5,
,,Certified Nurse Assistant-123030,58,58,31,80,60,
,,Commercial Dance-100810,,,,,7,
,,Computer Information Systems-070200,6,6,2,353,221,
,,Computer Networking-070810,,,,,3,
,,Culinary Arts-130630,6,7,3,22,12,
,,Dance-100800,,,,,4,
,,Drafting Technology-095300,5,1,2,5,3,
,,Emergency Medical Services-125000,51,58,55,65,27,
,,English as a Second Language - Integrated-493087,3,1,3,3,,
,,Environmental Technology-030300,1,1,,2,,
,,Fashion-130300,,,,,3,
,,Fire Academy-213350,63,43,47,60,29,
,,Human Services-210400,11,5,2,45,55,
,,Interior Design and Merchandising-130200,,,,,3,
,,Legal Office Technology-051410,,,,,1,
,,Medical Assisting-120800,,,,,42,
,,Office Technology/Office Computer Applications-051400,15,12,8,27,17,
,,Paralegal-140200,,,,,8,
,,Police Academy-210550,,,,15,8,
,,Recreation-083600,,,,,6,
,,Restaurant and Food Services and Management-130710,4,3,,3,,
,,Spanish-110500,5,6,4,4,18,
,,Speech Communication-150600,,,1,,73,
,,Vocational ESL-493100,,,,,30,
,,Website Design and Development-061430,,,,1,2,
,"Other Credit Award, < 6 semester units                       Total",,104,99,96,231,141,
,,"Business and Commerce, General-050100",21,30,14,98,50,
,,Computer Information Systems-070200,11,5,1,,1,
,,Customer Service-051800,8,2,4,8,9,
,,Electrocardiography-121500,19,17,24,22,38,
,,Emergency Medical Services-125000,,,,3,6,
,,Environmental Technology-030300,16,12,20,41,5,
,,Home Health Aide-123080,,17,11,24,19,
,,Office Technology/Office Computer Applications-051400,,1,2,2,1,
,,Paramedic-125100,16,13,18,5,,
,,Sales and Salesmanship-050940,13,2,2,28,12,
,Noncredit award requiring from 480 to < 960 hours            Total,,,3,2,6,1,
,,Fashion-130300,,3,2,6,1,
,Noncredit award requiring from 288 to < 480 hours            Total,,3,15,5,5,2,
,,English as a Second Language - Integrated-493087,,9,,,,
,,Fashion-130300,,3,3,5,1,
,,Truck and Bus Driving-094750,3,3,2,,1,
,Noncredit award requiring from 192 to < 288 hours            Total,,,1,,,2,
,,"Information Technology, General-070100",,1,,,,
,,Truck and Bus Driving-094750,,,,,1,
,,Vocational ESL-493100,,,,,1,
,Noncredit award requiring from 144 to < 192 hours            Total,,5,,,1,,
,,English as a Second Language - Integrated-493087,5,,,1,,
,Noncredit award requiring from 96 to < 144 hours             Total,,,6,25,41,14,
,,Child Development/Early Care and Education-130500,,,,3,9,
,,English as a Second Language - Integrated-493087,,,18,30,1,
,,Office Management-051440,,6,7,8,3,
,,Vocational ESL-493100,,,,,1,
,Noncredit award requiring from 48 to < 96 hours              Total,,5,1,33,49,14,
,,Accounting-050200,2,,21,2,6,
,,Child Development/Early Care and Education-130500,,,3,8,8,
,,English as a Second Language - Integrated-493087,,,,37,,
,,Floriculture / Floristry-010920,,1,9,2,,
,,Horticulture-010900,3,,,,,
,Noncredit award requiring < 48 hours                         Total,,,2,,,84,
,,Accounting-050200,,,,,28,
,,Child Development/Early Care and Education-130500,,,,,8,
,,English as a Second Language - Integrated-493087,,,,,47,
,,Job Seeking/Changing Skills-493012,,2,,,,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,,,,1,
