,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Ethnic Studies-220300,1,4,1,6,
,,Film History and Criticism-061210,19,21,17,74,
,,Infants and Toddlers-130590,1,1,,1,
,,Preshool Age Children-130540,94,107,88,349,
,,The School Age Child-130550,19,23,10,68,
,Noncredit award requiring from 480 to < 960 hours            Total,,11,12,4,15,
,,English as a Second Language - Integrated-493087,11,12,4,15,
,Noncredit award requiring from 288 to < 480 hours            Total,,30,170,238,267,
,,Community Health Care Worker-126100,,77,84,101,
,,English as a Second Language - Integrated-493087,30,93,154,166,
,Noncredit award requiring from 192 to < 288 hours            Total,,12,37,69,54,
,,English as a Second Language - Integrated-493087,12,37,69,54,
,Noncredit award requiring from 144 to < 192 hours            Total,,8,48,41,25,
,,Computer Networking-070810,,,,1,
,,English as a Second Language - Integrated-493087,8,48,41,24,
,Noncredit award requiring from 96 to < 144 hours             Total,,115,272,351,425,
,,English as a Second Language - Integrated-493087,115,272,351,425,
,Noncredit award requiring from 48 to < 96 hours              Total,,45,97,119,149,
,,English as a Second Language - Integrated-493087,,7,10,13,
,,Film Production-061220,,,,12,
,,Job Seeking/Changing Skills-493012,4,10,5,12,
,,Office Technology/Office Computer Applications-051400,41,80,104,112,
,Noncredit award requiring < 48 hours                         Total,,121,37,76,250,
,,Applied Photography-101200,,,,56,
,,Electronics and Electric Technology-093400,9,,,1,
,,Film Production-061220,,,31,65,
,,Human Services-210400,,5,19,2,
,,Insurance-051200,13,5,,6,
,,Job Seeking/Changing Skills-493012,49,20,21,53,
,,"Media and Communications, General-060100",1,,,3,
,,Other Media and Communications-069900,12,1,,,
,,Parenting and Family Education-130560,37,6,5,21,
,,Radio-060410,,,,27,
,,Television (including combined TV/Film/Video)-060420,,,,16,
