,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Los Medanos Total,,,"2,287","2,177","2,368","2,198","2,478",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,262,302,266,258,310,
,,Administration of Justice-210500,53,65,61,45,58,
,,"Biology, General-040100",38,43,34,39,38,
,,Business Administration-050500,84,107,98,81,111,
,,"Chemistry, General-190500",6,5,1,3,4,
,,Child Development/Early Care and Education-130500,15,30,29,26,31,
,,Computer Science (Transfer)-070600,7,7,11,20,21,
,,"Mathematics, General-170100",35,30,18,30,32,
,,"Physics, General-190200",24,15,14,14,15,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,261,248,219,249,236,
,,Anthropology-220200,8,5,3,6,3,
,,Art-100200,3,5,7,2,7,
,,Dramatic Arts-100700,3,4,4,1,1,
,,English-150100,12,14,10,13,11,
,,"Fine Arts, General-100100",2,3,3,2,2,
,,"Gay, Lesbian, Bisexual and Transgender Studies-220140",,1,,,1,
,,History-220500,10,10,3,5,6,
,,Journalism-060200,2,3,2,2,8,
,,Kinesiology-127000,27,15,14,30,21,
,,"Law, General-140100",,,,4,3,
,,Music-100400,1,,1,,1,
,,Philosophy-150900,2,,2,6,2,
,,Political Science-220700,7,12,15,11,8,
,,"Psychology, General-200100",116,104,101,111,114,
,,Social Justice: African American Studies-220180,,,,,1,
,,Social Justice: Chicano Studies-220160,,,,1,,
,,Sociology-220800,39,37,32,30,29,
,,Spanish-110500,8,10,7,8,3,
,,Speech Communication-150600,21,25,15,17,15,
,Associate of Science (A.S.) degree                           Total,,175,159,180,153,179,
,,Accounting-050200,17,23,18,22,25,
,,Appliance Repair-093510,,2,,,,
,,Automotive Technology-094800,3,12,14,7,11,
,,"Biology, General-040100",6,1,1,1,,
,,Child Development/Early Care and Education-130500,2,,,,,
,,Computer Infrastructure and Support-070800,5,12,8,4,9,
,,Computer Networking-070810,10,8,10,8,12,
,,Electronics and Electric Technology-093400,17,10,10,6,16,
