,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Santa Ana Total,,,"6,788","6,875","7,409","8,374","8,566",
,Baccalaureate of Science (B.S.) degree                       Total,,18,7,16,19,27,
,,Occupational Therapy Technology-121800,18,7,16,19,27,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,342,350,322,324,344,
,,Administration of Justice-210500,73,74,73,75,77,
,,"Biology, General-040100",8,12,12,14,12,
,,Business Administration-050500,181,165,149,131,167,
,,"Chemistry, General-190500",6,4,2,6,4,
,,Child Development/Early Care and Education-130500,31,36,35,21,21,
,,Computer Science (Transfer)-070600,11,9,9,17,15,
,,Geology-191400,,,2,,,
,,"Health Occupations, General-120100",,,3,2,3,
,,Hospitality-130700,,,,,2,
,,"Mathematics, General-170100",17,29,19,31,21,
,,"Nutrition, Foods, and Culinary Arts-130600",1,1,1,3,6,
,,"Physics, General-190200",8,10,3,13,7,
,,Television (including combined TV/Film/Video)-060420,6,10,14,11,9,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,372,330,302,352,308,
,,Anthropology-220200,4,7,2,2,2,
,,Art-100200,28,29,31,24,33,
,,Dramatic Arts-100700,5,5,1,5,4,
,,Economics-220400,8,9,7,11,14,
,,Educational Aide (Teacher Assistant)-080200,,,2,,,
,,English-150100,17,18,9,10,16,
,,"Fine Arts, General-100100",1,7,6,4,3,
,,Geography-220600,6,,2,,,
,,History-220500,24,17,16,19,16,
,,Journalism-060200,8,3,6,7,7,
,,Kinesiology-127000,12,21,26,23,22,
,,"Law, General-140100",1,3,6,6,10,
,,Liberal Studies-490120,,3,,1,1,
,,Music-100400,2,1,3,2,1,
,,Philosophy-150900,4,,5,3,1,
,,Political Science-220700,14,16,10,18,10,
,,"Psychology, General-200100",136,124,102,135,116,
,,Sociology-220800,52,34,36,43,37,
,,Spanish-110500,9,6,8,9,8,
,,Speech Communication-150600,41,27,24,30,7,
,Associate of Science (A.S.) degree                           Total,,459,560,566,566,646,
,,Accounting-050200,13,25,26,29,22,
,,Administration of Justice-210500,7,9,9,11,9,
,,Administrative Medical Assisting-120820,,63,75,,,
,,Architectural Drafting-095310,2,,,,,
,,Automotive Technology-094800,14,17,21,24,25,
,,Biological and Physical Sciences (and Mathematics)-490200,21,20,11,10,7,
,,"Biology, General-040100",2,,5,1,4,
,,Biotechnology and Biomedical Technology-043000,1,3,1,2,,
,,Business Administration-050500,11,8,7,3,3,
,,Business Management-050600,,,,2,7,
,,"Chemistry, General-190500",10,10,8,12,12,
,,Civil and Construction Management Technology-095700,,,,3,,
,,Civil Drafting-095320,,,3,5,4,
,,Computer Information Systems-070200,11,7,5,11,17,
,,Computer Science (Transfer)-070600,4,6,9,18,8,
,,Diesel Technology-094700,1,,5,3,15,
,,Drafting Technology-095300,5,3,13,6,10,
,,Electro-Mechanical Technology-093500,,2,3,4,6,
,,"Engineering Technology, General (requires Trigonometry)-092400",3,,,,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",6,6,10,15,20,
,,Fire Technology-213300,57,67,53,65,64,
,,"Health Professions, Transfer Core Curriculum-126000",56,79,88,82,114,
,,Heavy Equipment Maintenance-094720,3,,,,,
,,Legal and Community Interpretation-214000,,,4,9,11,
,,Machining and Machine Tools-095630,13,12,16,4,7,
,,Marketing and Distribution-050900,1,,,,,
,,"Mathematics, General-170100",6,9,4,7,3,
,,Mechanical Drafting-095340,,2,,5,4,
,,Medical Assisting-120800,57,,,54,81,
,,"Nutrition, Foods, and Culinary Arts-130600",,1,,1,1,
,,Occupational Therapy Technology-121800,38,69,55,35,50,
,,Office Technology/Office Computer Applications-051400,2,3,3,7,4,
,,Pharmacy Technology-122100,3,5,8,12,8,
,,"Physics, General-190200",4,6,3,3,1,
,,Registered Nursing-123010,84,81,95,86,91,
,,Retail Store Operations and Management-050650,,,1,2,1,
,,Speech/Language Pathology and Audiology-122000,20,45,19,28,27,
,,Welding Technology-095650,4,2,6,7,10,
,Associate of Arts (A.A.) degree                              Total,,"1,409","1,268","1,082","1,190","1,496",
,,Administration of Justice-210500,,2,,,,
,,American Studies-220120,11,8,6,,,
,,Anthropology-220200,2,2,,2,2,
,,Art-100200,,1,3,,4,
,,Biological and Physical Sciences (and Mathematics)-490200,176,179,,,,
,,Business Administration-050500,6,14,18,24,40,
,,Business Management-050600,11,11,11,9,6,
,,Computer Graphics and Digital Imagery-061460,3,2,3,8,3,
,,Dance-100800,2,2,,2,1,
,,Desktop Publishing-061450,3,1,3,,1,
,,Digital Media-061400,,9,2,9,4,
,,Dramatic Arts-100700,2,4,,3,1,
,,Economics-220400,3,1,6,8,16,
,,Educational Aide (Teacher Assistant)-080200,58,42,29,26,28,
,,English-150100,2,1,,1,,
,,Ethnic Studies-220300,1,1,1,1,2,
,,Fashion Design-130310,2,3,5,,,
