soc_code	category	rank	element
11-1011	knowledge	1	Personnel and Human Resources
11-1011	knowledge	2	Economics and Accounting
11-1011	knowledge	3	Administration and Management
11-1011	knowledge	4	Sales and Marketing
11-1011	knowledge	5	Public Safety and Security
11-1011	knowledge	6	Law and Government
11-1011	knowledge	7	Customer and Personal Service
11-1011	knowledge	8	Sociology and Anthropology
11-1011	skills	1	Management of Financial Resources
11-1011	skills	2	Management of Material Resources
11-1011	skills	3	Management of Personnel Resources
11-1011	skills	4	Systems Evaluation
11-1011	skills	5	Negotiation
11-1011	skills	6	Judgment and Decision Making
11-1011	skills	7	Systems Analysis
11-1011	skills	8	Persuasion
11-1011	abilities	1	Fluency of Ideas
11-1011	abilities	2	Originality
11-1011	abilities	3	Oral Comprehension
11-1011	abilities	4	Speech Clarity
11-1011	abilities	5	Written Expression
11-1011	abilities	6	Oral Expression
11-1011	abilities	7	Written Comprehension
11-1011	abilities	8	Mathematical Reasoning
11-1011	technology	1	Content workflow software
11-1011	technology	2	Enterprise application integration software
11-1011	technology	3	Web platform development software
11-1011	technology	4	Cloud-based data access and sharing software
11-1011	technology	5	Accounting software
11-1011	technology	6	Document management software
11-1011	technology	7	Time accounting software
11-1011	technology	8	Human resources software
11-1021	knowledge	1	Administration and Management
11-1021	knowledge	2	Production and Processing
11-1021	knowledge	3	Personnel and Human Resources
11-1021	knowledge	4	Economics and Accounting
11-1021	knowledge	5	Sales and Marketing
11-1021	knowledge	6	Customer and Personal Service
11-1021	knowledge	7	Engineering and Technology
11-1021	knowledge	8	Administrative
11-1021	skills	1	Management of Material Resources
11-1021	skills	2	Management of Personnel Resources
11-1021	skills	3	Management of Financial Resources
11-1021	skills	4	Negotiation
11-1021	skills	5	Persuasion
11-1021	skills	6	Coordination
11-1021	skills	7	Monitoring
11-1021	skills	8	Social Perceptiveness
11-1021	abilities	1	Written Expression
11-1021	abilities	2	Written Comprehension
11-1021	abilities	3	Speech Clarity
11-1021	abilities	4	Deductive Reasoning
11-1021	abilities	5	Fluency of Ideas
11-1021	abilities	6	Originality
11-1021	abilities	7	Number Facility
11-1021	abilities	8	Oral Expression
11-1021	technology	1	Object oriented data base management software
11-1021	technology	2	Configuration management software
11-1021	technology	3	Content workflow software
11-1021	technology	4	Sales and marketing software
11-1021	technology	5	Cloud-based management software
11-1021	technology	6	Data mining software
11-1021	technology	7	Time accounting software
11-1021	technology	8	Data base management system software
11-1031	technology	1	Video conferencing software
11-1031	technology	2	Cloud-based data access and sharing software
11-1031	technology	3	Development environment software
11-1031	technology	4	Document management software
11-1031	technology	5	Music or sound editing software
11-1031	technology	6	Communications server software
11-1031	technology	7	Access software
11-1031	technology	8	Map creation software
11-2011	knowledge	1	Sales and Marketing
11-2011	knowledge	2	Communications and Media
11-2011	knowledge	3	Administration and Management
11-2011	knowledge	4	Economics and Accounting
11-2011	knowledge	5	English Language
11-2011	knowledge	6	Customer and Personal Service
11-2011	knowledge	7	Sociology and Anthropology
11-2011	knowledge	8	Design
11-2011	skills	1	Management of Financial Resources
11-2011	skills	2	Social Perceptiveness
11-2011	skills	3	Operations Analysis
11-2011	skills	4	Management of Material Resources
11-2011	skills	5	Persuasion
11-2011	skills	6	Writing
11-2011	skills	7	Active Listening
11-2011	skills	8	Management of Personnel Resources
11-2011	abilities	1	Originality
11-2011	abilities	2	Fluency of Ideas
11-2011	abilities	3	Speech Clarity
11-2011	abilities	4	Written Expression
11-2011	abilities	5	Oral Expression
11-2011	abilities	6	Speech Recognition
11-2011	abilities	7	Written Comprehension
11-2011	abilities	8	Visualization
11-2011	technology	1	Sales and marketing software
11-2011	technology	2	Data base management system software
11-2011	technology	3	Business intelligence and data analysis software
11-2011	technology	4	Enterprise application integration software
11-2011	technology	5	Video creation and editing software
11-2011	technology	6	Web platform development software
11-2011	technology	7	Customer relationship management CRM software
11-2011	technology	8	Desktop publishing software
11-2021	knowledge	1	Sales and Marketing
11-2021	knowledge	2	Communications and Media
11-2021	knowledge	3	Administration and Management
11-2021	knowledge	4	Economics and Accounting
11-2021	knowledge	5	Design
11-2021	knowledge	6	English Language
11-2021	knowledge	7	Telecommunications
11-2021	knowledge	8	Computers and Electronics
11-2021	skills	1	Operations Analysis
11-2021	skills	2	Negotiation
11-2021	skills	3	Persuasion
11-2021	skills	4	Management of Financial Resources
11-2021	skills	5	Systems Evaluation
11-2021	skills	6	Management of Personnel Resources
11-2021	skills	7	Active Learning
11-2021	skills	8	Social Perceptiveness
11-2021	abilities	1	Fluency of Ideas
11-2021	abilities	2	Originality
11-2021	abilities	3	Written Expression
11-2021	abilities	4	Number Facility
11-2021	abilities	5	Mathematical Reasoning
11-2021	abilities	6	Written Comprehension
11-2021	abilities	7	Deductive Reasoning
11-2021	abilities	8	Visual Color Discrimination
11-2021	technology	1	Graphical user interface development software
11-2021	technology	2	Content workflow software
11-2021	technology	3	Sales and marketing software
11-2021	technology	4	Cloud-based management software
11-2021	technology	5	Data mining software
11-2021	technology	6	Application server software
11-2021	technology	7	Data base management system software
11-2021	technology	8	Business intelligence and data analysis software
11-2022	knowledge	1	Sales and Marketing
11-2022	knowledge	2	Customer and Personal Service
11-2022	knowledge	3	Administration and Management
11-2022	knowledge	4	Communications and Media
11-2022	knowledge	5	Economics and Accounting
11-2022	knowledge	6	English Language
11-2022	knowledge	7	Personnel and Human Resources
11-2022	knowledge	8	Telecommunications
11-2022	skills	1	Persuasion
11-2022	skills	2	Negotiation
11-2022	skills	3	Management of Personnel Resources
11-2022	skills	4	Management of Financial Resources
11-2022	skills	5	Systems Evaluation
11-2022	skills	6	Service Orientation
11-2022	skills	7	Systems Analysis
11-2022	skills	8	Management of Material Resources
11-2022	abilities	1	Fluency of Ideas
11-2022	abilities	2	Originality
11-2022	abilities	3	Memorization
11-2022	abilities	4	Written Expression
11-2022	abilities	5	Number Facility
11-2022	abilities	6	Mathematical Reasoning
11-2022	abilities	7	Speech Recognition
11-2022	abilities	8	Written Comprehension
11-2022	technology	1	Sales and marketing software
11-2022	technology	2	Cloud-based management software
11-2022	technology	3	Data mining software
11-2022	technology	4	Video conferencing software
11-2022	technology	5	Data base management system software
11-2022	technology	6	Business intelligence and data analysis software
11-2022	technology	7	Web platform development software
11-2022	technology	8	Customer relationship management CRM software
11-2032	technology	1	Sales and marketing software
11-2032	technology	2	Data mining software
11-2032	technology	3	Video conferencing software
11-2032	technology	4	Data base management system software
11-2032	technology	5	Video creation and editing software
11-2032	technology	6	Web platform development software
11-2032	technology	7	Customer relationship management CRM software
11-2032	technology	8	Desktop publishing software
11-2033	technology	1	Sales and marketing software
11-2033	technology	2	Data mining software
11-2033	technology	3	Data base management system software
11-2033	technology	4	Video creation and editing software
11-2033	technology	5	Web platform development software
11-2033	technology	6	Customer relationship management CRM software
11-2033	technology	7	Desktop publishing software
11-2033	technology	8	Cloud-based data access and sharing software
11-3012	knowledge	1	Administration and Management
11-3012	knowledge	2	Administrative
11-3012	knowledge	3	Customer and Personal Service
11-3012	knowledge	4	Personnel and Human Resources
11-3012	knowledge	5	Economics and Accounting
11-3012	knowledge	6	Public Safety and Security
11-3012	knowledge	7	Telecommunications
11-3012	knowledge	8	Production and Processing
11-3012	skills	1	Negotiation
11-3012	skills	2	Management of Financial Resources
11-3012	skills	3	Time Management
11-3012	skills	4	Management of Material Resources
11-3012	skills	5	Management of Personnel Resources
11-3012	skills	6	Operations Analysis
11-3012	skills	7	Coordination
11-3012	skills	8	Writing
11-3012	abilities	1	Written Expression
11-3012	abilities	2	Time Sharing
11-3012	abilities	3	Written Comprehension
11-3012	abilities	4	Oral Expression
11-3012	abilities	5	Oral Comprehension
11-3012	abilities	6	Speech Recognition
11-3012	abilities	7	Fluency of Ideas
11-3012	abilities	8	Originality
11-3012	technology	1	Content workflow software
11-3012	technology	2	Data base management system software
11-3012	technology	3	Process mapping and design software
11-3012	technology	4	Cloud-based data access and sharing software
11-3012	technology	5	Accounting software
11-3012	technology	6	Object or component oriented development software
11-3012	technology	7	Web page creation and editing software
11-3012	technology	8	Document management software
11-3013	technology	1	Data base management system software
11-3013	technology	2	Process mapping and design software
11-3013	technology	3	Cloud-based data access and sharing software
11-3013	technology	4	Accounting software
11-3013	technology	5	Document management software
11-3013	technology	6	Computer aided design CAD software
11-3013	technology	7	Enterprise system management software
11-3013	technology	8	Instant messaging software
11-3021	knowledge	1	Computers and Electronics
11-3021	knowledge	2	Engineering and Technology
11-3021	knowledge	3	Personnel and Human Resources
11-3021	knowledge	4	Administration and Management
11-3021	knowledge	5	Customer and Personal Service
11-3021	knowledge	6	Telecommunications
11-3021	knowledge	7	Design
11-3021	knowledge	8	Mathematics
11-3021	skills	1	Programming
11-3021	skills	2	Management of Financial Resources
11-3021	skills	3	Operations Analysis
11-3021	skills	4	Management of Personnel Resources
11-3021	skills	5	Systems Evaluation
11-3021	skills	6	Systems Analysis
11-3021	skills	7	Management of Material Resources
11-3021	skills	8	Technology Design
11-3021	abilities	1	Inductive Reasoning
11-3021	abilities	2	Number Facility
11-3021	abilities	3	Deductive Reasoning
11-3021	abilities	4	Fluency of Ideas
11-3021	abilities	5	Written Comprehension
11-3021	abilities	6	Originality
11-3021	abilities	7	Written Expression
11-3021	abilities	8	Problem Sensitivity
11-3021	technology	1	Object oriented data base management software
11-3021	technology	2	Configuration management software
11-3021	technology	3	Content workflow software
11-3021	technology	4	Cloud-based management software
11-3021	technology	5	Data mining software
11-3021	technology	6	Application server software
11-3021	technology	7	Data base management system software
11-3021	technology	8	Business intelligence and data analysis software
11-3031	knowledge	1	Economics and Accounting
11-3031	knowledge	2	Administration and Management
11-3031	knowledge	3	Customer and Personal Service
11-3031	knowledge	4	Sales and Marketing
11-3031	knowledge	5	Law and Government
11-3031	knowledge	6	Personnel and Human Resources
11-3031	knowledge	7	Administrative
11-3031	knowledge	8	Mathematics
11-3031	skills	1	Management of Financial Resources
11-3031	skills	2	Management of Personnel Resources
11-3031	skills	3	Mathematics
11-3031	skills	4	Service Orientation
11-3031	skills	5	Persuasion
11-3031	skills	6	Writing
11-3031	skills	7	Reading Comprehension
11-3031	skills	8	Time Management
11-3031	abilities	1	Number Facility
11-3031	abilities	2	Mathematical Reasoning
11-3031	abilities	3	Written Comprehension
11-3031	abilities	4	Speech Clarity
11-3031	abilities	5	Written Expression
11-3031	abilities	6	Speed of Closure
11-3031	abilities	7	Deductive Reasoning
11-3031	abilities	8	Fluency of Ideas
11-3031	technology	1	Sales and marketing software
11-3031	technology	2	Data base management system software
11-3031	technology	3	Business intelligence and data analysis software
11-3031	technology	4	Customer relationship management CRM software
11-3031	technology	5	Process mapping and design software
11-3031	technology	6	Cloud-based data access and sharing software
11-3031	technology	7	Accounting software
11-3031	technology	8	Development environment software
11-3051	knowledge	1	Production and Processing
11-3051	knowledge	2	Administration and Management
11-3051	knowledge	3	Personnel and Human Resources
11-3051	knowledge	4	Mechanical
11-3051	knowledge	5	Engineering and Technology
11-3051	knowledge	6	Design
11-3051	knowledge	7	Education and Training
11-3051	knowledge	8	Psychology
11-3051	skills	1	Management of Financial Resources
11-3051	skills	2	Management of Material Resources
11-3051	skills	3	Management of Personnel Resources
11-3051	skills	4	Systems Analysis
11-3051	skills	5	Learning Strategies
11-3051	skills	6	Coordination
11-3051	skills	7	Operations Analysis
11-3051	skills	8	Mathematics
11-3051	abilities	1	Information Ordering
11-3051	abilities	2	Fluency of Ideas
11-3051	abilities	3	Number Facility
11-3051	abilities	4	Mathematical Reasoning
11-3051	abilities	5	Deductive Reasoning
11-3051	abilities	6	Written Comprehension
11-3051	abilities	7	Memorization
11-3051	abilities	8	Inductive Reasoning
11-3051	technology	1	Video creation and editing software
11-3051	technology	2	Desktop publishing software
11-3051	technology	3	Accounting software
11-3051	technology	4	Document management software
11-3051	technology	5	Computer aided design CAD software
11-3051	technology	6	Facilities management software
11-3051	technology	7	Desktop communications software
11-3051	technology	8	Human resources software
11-3061	knowledge	1	Economics and Accounting
11-3061	knowledge	2	Law and Government
11-3061	knowledge	3	Administration and Management
11-3061	knowledge	4	Personnel and Human Resources
11-3061	knowledge	5	Administrative
11-3061	knowledge	6	Building and Construction
11-3061	knowledge	7	Sales and Marketing
11-3061	knowledge	8	Customer and Personal Service
11-3061	skills	1	Management of Personnel Resources
11-3061	skills	2	Management of Financial Resources
11-3061	skills	3	Management of Material Resources
11-3061	skills	4	Negotiation
11-3061	skills	5	Persuasion
11-3061	skills	6	Systems Analysis
11-3061	skills	7	Time Management
11-3061	skills	8	Social Perceptiveness
11-3061	abilities	1	Fluency of Ideas
11-3061	abilities	2	Originality
11-3061	abilities	3	Number Facility
11-3061	abilities	4	Mathematical Reasoning
11-3061	abilities	5	Speech Recognition
11-3061	abilities	6	Speech Clarity
11-3061	abilities	7	Written Expression
11-3061	abilities	8	Deductive Reasoning
11-3061	technology	1	Process mapping and design software
11-3061	technology	2	Cloud-based data access and sharing software
11-3061	technology	3	Procurement software
11-3061	technology	4	Materials requirements planning logistics and supply chain software
11-3061	technology	5	Point of sale POS software
11-3061	technology	6	Data base reporting software
11-3061	technology	7	Financial analysis software
11-3061	technology	8	Business intelligence and data analysis software
11-3071	knowledge	1	Transportation
11-3071	knowledge	2	Personnel and Human Resources
11-3071	knowledge	3	Administration and Management
11-3071	knowledge	4	Economics and Accounting
11-3071	knowledge	5	Geography
11-3071	knowledge	6	Public Safety and Security
11-3071	knowledge	7	Production and Processing
11-3071	knowledge	8	Law and Government
11-3071	skills	1	Management of Financial Resources
11-3071	skills	2	Management of Material Resources
11-3071	skills	3	Management of Personnel Resources
11-3071	skills	4	Negotiation
11-3071	skills	5	Operations Analysis
11-3071	skills	6	Coordination
11-3071	skills	7	Persuasion
11-3071	skills	8	Systems Evaluation
11-3071	abilities	1	Written Expression
11-3071	abilities	2	Mathematical Reasoning
11-3071	abilities	3	Number Facility
11-3071	abilities	4	Written Comprehension
11-3071	abilities	5	Fluency of Ideas
11-3071	abilities	6	Speech Recognition
11-3071	abilities	7	Originality
11-3071	abilities	8	Problem Sensitivity
11-3071	technology	1	Process mapping and design software
11-3071	technology	2	Computer aided design CAD software
11-3071	technology	3	Label making software
11-3071	technology	4	Route navigation software
11-3071	technology	5	Backup or archival software
11-3071	technology	6	Metadata management software
11-3071	technology	7	Compliance software
11-3071	technology	8	Mobile location based services software
11-3111	knowledge	1	Personnel and Human Resources
11-3111	knowledge	2	Economics and Accounting
11-3111	knowledge	3	Administration and Management
11-3111	knowledge	4	Law and Government
11-3111	knowledge	5	Communications and Media
11-3111	knowledge	6	English Language
11-3111	knowledge	7	Administrative
11-3111	knowledge	8	Customer and Personal Service
11-3111	skills	1	Management of Financial Resources
11-3111	skills	2	Management of Personnel Resources
11-3111	skills	3	Writing
11-3111	skills	4	Operations Analysis
11-3111	skills	5	Active Learning
11-3111	skills	6	Judgment and Decision Making
11-3111	skills	7	Systems Evaluation
11-3111	skills	8	Systems Analysis
11-3111	abilities	1	Written Expression
11-3111	abilities	2	Mathematical Reasoning
11-3111	abilities	3	Number Facility
11-3111	abilities	4	Written Comprehension
11-3111	abilities	5	Fluency of Ideas
11-3111	abilities	6	Originality
11-3111	abilities	7	Speech Clarity
11-3111	abilities	8	Oral Expression
11-3111	technology	1	Process mapping and design software
11-3111	technology	2	Cloud-based data access and sharing software
11-3111	technology	3	Accounting software
11-3111	technology	4	Web page creation and editing software
11-3111	technology	5	Human resources software
11-3111	technology	6	Data base reporting software
11-3111	technology	7	Video creation and editing software
11-3111	technology	8	Desktop publishing software
11-3121	knowledge	1	Personnel and Human Resources
11-3121	knowledge	2	Law and Government
11-3121	knowledge	3	Administration and Management
11-3121	knowledge	4	Education and Training
11-3121	knowledge	5	Psychology
11-3121	knowledge	6	Sociology and Anthropology
11-3121	knowledge	7	Therapy and Counseling
11-3121	knowledge	8	English Language
11-3121	skills	1	Management of Personnel Resources
11-3121	skills	2	Negotiation
11-3121	skills	3	Systems Evaluation
11-3121	skills	4	Management of Financial Resources
11-3121	skills	5	Systems Analysis
11-3121	skills	6	Persuasion
11-3121	skills	7	Coordination
11-3121	skills	8	Judgment and Decision Making
11-3121	abilities	1	Written Expression
11-3121	abilities	2	Speech Recognition
11-3121	abilities	3	Fluency of Ideas
11-3121	abilities	4	Written Comprehension
11-3121	abilities	5	Originality
11-3121	abilities	6	Speech Clarity
11-3121	abilities	7	Oral Expression
11-3121	abilities	8	Oral Comprehension
11-3121	technology	1	Time accounting software
11-3121	technology	2	Process mapping and design software
11-3121	technology	3	Accounting software
11-3121	technology	4	Web page creation and editing software
11-3121	technology	5	Charting software
11-3121	technology	6	Multi-media educational software
11-3121	technology	7	Compliance software
11-3121	technology	8	Human resources software
11-3131	knowledge	1	Education and Training
11-3131	knowledge	2	Personnel and Human Resources
11-3131	knowledge	3	Psychology
11-3131	knowledge	4	Sociology and Anthropology
11-3131	knowledge	5	Communications and Media
11-3131	knowledge	6	Administration and Management
11-3131	knowledge	7	English Language
11-3131	knowledge	8	Customer and Personal Service
11-3131	skills	1	Management of Financial Resources
11-3131	skills	2	Learning Strategies
11-3131	skills	3	Instructing
11-3131	skills	4	Management of Material Resources
11-3131	skills	5	Management of Personnel Resources
11-3131	skills	6	Persuasion
11-3131	skills	7	Coordination
11-3131	skills	8	Active Learning
11-3131	abilities	1	Fluency of Ideas
11-3131	abilities	2	Originality
11-3131	abilities	3	Written Expression
11-3131	abilities	4	Speech Clarity
11-3131	abilities	5	Deductive Reasoning
11-3131	abilities	6	Speech Recognition
11-3131	abilities	7	Written Comprehension
11-3131	abilities	8	Memorization
11-3131	technology	1	Video conferencing software
11-3131	technology	2	Data base management system software
11-3131	technology	3	Web platform development software
11-3131	technology	4	Medical software
11-3131	technology	5	Development environment software
11-3131	technology	6	Document management software
11-3131	technology	7	Computer based training software
11-3131	technology	8	Customer relationship management CRM software
11-9013	knowledge	1	Food Production
11-9013	knowledge	2	Biology
11-9013	knowledge	3	Production and Processing
11-9013	knowledge	4	Economics and Accounting
11-9013	knowledge	5	Administration and Management
11-9013	knowledge	6	Sales and Marketing
11-9013	knowledge	7	Chemistry
11-9013	knowledge	8	Personnel and Human Resources
11-9013	skills	1	Management of Financial Resources
11-9013	skills	2	Science
11-9013	skills	3	Management of Personnel Resources
11-9013	skills	4	Management of Material Resources
11-9013	skills	5	Operation and Control
11-9013	skills	6	Negotiation
11-9013	skills	7	Operations Monitoring
11-9013	skills	8	Quality Control Analysis
11-9013	abilities	1	Multilimb Coordination
11-9013	abilities	2	Control Precision
11-9013	abilities	3	Depth Perception
11-9013	abilities	4	Number Facility
11-9013	abilities	5	Manual Dexterity
11-9013	abilities	6	Written Expression
11-9013	abilities	7	Inductive Reasoning
11-9013	abilities	8	Problem Sensitivity
11-9013	technology	1	Process mapping and design software
11-9013	technology	2	Cloud-based data access and sharing software
11-9013	technology	3	Web page creation and editing software
11-9013	technology	4	Mobile location based services software
11-9013	technology	5	Time accounting software
11-9013	technology	6	Map creation software
11-9013	technology	7	Industrial control software
11-9013	technology	8	Geographic information system
11-9021	knowledge	1	Building and Construction
11-9021	knowledge	2	Engineering and Technology
11-9021	knowledge	3	Design
11-9021	knowledge	4	Administration and Management
11-9021	knowledge	5	Economics and Accounting
11-9021	knowledge	6	Mechanical
11-9021	knowledge	7	Public Safety and Security
11-9021	knowledge	8	Transportation
11-9021	skills	1	Management of Personnel Resources
11-9021	skills	2	Management of Financial Resources
11-9021	skills	3	Management of Material Resources
11-9021	skills	4	Negotiation
11-9021	skills	5	Operations Analysis
11-9021	skills	6	Coordination
11-9021	skills	7	Time Management
11-9021	skills	8	Quality Control Analysis
11-9021	abilities	1	Visualization
11-9021	abilities	2	Information Ordering
11-9021	abilities	3	Speed of Closure
11-9021	abilities	4	Number Facility
11-9021	abilities	5	Mathematical Reasoning
11-9021	abilities	6	Auditory Attention
11-9021	abilities	7	Far Vision
11-9021	abilities	8	Inductive Reasoning
11-9021	technology	1	Process mapping and design software
11-9021	technology	2	Cloud-based data access and sharing software
11-9021	technology	3	Web page creation and editing software
11-9021	technology	4	Document management software
11-9021	technology	5	Computer aided design CAD software
11-9021	technology	6	Compliance software
11-9021	technology	7	Time accounting software
11-9021	technology	8	Human resources software
11-9031	knowledge	1	Food Production
11-9031	knowledge	2	Sales and Marketing
11-9031	knowledge	3	Education and Training
11-9031	knowledge	4	Psychology
11-9031	knowledge	5	Personnel and Human Resources
11-9031	knowledge	6	Administration and Management
11-9031	knowledge	7	Customer and Personal Service
11-9031	knowledge	8	Economics and Accounting
11-9031	skills	1	Management of Financial Resources
11-9031	skills	2	Management of Material Resources
11-9031	skills	3	Management of Personnel Resources
11-9031	skills	4	Instructing
11-9031	skills	5	Negotiation
11-9031	skills	6	Service Orientation
11-9031	skills	7	Coordination
11-9031	skills	8	Learning Strategies
11-9031	abilities	1	Written Expression
11-9031	abilities	2	Memorization
11-9031	abilities	3	Deductive Reasoning
11-9031	abilities	4	Speech Recognition
11-9031	abilities	5	Fluency of Ideas
11-9031	abilities	6	Written Comprehension
11-9031	abilities	7	Inductive Reasoning
11-9031	abilities	8	Originality
11-9031	technology	1	Accounting software
11-9031	technology	2	Instant messaging software
11-9031	technology	3	Desktop communications software
11-9031	technology	4	Desktop publishing software
11-9032	knowledge	1	Personnel and Human Resources
11-9032	knowledge	2	Administration and Management
11-9032	knowledge	3	Law and Government
11-9032	knowledge	4	Philosophy and Theology
11-9032	knowledge	5	Education and Training
11-9032	knowledge	6	Psychology
11-9032	knowledge	7	Therapy and Counseling
11-9032	knowledge	8	Sociology and Anthropology
11-9032	skills	1	Management of Financial Resources
11-9032	skills	2	Learning Strategies
11-9032	skills	3	Management of Personnel Resources
11-9032	skills	4	Systems Evaluation
11-9032	skills	5	Management of Material Resources
11-9032	skills	6	Social Perceptiveness
11-9032	skills	7	Instructing
11-9032	skills	8	Negotiation
11-9032	abilities	1	Originality
11-9032	abilities	2	Written Expression
11-9032	abilities	3	Speech Clarity
11-9032	abilities	4	Deductive Reasoning
11-9032	abilities	5	Category Flexibility
11-9032	abilities	6	Speech Recognition
11-9032	abilities	7	Fluency of Ideas
11-9032	abilities	8	Written Comprehension
11-9032	technology	1	Data base management system software
11-9032	technology	2	Cloud-based data access and sharing software
11-9032	technology	3	Mobile messaging service software
11-9032	technology	4	Multi-media educational software
11-9032	technology	5	Communications server software
11-9032	technology	6	Desktop communications software
11-9032	technology	7	Human resources software
11-9032	technology	8	Computer based training software
11-9033	knowledge	1	Administration and Management
11-9033	knowledge	2	Education and Training
11-9033	knowledge	3	Therapy and Counseling
11-9033	knowledge	4	Personnel and Human Resources
11-9033	knowledge	5	Communications and Media
11-9033	knowledge	6	Psychology
11-9033	knowledge	7	English Language
11-9033	knowledge	8	Sales and Marketing
11-9033	skills	1	Management of Financial Resources
11-9033	skills	2	Instructing
11-9033	skills	3	Management of Personnel Resources
11-9033	skills	4	Negotiation
11-9033	skills	5	Learning Strategies
11-9033	skills	6	Time Management
11-9033	skills	7	Management of Material Resources
11-9033	skills	8	Persuasion
11-9033	abilities	1	Originality
11-9033	abilities	2	Fluency of Ideas
11-9033	abilities	3	Written Expression
11-9033	abilities	4	Speech Recognition
11-9033	abilities	5	Written Comprehension
11-9033	abilities	6	Inductive Reasoning
11-9033	abilities	7	Speech Clarity
11-9033	abilities	8	Problem Sensitivity
11-9033	technology	1	Web platform development software
11-9033	technology	2	Process mapping and design software
11-9033	technology	3	Cloud-based data access and sharing software
11-9033	technology	4	Web page creation and editing software
11-9033	technology	5	Mobile messaging service software
11-9033	technology	6	Facilities management software
11-9033	technology	7	Instant messaging software
11-9033	technology	8	Desktop communications software
11-9041	knowledge	1	Design
11-9041	knowledge	2	Engineering and Technology
11-9041	knowledge	3	Mechanical
11-9041	knowledge	4	Physics
11-9041	knowledge	5	Building and Construction
11-9041	knowledge	6	Administration and Management
11-9041	knowledge	7	Mathematics
11-9041	knowledge	8	Production and Processing
11-9041	skills	1	Mathematics
11-9041	skills	2	Management of Financial Resources
11-9041	skills	3	Management of Material Resources
11-9041	skills	4	Writing
11-9041	skills	5	Complex Problem Solving
11-9041	skills	6	Time Management
11-9041	skills	7	Active Learning
11-9041	skills	8	Science
11-9041	abilities	1	Mathematical Reasoning
11-9041	abilities	2	Visualization
11-9041	abilities	3	Fluency of Ideas
11-9041	abilities	4	Originality
11-9041	abilities	5	Number Facility
11-9041	abilities	6	Written Comprehension
11-9041	abilities	7	Speech Clarity
11-9041	abilities	8	Written Expression
11-9041	technology	1	Object oriented data base management software
11-9041	technology	2	Configuration management software
11-9041	technology	3	Content workflow software
11-9041	technology	4	Cloud-based management software
11-9041	technology	5	Expert system software
11-9041	technology	6	File versioning software
11-9041	technology	7	Application server software
11-9041	technology	8	Time accounting software
11-9051	knowledge	1	Food Production
11-9051	knowledge	2	Personnel and Human Resources
11-9051	knowledge	3	Administration and Management
11-9051	knowledge	4	Production and Processing
11-9051	knowledge	5	Customer and Personal Service
11-9051	knowledge	6	Sales and Marketing
11-9051	knowledge	7	Economics and Accounting
11-9051	knowledge	8	Education and Training
11-9051	skills	1	Management of Personnel Resources
11-9051	skills	2	Management of Financial Resources
11-9051	skills	3	Management of Material Resources
11-9051	skills	4	Service Orientation
11-9051	skills	5	Negotiation
11-9051	skills	6	Coordination
11-9051	skills	7	Operations Analysis
11-9051	skills	8	Social Perceptiveness
11-9051	abilities	1	Manual Dexterity
11-9051	abilities	2	Number Facility
11-9051	abilities	3	Arm-Hand Steadiness
11-9051	abilities	4	Auditory Attention
11-9051	abilities	5	Finger Dexterity
11-9051	abilities	6	Oral Expression
11-9051	abilities	7	Problem Sensitivity
11-9051	abilities	8	Oral Comprehension
11-9051	technology	1	Accounting software
11-9051	technology	2	Web page creation and editing software
11-9051	technology	3	Communications server software
11-9051	technology	4	Point of sale POS software
11-9051	technology	5	Time accounting software
11-9051	technology	6	Human resources software
11-9051	technology	7	Financial analysis software
11-9051	technology	8	Inventory management software
11-9071	knowledge	1	Personnel and Human Resources
11-9071	knowledge	2	Economics and Accounting
11-9071	knowledge	3	Administration and Management
11-9071	knowledge	4	Administrative
11-9071	knowledge	5	Mathematics
11-9071	knowledge	6	Customer and Personal Service
11-9071	knowledge	7	Sales and Marketing
11-9071	knowledge	8	Psychology
11-9071	skills	1	Management of Personnel Resources
11-9071	skills	2	Service Orientation
11-9071	skills	3	Management of Material Resources
11-9071	skills	4	Persuasion
11-9071	skills	5	Management of Financial Resources
11-9071	skills	6	Instructing
11-9071	skills	7	Time Management
11-9071	skills	8	Negotiation
11-9071	abilities	1	Number Facility
11-9071	abilities	2	Speed of Closure
11-9071	abilities	3	Far Vision
11-9071	abilities	4	Memorization
11-9071	abilities	5	Inductive Reasoning
11-9071	abilities	6	Mathematical Reasoning
11-9071	abilities	7	Time Sharing
11-9071	abilities	8	Auditory Attention
11-9071	technology	1	Human resources software
11-9071	technology	2	Calendar and scheduling software
11-9072	technology	1	Sales and marketing software
11-9072	technology	2	Video conferencing software
11-9072	technology	3	Customer relationship management CRM software
11-9072	technology	4	Process mapping and design software
11-9072	technology	5	Cloud-based data access and sharing software
11-9072	technology	6	Accounting software
11-9072	technology	7	Development environment software
11-9072	technology	8	Web page creation and editing software
11-9081	knowledge	1	Personnel and Human Resources
11-9081	knowledge	2	Sales and Marketing
11-9081	knowledge	3	Economics and Accounting
11-9081	knowledge	4	Administration and Management
11-9081	knowledge	5	Administrative
11-9081	knowledge	6	Communications and Media
11-9081	knowledge	7	Mathematics
11-9081	knowledge	8	Public Safety and Security
11-9081	skills	1	Management of Personnel Resources
11-9081	skills	2	Negotiation
11-9081	skills	3	Service Orientation
11-9081	skills	4	Management of Material Resources
11-9081	skills	5	Persuasion
11-9081	skills	6	Management of Financial Resources
11-9081	skills	7	Instructing
