TOP Code - TOP Title,TOP CTE Flag,CIP Code - CIP Title,CIP CTE Flag,"Count of Colleges "
0708.20 - Computer Support,CTE,11.1001 - Network and System Administration/Administrator,CTE,4
0708.20 - Computer Support,CTE,11.1003 - Computer and Information Systems Security/Auditing/Information Assurance,CTE,5
0708.20 - Computer Support,CTE,11.1006 - Computer Support Specialist,CTE,24
0708.20 - Computer Support,CTE,15.1203 - Computer Hardware Technology/Technician,CTE,1
0708.20 - Computer Support,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0708.20 - Computer Support,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0709.00 - World Wide Web Administration,CTE,11.0103 - Information Technology,Not CTE,1
0709.00 - World Wide Web Administration,CTE,"11.0201 - Computer Programming/Programmer, General",Not CTE,1
0709.00 - World Wide Web Administration,CTE,"11.0801 - Web Page, Digital/Multimedia and Information Resources Design",CTE,1
0709.00 - World Wide Web Administration,CTE,11.1003 - Computer and Information Systems Security/Auditing/Information Assurance,CTE,0
0709.00 - World Wide Web Administration,CTE,11.1004 - Web/Multimedia Management and Webmaster,CTE,14
0709.00 - World Wide Web Administration,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0709.00 - World Wide Web Administration,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0709.00 - World Wide Web Administration,CTE,50.0102 - Digital Arts,Both,1
0709.10 - E-Commerce (Technology emphasis),CTE,"11.0801 - Web Page, Digital/Multimedia and Information Resources Design",CTE,2
0709.10 - E-Commerce (Technology emphasis),CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0709.10 - E-Commerce (Technology emphasis),CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0709.10 - E-Commerce (Technology emphasis),CTE,52.0208 - E-Commerce/Electronic Commerce,CTE,2
0799.00 - Other Information Technology,CTE,11.0102 - Artificial Intelligence,Not CTE,1
0799.00 - Other Information Technology,CTE,"11.0899 - Computer Software and Media Applications, Other",Both,4
0799.00 - Other Information Technology,CTE,"11.0999 - Computer Systems Networking and Telecommunications, Other",Both,0
0799.00 - Other Information Technology,CTE,"11.9999 - Computer and Information Sciences and Support Services, Other",Both,7
0799.00 - Other Information Technology,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0799.00 - Other Information Technology,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
"0801.00 - Education, General",Not CTE,"13.0101 - Education, General",Not CTE,6
"0801.00 - Education, General",Not CTE,"13.0401 - Educational Leadership and Administration, General",Not CTE,1
"0801.00 - Education, General",Not CTE,13.1202 - Elementary Education and Teaching,CTE,5
"0801.00 - Education, General",Not CTE,13.1205 - Secondary Education and Teaching,CTE,1
"0801.00 - Education, General",Not CTE,"13.1206 - Teacher Education, Multiple Levels",CTE,1
"0801.00 - Education, General",Not CTE,13.1207 - Montessori Teacher Education,CTE,0
"0801.00 - Education, General",Not CTE,13.1208 - Waldorf/Steiner Teacher Education,CTE,0
"0801.00 - Education, General",Not CTE,13.1209 - Kindergarten/Preschool Education and Teaching,CTE,0
0802.00 - Educational Aide (Teacher Assistant),CTE,"13.0101 - Education, General",Not CTE,1
0802.00 - Educational Aide (Teacher Assistant),CTE,13.1210 - Early Childhood Education and Teaching,CTE,1
0802.00 - Educational Aide (Teacher Assistant),CTE,13.1501 - Teacher Assistant/Aide,CTE,31
0802.00 - Educational Aide (Teacher Assistant),CTE,"13.1599 - Teaching Assistants/Aides, Other",Both,0
0802.00 - Educational Aide (Teacher Assistant),CTE,"13.9999 - Education, Other",Both,1
0802.00 - Educational Aide (Teacher Assistant),CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0802.00 - Educational Aide (Teacher Assistant),CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
"0802.10 - Educational Aide (Teacher Assistant), Bilingual",CTE,13.0201 - Bilingual and Multilingual Education,Not CTE,0
"0802.10 - Educational Aide (Teacher Assistant), Bilingual",CTE,13.1501 - Teacher Assistant/Aide,CTE,3
"0802.10 - Educational Aide (Teacher Assistant), Bilingual",CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
"0802.10 - Educational Aide (Teacher Assistant), Bilingual",CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0809.00 - Special Education,CTE,"13.1001 - Special Education and Teaching, General",Not CTE,8
0809.00 - Special Education,CTE,13.1017 - Education/Teaching of Individuals in Elementary Special Education Programs,Not CTE,0
0809.00 - Special Education,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0809.00 - Special Education,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0835.00 - Physical Education,Not CTE,"31.0501 - Sports, Kinesiology, and Physical Education/Fitness, General",Not CTE,36
0835.00 - Physical Education,Not CTE,31.0505 - Exercise Science and Kinesiology,Not CTE,1
0835.00 - Physical Education,Not CTE,51.0913 - Athletic Training/Trainer,CTE,1
0835.10 - Physical Fitness and Body Movement,Not CTE,"31.0501 - Sports, Kinesiology, and Physical Education/Fitness, General",Not CTE,3
0835.10 - Physical Fitness and Body Movement,Not CTE,34.0102 - Birthing and Parenting Knowledge and Skills,Noncredit CIP,0
0835.10 - Physical Fitness and Body Movement,Not CTE,34.0103 - Personal Health Improvement and Maintenance,Noncredit CIP,0
0835.10 - Physical Fitness and Body Movement,Not CTE,34.0104 - Addiction Prevention and Treatment,Noncredit CIP,0
0835.10 - Physical Fitness and Body Movement,Not CTE,34.0105 - Meditation/Mind-Body Wellness,Noncredit CIP,0
0835.20 - Fitness Trainer,CTE,31.0504 - Sport and Fitness Administration/Management,CTE,2
0835.20 - Fitness Trainer,CTE,31.0507 - Physical Fitness Technician,CTE,45
0835.20 - Fitness Trainer,CTE,"31.9999 - Parks, Recreation, Leisure, Fitness, and Kinesiology, Other",Both,1
0835.20 - Fitness Trainer,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0835.20 - Fitness Trainer,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0835.20 - Fitness Trainer,CTE,34.0102 - Birthing and Parenting Knowledge and Skills,Noncredit CIP,0
0835.20 - Fitness Trainer,CTE,34.0103 - Personal Health Improvement and Maintenance,Noncredit CIP,0
0835.20 - Fitness Trainer,CTE,34.0104 - Addiction Prevention and Treatment,Noncredit CIP,0
0835.20 - Fitness Trainer,CTE,34.0105 - Meditation/Mind-Body Wellness,Noncredit CIP,0
0835.20 - Fitness Trainer,CTE,51.0913 - Athletic Training/Trainer,CTE,1
0835.50 - Intercollegiate Athletics,Not CTE,"31.0501 - Sports, Kinesiology, and Physical Education/Fitness, General",Not CTE,3
0835.50 - Intercollegiate Athletics,Not CTE,34.0102 - Birthing and Parenting Knowledge and Skills,Noncredit CIP,0
0835.50 - Intercollegiate Athletics,Not CTE,34.0103 - Personal Health Improvement and Maintenance,Noncredit CIP,0
0835.50 - Intercollegiate Athletics,Not CTE,34.0104 - Addiction Prevention and Treatment,Noncredit CIP,0
0835.50 - Intercollegiate Athletics,Not CTE,34.0105 - Meditation/Mind-Body Wellness,Noncredit CIP,0
0835.60 - Coaching,CTE,31.0504 - Sport and Fitness Administration/Management,CTE,13
0835.60 - Coaching,CTE,31.0505 - Exercise Science and Kinesiology,Not CTE,1
0835.60 - Coaching,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0835.60 - Coaching,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0835.60 - Coaching,CTE,34.0102 - Birthing and Parenting Knowledge and Skills,Noncredit CIP,0
0835.60 - Coaching,CTE,34.0103 - Personal Health Improvement and Maintenance,Noncredit CIP,0
0835.60 - Coaching,CTE,34.0104 - Addiction Prevention and Treatment,Noncredit CIP,0
0835.60 - Coaching,CTE,34.0105 - Meditation/Mind-Body Wellness,Noncredit CIP,0
0835.70 - Aquatics and Lifesaving,CTE,"31.0101 - Parks, Recreation, and Leisure Studies",Not CTE,2
0835.70 - Aquatics and Lifesaving,CTE,"31.9999 - Parks, Recreation, Leisure, Fitness, and Kinesiology, Other",Both,5
0835.70 - Aquatics and Lifesaving,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0835.70 - Aquatics and Lifesaving,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0835.70 - Aquatics and Lifesaving,CTE,34.0102 - Birthing and Parenting Knowledge and Skills,Noncredit CIP,0
0835.70 - Aquatics and Lifesaving,CTE,34.0103 - Personal Health Improvement and Maintenance,Noncredit CIP,0
0835.70 - Aquatics and Lifesaving,CTE,34.0104 - Addiction Prevention and Treatment,Noncredit CIP,0
0835.70 - Aquatics and Lifesaving,CTE,34.0105 - Meditation/Mind-Body Wellness,Noncredit CIP,0
0835.80 - Adapted Physical Education,Not CTE,"31.0501 - Sports, Kinesiology, and Physical Education/Fitness, General",Not CTE,0
0835.80 - Adapted Physical Education,Not CTE,34.0102 - Birthing and Parenting Knowledge and Skills,Noncredit CIP,0
0835.80 - Adapted Physical Education,Not CTE,34.0103 - Personal Health Improvement and Maintenance,Noncredit CIP,0
0835.80 - Adapted Physical Education,Not CTE,34.0104 - Addiction Prevention and Treatment,Noncredit CIP,0
0835.80 - Adapted Physical Education,Not CTE,34.0105 - Meditation/Mind-Body Wellness,Noncredit CIP,0
0835.80 - Adapted Physical Education,Not CTE,51.2309 - Therapeutic Recreation/Recreational Therapy,CTE,0
0836.00 - Recreation,Not CTE,"31.0101 - Parks, Recreation, and Leisure Studies",Not CTE,7
0836.00 - Recreation,Not CTE,34.0102 - Birthing and Parenting Knowledge and Skills,Noncredit CIP,0
0836.00 - Recreation,Not CTE,34.0103 - Personal Health Improvement and Maintenance,Noncredit CIP,0
0836.00 - Recreation,Not CTE,34.0104 - Addiction Prevention and Treatment,Noncredit CIP,0
0836.00 - Recreation,Not CTE,34.0105 - Meditation/Mind-Body Wellness,Noncredit CIP,0
0836.10 - Recreation Assistant,CTE,"31.0101 - Parks, Recreation, and Leisure Studies",Not CTE,5
0836.10 - Recreation Assistant,CTE,"31.0301 - Parks, Recreation, and Leisure Facilities Management, General",CTE,2
0836.10 - Recreation Assistant,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0836.10 - Recreation Assistant,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0836.10 - Recreation Assistant,CTE,34.0102 - Birthing and Parenting Knowledge and Skills,Noncredit CIP,0
0836.10 - Recreation Assistant,CTE,34.0103 - Personal Health Improvement and Maintenance,Noncredit CIP,0
0836.10 - Recreation Assistant,CTE,34.0104 - Addiction Prevention and Treatment,Noncredit CIP,0
0836.10 - Recreation Assistant,CTE,34.0105 - Meditation/Mind-Body Wellness,Noncredit CIP,0
0837.00 - Health Education,Not CTE,"31.0501 - Sports, Kinesiology, and Physical Education/Fitness, General",Not CTE,6
0837.00 - Health Education,Not CTE,34.0102 - Birthing and Parenting Knowledge and Skills,Noncredit CIP,0
0837.00 - Health Education,Not CTE,34.0103 - Personal Health Improvement and Maintenance,Noncredit CIP,0
0837.00 - Health Education,Not CTE,34.0104 - Addiction Prevention and Treatment,Noncredit CIP,0
0837.00 - Health Education,Not CTE,34.0105 - Meditation/Mind-Body Wellness,Noncredit CIP,0
0837.00 - Health Education,Not CTE,"51.0001 - Health and Wellness, General",CTE,6
0839.00 - Industrial Arts,Not CTE,13.1309 - Technology Teacher Education/Industrial Arts Teacher Education,CTE,2
0839.00 - Industrial Arts,Not CTE,34.0102 - Birthing and Parenting Knowledge and Skills,Noncredit CIP,0
0839.00 - Industrial Arts,Not CTE,34.0103 - Personal Health Improvement and Maintenance,Noncredit CIP,0
0839.00 - Industrial Arts,Not CTE,34.0104 - Addiction Prevention and Treatment,Noncredit CIP,0
0839.00 - Industrial Arts,Not CTE,34.0105 - Meditation/Mind-Body Wellness,Noncredit CIP,0
0850.00 - Sign Language,Not CTE,16.1601 - American Sign Language (ASL),Not CTE,40
0850.00 - Sign Language,Not CTE,16.1603 - Sign Language Interpretation and Translation,CTE,1
0850.00 - Sign Language,Not CTE,34.0102 - Birthing and Parenting Knowledge and Skills,Noncredit CIP,0
0850.00 - Sign Language,Not CTE,34.0103 - Personal Health Improvement and Maintenance,Noncredit CIP,0
0850.00 - Sign Language,Not CTE,34.0104 - Addiction Prevention and Treatment,Noncredit CIP,0
0850.00 - Sign Language,Not CTE,34.0105 - Meditation/Mind-Body Wellness,Noncredit CIP,0
0850.10 - Sign Language Interpreting,CTE,16.1601 - American Sign Language (ASL),Not CTE,2
0850.10 - Sign Language Interpreting,CTE,16.1603 - Sign Language Interpretation and Translation,CTE,20
0850.10 - Sign Language Interpreting,CTE,22.0304 - Court Interpreter,CTE,0
0850.10 - Sign Language Interpreting,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0850.10 - Sign Language Interpreting,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0850.10 - Sign Language Interpreting,CTE,34.0102 - Birthing and Parenting Knowledge and Skills,Noncredit CIP,0
0850.10 - Sign Language Interpreting,CTE,34.0103 - Personal Health Improvement and Maintenance,Noncredit CIP,0
0850.10 - Sign Language Interpreting,CTE,34.0104 - Addiction Prevention and Treatment,Noncredit CIP,0
0850.10 - Sign Language Interpreting,CTE,34.0105 - Meditation/Mind-Body Wellness,Noncredit CIP,0
0860.00 - Educational Technology,CTE,"13.0101 - Education, General",Not CTE,1
0860.00 - Educational Technology,CTE,13.0413 - Education Entrepreneurship,CTE,1
0860.00 - Educational Technology,CTE,13.0501 - Educational/Instructional Technology,Not CTE,6
0860.00 - Educational Technology,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0860.00 - Educational Technology,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0860.00 - Educational Technology,CTE,34.0102 - Birthing and Parenting Knowledge and Skills,Noncredit CIP,0
0860.00 - Educational Technology,CTE,34.0103 - Personal Health Improvement and Maintenance,Noncredit CIP,0
0860.00 - Educational Technology,CTE,34.0104 - Addiction Prevention and Treatment,Noncredit CIP,0
0860.00 - Educational Technology,CTE,34.0105 - Meditation/Mind-Body Wellness,Noncredit CIP,0
0899.00 - Other Education,CTE,"13.9999 - Education, Other",Both,12
0899.00 - Other Education,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0899.00 - Other Education,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0899.00 - Other Education,CTE,34.0102 - Birthing and Parenting Knowledge and Skills,Noncredit CIP,0
0899.00 - Other Education,CTE,34.0103 - Personal Health Improvement and Maintenance,Noncredit CIP,0
0899.00 - Other Education,CTE,34.0104 - Addiction Prevention and Treatment,Noncredit CIP,0
0899.00 - Other Education,CTE,34.0105 - Meditation/Mind-Body Wellness,Noncredit CIP,0
0899.00 - Other Education,CTE,"45.9999 - Social Sciences, Other",Both,1
"0901.00 - Engineering, General (requires Calculus) (Transfer)",Not CTE,"14.0101 - Engineering, General",CTE,45
"0901.00 - Engineering, General (requires Calculus) (Transfer)",Not CTE,14.0102 - Pre-Engineering,Not CTE,34
"0901.00 - Engineering, General (requires Calculus) (Transfer)",Not CTE,14.1301 - Engineering Science,Not CTE,0
"0901.00 - Engineering, General (requires Calculus) (Transfer)",Not CTE,"15.0000 - Engineering Technologies/Technicians, General",CTE,1
"0901.00 - Engineering, General (requires Calculus) (Transfer)",Not CTE,15.0201 - Civil Engineering Technologies/Technicians,CTE,1
"0924.00 - Engineering Technology, General (requires Trigonometry)",CTE,"14.0101 - Engineering, General",CTE,1
"0924.00 - Engineering Technology, General (requires Trigonometry)",CTE,14.0103 - Applied Engineering,CTE,1
"0924.00 - Engineering Technology, General (requires Trigonometry)",CTE,"15.0000 - Engineering Technologies/Technicians, General",CTE,17
"0924.00 - Engineering Technology, General (requires Trigonometry)",CTE,15.0001 - Applied Engineering Technologies/Technicians,CTE,1
"0924.00 - Engineering Technology, General (requires Trigonometry)",CTE,15.0201 - Civil Engineering Technologies/Technicians,CTE,2
"0924.00 - Engineering Technology, General (requires Trigonometry)",CTE,"15.0399 - Electrical/Electronic Engineering Technologies/Technicians, Other",Both,1
"0924.00 - Engineering Technology, General (requires Trigonometry)",CTE,15.0507 - Environmental/Environmental Engineering Technology/Technician,CTE,1
"0924.00 - Engineering Technology, General (requires Trigonometry)",CTE,15.0805 - Mechanical/Mechanical Engineering Technology/Technician,CTE,1
"0924.00 - Engineering Technology, General (requires Trigonometry)",CTE,15.1302 - CAD/CADD Drafting and/or Design Technology/Technician,CTE,1
"0924.00 - Engineering Technology, General (requires Trigonometry)",CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
"0924.00 - Engineering Technology, General (requires Trigonometry)",CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0934.00 - Electronics and Electric Technology,CTE,14.4701 - Electrical and Computer Engineering,CTE,3
0934.00 - Electronics and Electric Technology,CTE,"15.0303 - Electrical, Electronic, and Communications Engineering Technology/Technician",CTE,9
0934.00 - Electronics and Electric Technology,CTE,15.0305 - Telecommunications Technology/Technician,CTE,1
0934.00 - Electronics and Electric Technology,CTE,"15.0399 - Electrical/Electronic Engineering Technologies/Technicians, Other",Both,9
0934.00 - Electronics and Electric Technology,CTE,15.1203 - Computer Hardware Technology/Technician,CTE,1
0934.00 - Electronics and Electric Technology,CTE,15.1702 - Power Plant Technology/Technician,CTE,0
0934.00 - Electronics and Electric Technology,CTE,15.1703 - Solar Energy Technology/Technician,CTE,0
0934.00 - Electronics and Electric Technology,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0934.00 - Electronics and Electric Technology,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0934.00 - Electronics and Electric Technology,CTE,"46.0301 - Electrical and Power Transmission Installation/Installer, General",CTE,1
0934.00 - Electronics and Electric Technology,CTE,"47.0101 - Electrical/Electronics Equipment Installation and Repair Technology/Technician, General",CTE,22
0934.10 - Computer Electronics,CTE,"15.0303 - Electrical, Electronic, and Communications Engineering Technology/Technician",CTE,1
0934.10 - Computer Electronics,CTE,15.0306 - Integrated Circuit Design Technology/Technician,CTE,0
0934.10 - Computer Electronics,CTE,15.1201 - Computer Engineering Technology/Technician,CTE,3
0934.10 - Computer Electronics,CTE,15.1203 - Computer Hardware Technology/Technician,CTE,1
0934.10 - Computer Electronics,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0934.10 - Computer Electronics,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0934.10 - Computer Electronics,CTE,47.0104 - Computer Installation and Repair Technology/Technician,CTE,6
0934.20 - Industrial Electronics,CTE,15.0612 - Industrial Technology/Technician,CTE,4
0934.20 - Industrial Electronics,CTE,"15.9999 - Engineering/Engineering-Related Technologies/Technicians, Other",Both,1
0934.20 - Industrial Electronics,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0934.20 - Industrial Electronics,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0934.20 - Industrial Electronics,CTE,47.0105 - Industrial Electronics Technology/Technician,CTE,9
0934.30 - Telecommunications Technology,CTE,15.0305 - Telecommunications Technology/Technician,CTE,8
0934.30 - Telecommunications Technology,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0934.30 - Telecommunications Technology,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0934.30 - Telecommunications Technology,CTE,47.0103 - Communications Systems Installation and Repair Technology/Technician,CTE,2
0934.40 - Electrical Systems and Power Transmission,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0934.40 - Electrical Systems and Power Transmission,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0934.40 - Electrical Systems and Power Transmission,CTE,"46.0301 - Electrical and Power Transmission Installation/Installer, General",CTE,7
0934.40 - Electrical Systems and Power Transmission,CTE,"47.0101 - Electrical/Electronics Equipment Installation and Repair Technology/Technician, General",CTE,1
0934.60 - Biomedical Instrumentation,CTE,15.0401 - Biomedical Technology/Technician,CTE,3
0934.60 - Biomedical Instrumentation,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0934.60 - Biomedical Instrumentation,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0934.70 - Electron Microscopy,CTE,15.0404 - Instrumentation Technology/Technician,CTE,1
0934.70 - Electron Microscopy,CTE,"15.0499 - Electromechanical Technologies/Technicians, Other",Both,0
0934.70 - Electron Microscopy,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0934.70 - Electron Microscopy,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0934.80 - Laser and Optical Technology,CTE,15.0304 - Laser and Optical Technology/Technician,CTE,2
0934.80 - Laser and Optical Technology,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0934.80 - Laser and Optical Technology,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0935.00 - Electro-Mechanical Technology,CTE,15.0403 - Electromechanical/Electromechanical Engineering Technology/Technician,CTE,9
0935.00 - Electro-Mechanical Technology,CTE,"15.0407 - Mechatronics, Robotics, and Automation Engineering Technology/Technician",CTE,4
0935.00 - Electro-Mechanical Technology,CTE,"15.0499 - Electromechanical Technologies/Technicians, Other",Both,1
0935.00 - Electro-Mechanical Technology,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0935.00 - Electro-Mechanical Technology,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0935.00 - Electro-Mechanical Technology,CTE,47.0105 - Industrial Electronics Technology/Technician,CTE,0
0935.00 - Electro-Mechanical Technology,CTE,47.0303 - Industrial Mechanics and Maintenance Technology/Technician,CTE,1
0935.10 - Appliance Repair,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0935.10 - Appliance Repair,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0935.10 - Appliance Repair,CTE,47.0106 - Appliance Installation and Repair Technology/Technician,CTE,0
0936.00 - Printing and Lithography,CTE,"10.0305 - Graphic and Printing Equipment Operator, General Production",CTE,5
0936.00 - Printing and Lithography,CTE,10.0306 - Platemaker/Imager,CTE,0
0936.00 - Printing and Lithography,CTE,10.0307 - Printing Press Operator,CTE,0
0936.00 - Printing and Lithography,CTE,10.0308 - Computer Typography and Composition Equipment Operator,CTE,0
0936.00 - Printing and Lithography,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0936.00 - Printing and Lithography,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0943.00 - Instrumentation Technology,CTE,15.0404 - Instrumentation Technology/Technician,CTE,4
0943.00 - Instrumentation Technology,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0943.00 - Instrumentation Technology,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0943.30 - Vacuum Technology,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0943.30 - Vacuum Technology,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0945.00 - Industrial Systems Technology and Maintenance,CTE,15.0404 - Instrumentation Technology/Technician,CTE,1
0945.00 - Industrial Systems Technology and Maintenance,CTE,15.0612 - Industrial Technology/Technician,CTE,2
0945.00 - Industrial Systems Technology and Maintenance,CTE,15.0805 - Mechanical/Mechanical Engineering Technology/Technician,CTE,5
0945.00 - Industrial Systems Technology and Maintenance,CTE,15.1701 - Energy Systems Technology/Technician,CTE,1
0945.00 - Industrial Systems Technology and Maintenance,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0945.00 - Industrial Systems Technology and Maintenance,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0945.00 - Industrial Systems Technology and Maintenance,CTE,46.0401 - Building/Property Maintenance,CTE,2
0945.00 - Industrial Systems Technology and Maintenance,CTE,47.0303 - Industrial Mechanics and Maintenance Technology/Technician,CTE,17
0946.00 - Environmental Control Technology (HVAC),CTE,"15.0501 - Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician",CTE,25
0946.00 - Environmental Control Technology (HVAC),CTE,15.1701 - Energy Systems Technology/Technician,CTE,1
0946.00 - Environmental Control Technology (HVAC),CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0946.00 - Environmental Control Technology (HVAC),CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0946.00 - Environmental Control Technology (HVAC),CTE,46.0414 - Insulator,CTE,0
0946.00 - Environmental Control Technology (HVAC),CTE,"47.0201 - Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",CTE,8
0946.10 - Energy Systems Technology,CTE,"14.4801 - Energy Systems Engineering, General",CTE,0
0946.10 - Energy Systems Technology,CTE,"15.0501 - Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician",CTE,1
0946.10 - Energy Systems Technology,CTE,15.0507 - Environmental/Environmental Engineering Technology/Technician,CTE,1
0946.10 - Energy Systems Technology,CTE,15.1401 - Nuclear Engineering Technology/Technician,CTE,0
0946.10 - Energy Systems Technology,CTE,15.1701 - Energy Systems Technology/Technician,CTE,14
0946.10 - Energy Systems Technology,CTE,15.1703 - Solar Energy Technology/Technician,CTE,3
0946.10 - Energy Systems Technology,CTE,15.1704 - Wind Energy Technology/Technician,CTE,0
0946.10 - Energy Systems Technology,CTE,15.1705 - Hydroelectric Energy Technology/Technician,CTE,0
0946.10 - Energy Systems Technology,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0946.10 - Energy Systems Technology,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0946.10 - Energy Systems Technology,CTE,41.0204 - Industrial Radiologic Technology/Technician,CTE,0
0946.10 - Energy Systems Technology,CTE,41.0205 - Nuclear/Nuclear Power Technology/Technician,CTE,0
0946.10 - Energy Systems Technology,CTE,"41.0299 - Nuclear and Industrial Radiologic Technologies/Technicians, Other",Both,0
0946.10 - Energy Systems Technology,CTE,"46.0301 - Electrical and Power Transmission Installation/Installer, General",CTE,1
0946.10 - Energy Systems Technology,CTE,47.0303 - Industrial Mechanics and Maintenance Technology/Technician,CTE,0
0946.10 - Energy Systems Technology,CTE,47.0701 - Energy Systems Installation and Repair Technology/Technician,CTE,1
0946.10 - Energy Systems Technology,CTE,47.0703 - Solar Energy System Installation and Repair Technology/Technician,CTE,1
0946.10 - Energy Systems Technology,CTE,47.0704 - Wind Energy System Installation and Repair Technology/Technician,CTE,0
0946.10 - Energy Systems Technology,CTE,47.0705 - Hydroelectric Energy System Installation and Repair Technology/Technician,CTE,0
0946.10 - Energy Systems Technology,CTE,47.0706 - Geothermal Energy System Installation and Repair Technology/Technician,CTE,0
0947.00 - Diesel Technology,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0947.00 - Diesel Technology,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0947.00 - Diesel Technology,CTE,47.0302 - Heavy Equipment Maintenance Technology/Technician,CTE,1
0947.00 - Diesel Technology,CTE,47.0603 - Autobody/Collision and Repair Technology/Technician,CTE,1
0947.00 - Diesel Technology,CTE,47.0605 - Diesel Mechanics Technology/Technician,CTE,18
0947.00 - Diesel Technology,CTE,49.0202 - Construction/Heavy Equipment/Earthmoving Equipment Operation,CTE,0
0947.20 - Heavy Equipment Maintenance,CTE,"01.0201 - Agricultural Mechanization, General",CTE,0
0947.20 - Heavy Equipment Maintenance,CTE,01.0204 - Agricultural Power Machinery Operation,CTE,0
0947.20 - Heavy Equipment Maintenance,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0947.20 - Heavy Equipment Maintenance,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
